"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"80006900000485","Nodes","485","21.000000","26.324758","DDS demands","Known Flow","460269.569345","180730.836752","","0.000000","","","","","-2.300000","","","","","","-2.056701","-2.300000","","","","","","","D1 PROFILE","","","","",""
"80006900000486","Nodes","486","21.000000","26.278854","DDS demands","Known Flow","460258.132396","180762.814397","","0.000000","","","","","-4.380000","","","","","","-3.916674","-4.380000","","","","","","","D1 PROFILE","","","","",""
"80006900011012","Nodes","11012","21.000000","26.321172","Default Known Flow Node","Known Flow","460271.467029","180731.429577","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000399","Nodes","399","21.000000","26.346430","Default Known Flow Node","Known Flow","460282.569642","180734.399614","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000390","Nodes","390","21.000000","26.936919","DDS demands","Known Flow","460039.133983","180782.496340","","0.000000","-2.499999","","","","-2.089999","","","","","","-4.104459","-4.589999","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"80006900001011","Nodes","1011","21.000000","26.628759","Default Known Flow Node","Known Flow","460015.420330","180859.167423","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900007729","Nodes","7729","21.000000","26.665351","Default Known Flow Node","Known Flow","460003.638410","180905.750811","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900001009","Nodes","1009","21.000000","29.832214","DDS demands","Known Flow","460072.334783","181092.261833","","0.000000","","-6.000000","","","","","","","","","-5.365307","-6.000000","","","","C2 PROFILE","","","","","","","",""
"80006900001010","Nodes","1010","21.000000","29.876973","Default Known Flow Node","Known Flow","460073.270346","181130.144497","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000330","Nodes","330","21.000000","29.805213","DDS demands","Known Flow","459991.573140","181090.700171","","0.000000","","","-3.089999","","-8.689999","","","","","","-10.533886","-11.779999","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
"80006900020724","Nodes","20724","21.000000","29.942679","Default Known Flow Node","Known Flow","460120.125543","181093.465916","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000001","Nodes","CHAPEL CLOSE (SOUTH STOKE) DG, Site ID 5672, clocked","21.000000","28.000000","Default Known Pressure Node","Known Pressure","460179.047375","183505.467143","","9998.999917","","","","","","","","","","","191.643912","214.314553","","","","","","","","","","","",""
"80006900000071","Nodes","71","21.000000","26.330622","DDS demands","Known Flow","460112.831022","183485.192050","","0.000000","","","","","-9.699999","","","","","","-8.673912","-9.699999","","","","","","","D1 PROFILE","","","","",""
"80006900000024","Nodes","24","21.000000","27.325397","DDS demands","Known Flow","460274.109401","183546.538155","","0.000000","","","","","-6.679999","","","","","","-5.973375","-6.679999","","","","","","","D1 PROFILE","","","","",""
"80006900000262","Nodes","262","21.000000","28.469889","DDS demands","Known Flow","460269.981512","181377.137685","","0.000000","","","","","-8.569999","","","","","","-7.663447","-8.569999","","","","","","","D1 PROFILE","","","","",""
"80006900000263","Nodes","263","21.000000","28.226017","DDS demands","Known Flow","460243.860393","181292.652541","","0.000000","","","","","-15.580000","","","","","","-13.931915","-15.580000","","","","","","","D1 PROFILE","","","","",""
