"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"80017500000003","Nodes","3, ""HIGH ST. RAMSDEN - 3/ OR12D""",21.000000,64.999998,"Default Known Pressure Node","Known Pressure",435119.906250,215427.296875,,999998.967025,,,,,,109.461198,122.409999,,"",,,,,
"80017500000042","Nodes","42",21.000000,62.468137,"DDS demands","Known Flow",435353.593750,215406.406250,,0.000000,,,-11.499999,-31.719999,,-38.648098,-43.219997,,"",,,"C4 PROFILE","D1 PROFILE",
"80017500000028","Nodes","28",21.000000,29.893590,"DDS demands","Known Flow",435661.593750,216032.093750,,0.000000,,,,-13.850000,,-12.384918,-13.850000,,"",,,,"D1 PROFILE",
"80017500000030","Nodes","30",21.000000,29.237997,"DDS demands","Known Flow",435493.812500,216006.593750,,0.000000,,,,-14.040000,,-12.554819,-14.040000,,"",,,,"D1 PROFILE",
"80017500000026","Nodes","26",21.000000,35.942794,"DDS demands","Known Flow",435955.812500,216112.296875,,0.000000,,,,-20.280000,,-18.134738,-20.280000,,"",,,,"D1 PROFILE",
"80017500000024","Nodes","24",21.000000,47.580371,"DDS demands","Known Flow",436119.093750,216192.093750,,0.000000,,,,-5.810000,,-5.195405,-5.810000,,"",,,,"D1 PROFILE",
"80017500000047","Nodes","47",21.000000,53.930703,"Default Known Flow Node","Known Flow",435966.062500,214956.796875,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"800175-281556","Nodes","-281556",21.000000,53.824359,"Default Known Flow Node","Known Flow",435691.750000,215225.625000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80017500000045","Nodes","45",21.000000,53.994529,"Default Known Flow Node","Known Flow",435981.312500,215354.906250,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"800175-281557","Nodes","-281557",21.000000,53.824359,"Default Known Flow Node","Known Flow",435691.750000,215230.000000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80017500000031","Nodes","31",21.000000,23.973993,"DDS demands","Known Flow",435351.500000,216017.796875,,0.000000,,,,-14.259999,,-12.751547,-14.259999,,"",,,,"D1 PROFILE",
"80017500000043","Nodes","MAXIMO 466599",21.000000,53.932520,"Point Loads","Known Flow",435662.906250,215223.093750,,0.000000,-16.610000,,,-3.729999,-32.200000,-46.982209,-52.540002,,"","C1 PROFILE",,,"D1 PROFILE","PL-AF PROFILE"
"80017500000044","Nodes","44",21.000000,53.824359,"DDS demands","Known Flow",435688.093750,215227.406250,,0.000000,,,,-11.239999,,-10.051008,-11.239999,,"",,,,"D1 PROFILE",
"800175-281554","Nodes","-281554",21.000000,53.824359,"Default Known Flow Node","Known Flow",435682.750000,215242.875000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80017500000046","Nodes","46, 3 x new houses & 2 Flats @Akeman Street(REF:4654)",21.000000,51.757672,"DDS demands","Known Flow",435475.906250,215131.296875,,0.000000,,,,-5.389999,-10.020000,-13.779898,-15.409999,,"",,,,"D1 PROFILE","PL-AF PROFILE"
"800175-159069","Nodes","-159069",21.000000,21.633671,"Default Known Flow Node","Known Flow",435218.625000,216051.000000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80017500000032","Nodes","32",21.000000,21.814358,"Default Known Flow Node","Known Flow",435150.000000,216052.796875,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80017500000038","Nodes","38",21.000000,21.633671,"DDS demands","Known Flow",435220.812500,216050.593750,,0.000000,,,,-8.339999,,-7.457777,-8.339999,,"",,,,"D1 PROFILE",
"80017500000039","Nodes","39",21.000000,21.155721,"DDS demands","Known Flow",435196.093750,215949.406250,,0.000000,,,,-7.499999,,-6.706634,-7.499999,,"",,,,"D1 PROFILE",
"80017500000021","Nodes","21",21.000000,49.313906,"DDS demands","Known Flow",435919.093750,216247.500000,,0.000000,,,,-8.630000,,-7.717100,-8.630000,,"",,,,"D1 PROFILE",
"80017500000020","Nodes","20",21.000000,49.066734,"DDS demands","Known Flow",435988.093750,216238.406250,,0.000000,,,,-4.810000,,-4.301188,-4.810000,,"",,,,"D1 PROFILE",
"80017500000023","Nodes","23",21.000000,49.005291,"DDS demands","Known Flow",435958.093750,216198.000000,,0.000000,,,,-14.160000,,-12.662125,-14.160000,,"",,,,"D1 PROFILE",
"80017500000022","Nodes","22",21.000000,48.926420,"DDS demands","Known Flow",435980.593750,216214.296875,,0.000000,,,,-2.949999,,-2.637942,-2.949999,,"",,,,"D1 PROFILE",
"800175-159082","Nodes","-159082",21.000000,48.926420,"Default Known Flow Node","Known Flow",435991.750000,216209.625000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"800175-159071","Nodes","-159071",21.000000,29.971960,"Default Known Flow Node","Known Flow",435666.750000,216033.500000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80017500000036","Nodes","36",21.000000,30.552899,"DDS demands","Known Flow",435700.406250,216049.296875,,0.000000,,,,-4.249999,,-3.800425,-4.249999,,"",,,,"D1 PROFILE",
"80017500000037","Nodes","37",21.000000,30.544497,"DDS demands","Known Flow",435692.593750,216065.906250,,0.000000,,,,-2.549999,,-2.280255,-2.549999,,"",,,,"D1 PROFILE",
