"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"80120800000047","Nodes","47",21.000000,29.285857,"DDS demands","Known Flow",464617.536217,181585.201749,,0.000000,,,,,-14.640000,,-13.091350,-14.640000,,"",,,,,"D1 PROFILE",
"80120800000049","Nodes","49",21.000000,28.864747,"DDS demands","Known Flow",464784.517628,181532.701607,,0.000000,,,,,-5.909999,,-5.284827,-5.909999,,"",,,,,"D1 PROFILE",
"80120800000111","Nodes","111",21.000000,28.872742,"DDS demands","Known Flow",464759.392621,181468.451589,,0.000000,,,,,-3.099999,,-2.772075,-3.099999,,"",,,,,"D1 PROFILE",
"80120800000051","Nodes","51",21.000000,26.538225,"DDS demands","Known Flow",464885.267656,181643.576637,,0.000000,,,,,-1.960000,,-1.752667,-1.960000,,"",,,,,"D1 PROFILE",
"80120800008000","Nodes","8000",21.000000,25.477333,"DDS demands","Known Flow",464929.324983,181960.066662,,0.000000,,,,,-9.450000,,-8.450359,-9.450000,,"",,,,,"D1 PROFILE",
"80120800000152","Nodes","152",21.000000,25.371529,"Default Known Flow Node","Known Flow",464905.142661,182048.826747,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000052","Nodes","52",21.000000,24.556763,"DDS demands","Known Flow",464887.392656,182065.576752,,0.000000,,,,,-11.539999,,-10.319274,-11.539999,,"",,,,,"D1 PROFILE",
"80120800000150","Nodes","150",21.000000,25.618881,"DDS demands","Known Flow",464548.267564,181749.326666,,0.000000,,,,,-9.390000,,-8.396706,-9.390000,,"",,,,,"D1 PROFILE",
"80120800000151","Nodes","151",21.000000,25.498781,"DDS demands","Known Flow",464569.767570,181801.326680,,0.000000,,,,,-3.989999,,-3.567929,-3.989999,,"",,,,,"D1 PROFILE",
"80120800000036","Nodes","36",21.000000,28.045037,"DDS demands","Known Flow",464467.767542,181717.826657,,0.000000,,,,,-12.040000,,-10.766383,-12.040000,,"",,,,,"D1 PROFILE",
