"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80017000000120","Nodes","120",21.000000,25.981498,"DDS demands","Known Flow",486672.906250,240944.296875,,0.000000,,,,,-2.580000,,,,-2.307082,-2.580000,,"",,,,,"D1 PROFILE",,,
"80017000000119","Nodes","119",21.000000,25.988959,"DDS demands","Known Flow",486670.406250,240959.796875,,0.000000,,,,,-14.270000,,,,-12.760490,-14.270000,,"",,,,,"D1 PROFILE",,,
"80017000000253","Nodes","253",21.000000,48.530391,"DDS demands","Known Flow",487301.593750,241329.296875,,0.000000,,,,,-2.710000,,,,-2.423330,-2.710000,,"",,,,,"D1 PROFILE",,,
"80017000000146","Nodes","146",21.000000,48.160741,"DDS demands","Known Flow",487351.093750,241380.500000,,0.000000,,,,,-3.549999,,,,-3.174473,-3.549999,,"",,,,,"D1 PROFILE",,,
"80017000000228","Nodes","228",21.000000,27.059601,"DDS demands","Known Flow",487910.593750,241226.593750,,0.000000,,,,,-5.709999,,,,-5.105984,-5.709999,,"",,,,,"D1 PROFILE",,,
"80017000000229","Nodes","229",21.000000,26.838305,"DDS demands","Known Flow",487789.312500,241175.796875,,0.000000,,,,,-4.869999,,,,-4.354840,-4.869999,,"",,,,,"D1 PROFILE",,,
"80017000000194","Nodes","194",21.000000,25.601549,"DDS demands","Known Flow",487929.906250,241149.093750,,0.000000,,,,0.000000,-18.219999,,,,-16.292649,-18.219999,,"",,,,"C4 PROFILE","D1 PROFILE",,,
"80017000000195","Nodes","195",21.000000,25.479509,"DDS demands","Known Flow",488045.370610,240997.490691,,0.000000,,,,,-1.580000,,,,-1.412864,-1.580000,,"",,,,,"D1 PROFILE",,,
"80017000000097","Nodes","97",21.000000,26.688905,"DDS demands","Known Flow",486997.312500,240942.796875,,0.000000,,,,,-7.809999,,,,-6.983841,-7.809999,,"",,,,,"D1 PROFILE",,,
"80017000000099","Nodes","99",21.000000,25.529058,"DDS demands","Known Flow",487023.312500,240867.906250,,0.000000,,,,,-6.840000,,,,-6.116450,-6.840000,,"",,,,,"D1 PROFILE",,,
