"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80002500000107","Nodes","107","21.000000","29.564208","DDS demands","Known Flow","458695.493041","221901.751863","","0.000000","","","","","","","","-22.499999","","","","","-20.119901","-22.499999","","","","","","","","","","I2 PROFILE","","","",""
"80002500000108","Nodes","108","21.000000","29.555611","DDS demands","Known Flow","458703.520301","221913.355782","","0.000000","-9.540000","","","","","","","","","","","","-8.530839","-9.540000","","","C1 PROFILE","","","","","","","","","","",""
"80002500000132","Nodes","132","21.000000","38.345025","DDS demands","Known Flow","458030.647606","222452.580195","","0.000000","","","","","","-15.739999","","","","","","","-14.074989","-15.739999","","","","","","","","D1 PROFILE","","","","","",""
"800025-9871557","Nodes","-9871557","21.000000","32.852271","Default Known Flow Node","Known Flow","458572.895850","223583.586211","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"800025-9851843","Nodes","-9851843","21.000000","32.852271","Default Known Flow Node","Known Flow","458533.390927","223602.838054","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000240","Nodes","240","21.000000","32.866572","DDS demands","Known Flow","458587.460913","223620.231264","","0.000000","","-10.649999","","","","-6.289999","","","","","","","-15.148051","-16.939999","","","","C2 PROFILE","","","","D1 PROFILE","","","","","",""
"800025-9861552","Nodes","-9861552","21.000000","32.796642","Default Known Flow Node","Known Flow","458551.053772","223524.819797","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"800025-9871556","Nodes","-9871556","21.000000","32.796642","Default Known Flow Node","Known Flow","458529.746926","223534.764036","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500001298","Nodes","1298","21.000000","32.795353","DDS demands","Known Flow","458546.549641","223508.805110","","0.000000","","","","","","-5.850000","","","","","","","-5.231174","-5.850000","","","","","","","","D1 PROFILE","","","","","",""
"80002500009000","Nodes","9000, P08116949, BUCKINGHAM ROAD, 51.51","25.000000","32.799919","CSEP DDS Matched","Known Flow","458564.416709","223560.931520","","0.000000","","","","","-34.060001","","-17.450001","","","","","","-46.061168","-51.510003","","","","","","","CC PROFILE","","DC PROFILE","","","","",""
"80002500000393","Nodes","393","21.000000","45.754819","DDS demands","Known Flow","459310.665941","223173.369345","","0.000000","","","","","","","","-20.189999","","","","","-18.054258","-20.189999","","","","","","","","","","I2 PROFILE","","","",""
"80002500001558","Nodes","1558","21.000000","29.727057","DDS demands","Known Flow","458661.544757","221827.207420","","0.000000","","-11.520000","","","","","","","","","","","-10.301390","-11.520000","","","","C2 PROFILE","","","","","","","","","",""
"80002500000394","Nodes","394","21.000000","45.805075","DDS demands","Known Flow","459334.120204","223157.315503","","0.000000","","","","","","","","-11.719999","","","","","-10.480234","-11.719999","","","","","","","","","","I2 PROFILE","","","",""
"80002500000693","Nodes","693","21.000000","35.690321","DDS demands","Known Flow","456873.515475","222764.962826","","0.000000","","","","","","-1.760000","","","","","","","-1.573823","-1.760000","","","","","","","","D1 PROFILE","","","","","",""
"80002500000694","Nodes","694","21.000000","35.398576","DDS demands","Known Flow","456863.390473","222749.962822","","0.000000","","","","","","-5.789999","","","","","","","-5.177521","-5.789999","","","","","","","","D1 PROFILE","","","","","",""
"80002500001534","Nodes","1534","21.000000","29.755130","DDS demands","Known Flow","458672.603127","221819.714944","","0.000000","-10.220000","","","-34.580001","","","","-22.800000","","","","","-60.449133","-67.600003","","","C1 PROFILE","","","C4 PROFILE","","","","I2 PROFILE","","","",""
"800025-9871552","Nodes","-9871552","21.000000","46.249207","Default Known Flow Node","Known Flow","459280.516130","223127.712925","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000971","Nodes","971","21.000000","45.329620","DDS demands","Known Flow","459220.266114","223076.587911","","0.000000","-24.729998","","","","","","","","","","","","-22.114007","-24.729998","","","C1 PROFILE","","","","","","","","","","",""
"80002500000440","Nodes","440","21.000000","44.744356","DDS demands","Known Flow","459160.040173","223121.599926","","0.000000","-33.709998","","","","","","","-15.800000","","","","","-44.272728","-49.509996","","","C1 PROFILE","","","","","","","I2 PROFILE","","","",""
"800025-91552","Nodes","-91552","21.000000","45.717956","Default Known Flow Node","Known Flow","459256.516124","223077.212911","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000436","Nodes","436","21.000000","45.604728","DDS demands","Known Flow","459250.141122","223067.337909","","0.000000","-10.119999","","","","","","","-11.899999","","","","","-19.690677","-22.020000","","","C1 PROFILE","","","","","","","I2 PROFILE","","","",""
"800025-981552","Nodes","-981552","21.000000","45.717956","Default Known Flow Node","Known Flow","459249.516122","223081.837912","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500001881","Nodes","1881","21.000000","29.602884","DDS demands","Known Flow","458609.965213","221748.813021","","0.000000","","-14.369999","","","","","","","","","","","-12.849910","-14.369999","","","","C2 PROFILE","","","","","","","","","",""
"80002500001535","Nodes","1535","21.000000","29.410715","DDS demands","Known Flow","458573.816305","221692.243860","","0.000000","-12.300000","","","-2.519999","","","","-8.350000","","","","","-20.719029","-23.170000","","","C1 PROFILE","","","C4 PROFILE","","","","I2 PROFILE","","","",""
"80002500001882","Nodes","1882","21.000000","45.981771","Default Known Flow Node","Known Flow","459259.766125","223107.837920","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500001536","Nodes","TALISMAN DG,","21.000000","32.000001","Default Known Pressure Node","Known Pressure","458742.167286","221719.497826","","1424.000001","","","","","","","","","","","","","132.970203","148.700004","","","","","","","","","","","","","",""
"80002500001553","Nodes","1553","21.000000","46.581904","Default Known Flow Node","Known Flow","459307.266138","223156.212933","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000003","Nodes","Group Profile 1, Churchill Road DG, Site ID 5518","21.000000","46.999998","Default Known Pressure Node","Known Pressure","459313.141139","223151.212931","","2910.000107","","","","","","","","","","","","","2319.426249","2593.804412","","","","","","","","","","","","","",""
"80002500001532","Nodes","1532","21.000000","45.935300","Default Known Flow Node","Known Flow","459314.141140","223160.212934","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"800025-851553","Nodes","-851553","21.000000","45.935300","Default Known Flow Node","Known Flow","459312.266139","223157.087933","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500001533","Nodes","1533","21.000000","45.766120","Default Known Flow Node","Known Flow","459312.100281","223172.297407","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500001549","Nodes","1549","21.000000","45.141092","Default Known Flow Node","Known Flow","459214.195275","223236.470955","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500001554","Nodes","1554","21.000000","44.931938","Default Known Flow Node","Known Flow","459183.499104","223256.781960","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500001541","Nodes","1541","21.000000","44.347854","Default Known Flow Node","Known Flow","459280.394949","223191.459125","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000946","Nodes","946","21.000000","44.277296","DDS demands","Known Flow","459525.141197","223158.712933","","0.000000","-10.609999","","","","","","","-12.250000","","","","","-20.441820","-22.860001","","","C1 PROFILE","","","","","","","I2 PROFILE","","","",""
"80002500000945","Nodes","945","21.000000","44.320587","Default Known Flow Node","Known Flow","459514.595562","223161.718142","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000247","Nodes","247","21.000000","31.820389","DDS demands","Known Flow","458461.015907","223599.963053","","0.000000","","","","","","-11.199999","","","","","","","-10.015240","-11.199999","","","","","","","","D1 PROFILE","","","","","",""
"800025-245","Nodes","-245","21.000000","32.319630","Default Known Flow Node","Known Flow","458504.810549","223670.352020","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000246","Nodes","246","21.000000","32.674956","DDS demands","Known Flow","458529.845926","223660.159070","","0.000000","","","","","","-20.469999","","","","","","","-18.304640","-20.469999","","","","","","","","D1 PROFILE","","","","","",""
"80002500001152","Nodes","1152","21.000000","26.608690","DDS demands","Known Flow","457536.765656","223616.088058","","0.000000","","","","","","-2.099999","","","","","","","-1.877857","-2.099999","","","","","","","","D1 PROFILE","","","","","",""
"80002500001333","Nodes","1333","21.000000","26.738413","DDS demands","Known Flow","457599.265673","223589.838051","","0.000000","","","","","","-2.440000","","","","","","","-2.181891","-2.440000","","","","","","","","D1 PROFILE","","","","","",""
"800025-68064","Nodes","-68064","21.000000","32.668147","Default Known Flow Node","Known Flow","458448.640904","223318.212977","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"800025-981862","Nodes","-981862","21.000000","31.860979","Default Known Flow Node","Known Flow","458428.130369","223511.324731","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000249","Nodes","249","21.000000","31.768320","DDS demands","Known Flow","458441.890902","223515.588031","","0.000000","","","","","","-8.510000","","","","","","","-7.609794","-8.510000","","","","","","","","D1 PROFILE","","","","","",""
"80002500000252","Nodes","252","21.000000","31.592390","Default Known Flow Node","Known Flow","458333.515873","223565.838044","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500001813","Nodes","1813","21.000000","29.412342","Default Known Flow Node","Known Flow","457959.765771","223020.712896","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000076","Nodes","76","21.000000","29.413766","DDS demands","Known Flow","457875.765748","223092.712915","","0.000000","","","","","","-9.050000","","","","","","","-8.092672","-9.050000","","","","","","","","D1 PROFILE","","","","","",""
"80002500000681","Nodes","681","21.000000","31.177551","DDS demands","Known Flow","456991.265507","223137.712928","","0.000000","","","","","","-6.139999","","","","","","","-5.490497","-6.139999","","","","","","","","D1 PROFILE","","","","","",""
"80002500000682","Nodes","682","21.000000","31.129940","DDS demands","Known Flow","457002.765511","223170.212937","","0.000000","","","","","","-3.370000","","","","","","","-3.013514","-3.370000","","","","","","","","D1 PROFILE","","","","","",""
"80002500002222","Nodes","2222","21.000000","22.196431","DDS demands","Known Flow","458344.265876","222253.087687","","0.000000","","-51.740000","","","","","","","","","","","-46.266836","-51.740000","","","","C2 PROFILE","","","","","","","","","",""
"80002500001908","Nodes","1908","21.000000","22.196431","Default Known Flow Node","Known Flow","458378.890885","222251.087686","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500001316","Nodes","","21.000000","21.910101","DDS demands","Known Flow","458338.485713","222220.294114","","0.000000","","","","","","-13.550000","","","","","","","-12.116652","-13.550000","","","","","","","","D1 PROFILE","","","","","",""
"80002500000968","Nodes","968","21.000000","21.413754","Default Known Flow Node","Known Flow","458354.515878","222170.337664","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"800025-188627","Nodes","-188627","21.000000","32.647669","Default Known Flow Node","Known Flow","459978.141320","223296.712971","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500001139","Nodes","1139","21.000000","26.454344","Default Known Flow Node","Known Flow","459926.016306","223386.962996","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000749","Nodes","749","21.000000","33.150817","Default Known Flow Node","Known Flow","458959.257900","223822.203738","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000750","Nodes","750","21.000000","33.150817","Default Known Flow Node","Known Flow","458977.766048","223812.463111","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"80002500000615","Nodes","615","21.000000","32.943149","DDS demands","Known Flow","458913.016030","223787.588105","","0.000000","","","","","","-11.329999","","","","","","","-10.131489","-11.329999","","","","","","","","D1 PROFILE","","","","","",""
"80002500000172","Nodes","172","21.000000","31.565793","Default Known Flow Node","Known Flow","458627.890953","222296.587699","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
