"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80004600001209","Nodes","1209",21.000000,38.833619,"DDS demands","Known Flow",471613.015221,138637.450625,,0.000000,,,,,,,-3.739999,,,,,,,,-3.344374,-3.739999,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004600000929","Nodes","929",21.000000,38.683520,"DDS demands","Known Flow",471612.534507,138608.718847,,0.000000,,,,,,,-12.529999,,,,,,,,-11.204550,-12.529999,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004600000963","Nodes","963",21.000000,36.602380,"DDS demands","Known Flow",472097.450994,138705.230469,,0.000000,,,,,,,-4.050000,,,,,,,,-3.621582,-4.050000,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004600000585","Nodes","585",21.000000,24.636016,"DDS demands","Known Flow",472817.058337,140012.568975,,0.000000,-3.199999,,,,,,-4.050000,,,-1.290000,,,,,-7.636621,-8.540000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,"I2 PROFILE",,,,
"80004600001071","Nodes","1071",21.000000,24.299615,"Default Known Flow Node","Known Flow",472777.283261,139991.632141,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004600000583","Nodes","583",21.000000,25.250269,"DDS demands","Known Flow",472861.169584,140045.641309,,0.000000,,,,,,,-3.430000,,,-96.449996,,,,,-89.314484,-99.879995,,"",,,,,,,"D1 PROFILE",,,"I2 PROFILE",,,,
"80004600001042","Nodes","1042",21.000000,27.343136,"DDS demands","Known Flow",471635.406492,139593.803195,,0.000000,,,,,,,-0.379999,,,,,,,,-0.339802,-0.379999,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004600001043","Nodes","1043",21.000000,26.680867,"DDS demands","Known Flow",471554.476997,139646.391039,,0.000000,-2.450000,,,,,,-1.909999,,,,,,,,-3.898790,-4.360000,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,
"80004600000478","Nodes","478",21.000000,38.202360,"DDS demands","Known Flow",472360.049541,139371.206773,,0.000000,,,,,,,-8.779999,,,,,,,,-7.851233,-8.779999,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004600000983","Nodes","983",21.000000,39.378395,"DDS demands","Known Flow",472425.434887,139432.809318,,0.000000,,,,,,,-2.230000,,,,,,,,-1.994105,-2.230000,,"",,,,,,,"D1 PROFILE",,,,,,,
