"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"80120000000098","Nodes","98",21.000000,24.922714,"DDS demands","Known Flow",449907.513580,235994.591426,,0.000000,-6.070000,,,,-3.540000,,,-8.593434,-9.610000,,"","C1 PROFILE",,,,"D1 PROFILE",,
"80120000000100","Nodes","100",21.000000,24.546485,"DDS demands","Known Flow",449952.679980,235838.956796,,0.000000,,,,,-3.650000,,,-3.263895,-3.650000,,"",,,,,"D1 PROFILE",,
"80120000008215","Nodes","-229678",21.000000,45.346539,"Default Known Flow Node","Known Flow",449721.513529,236443.966548,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000142","Nodes","142",21.000000,45.688301,"DDS demands","Known Flow",449705.133954,236438.236158,,0.000000,-6.170000,,,,,,,-5.517324,-6.170000,,"","C1 PROFILE",,,,,,
"80120000000009","Nodes","9",21.000000,34.453123,"DDS demands","Known Flow",449765.388541,236270.966501,,0.000000,-6.000000,,,,-15.630000,,,-19.341933,-21.630000,,"","C1 PROFILE",,,,"D1 PROFILE",,
"80120000008182","Nodes","-140215",21.000000,31.947098,"Default Known Flow Node","Known Flow",449718.973641,236246.423216,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000043","Nodes","43",21.000000,32.638258,"DDS demands","Known Flow",449860.888567,236289.466506,,0.000000,,,,,-2.339999,,,-2.092469,-2.339999,,"",,,,,"D1 PROFILE",,
"80120000000008","Nodes","8",21.000000,34.974647,"DDS demands","Known Flow",449772.638543,236272.716502,,0.000000,,,,,-14.770000,,,-13.207598,-14.770000,,"",,,,,"D1 PROFILE",,
"80120000000099","Nodes","99",21.000000,24.721968,"DDS demands","Known Flow",449989.513602,236030.341436,,0.000000,,,,,-5.420000,,,-4.846660,-5.420000,,"",,,,,"D1 PROFILE",,
"80120000008193","Nodes","-140278",21.000000,37.867227,"Default Known Flow Node","Known Flow",449971.513597,236564.091581,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000091","Nodes","91",21.000000,37.832291,"DDS demands","Known Flow",450000.388605,236552.091578,,0.000000,,,,,-8.130000,,,-7.269991,-8.130000,,"",,,,,"D1 PROFILE",,
"80120000000103","Nodes","103",21.000000,27.713830,"DDS demands","Known Flow",450059.890093,236380.085912,,0.000000,,,,,-20.490000,,,-18.322526,-20.490000,,"",,,,,"D1 PROFILE",,
"80120000000012","Nodes","12",21.000000,31.263374,"DDS demands","Known Flow",449882.638573,236302.841510,,0.000000,,,,-1.669999,-16.899999,,,-16.605626,-18.570000,,"",,,,"C4 PROFILE","D1 PROFILE",,
"80120000000062","Nodes","62",21.000000,37.604805,"DDS demands","Known Flow",450014.013609,236483.341559,,0.000000,,,,,-4.489999,,,-4.015038,-4.489999,,"",,,,,"D1 PROFILE",,
"80120000000060","Nodes","60",21.000000,37.390325,"DDS demands","Known Flow",449951.138592,236502.716564,,0.000000,,,,,-2.900000,,,-2.593232,-2.900000,,"",,,,,"D1 PROFILE",,
"80120000008177","Nodes","-140197",21.000000,54.387168,"Default Known Flow Node","Known Flow",449462.138459,236819.841651,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000125","Nodes","125",21.000000,49.643503,"Default Known Flow Node","Known Flow",449568.758373,236610.934603,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000127","Nodes","127",21.000000,23.746264,"DDS demands","Known Flow",450204.138661,236719.091623,,0.000000,,,,,-4.909999,,,-4.390609,-4.909999,,"",,,,,"D1 PROFILE",,
"80120000000149","Nodes","149",21.000000,23.746264,"Default Known Flow Node","Known Flow",450235.888669,236733.966627,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000119","Nodes","119",21.000000,32.278695,"Default Known Flow Node","Known Flow",449911.557215,236415.701364,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000066","Nodes","66, 10289/01, ARUNDEL CLOSE, 26.12scmh",25.000000,31.834657,"CSEP DDS Matched","Known Flow",449899.388578,236412.341540,,0.000000,,,,,-3.670000,-26.120001,,-26.638753,-29.790001,,"",,,,,"D1 PROFILE","DC PROFILE",
"80120000000120","Nodes","120",21.000000,32.278695,"Default Known Flow Node","Known Flow",449910.138581,236409.591539,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000065","Nodes","65",21.000000,34.066083,"DDS demands","Known Flow",449945.138590,236449.716550,,0.000000,,,,,-1.760000,,,-1.573823,-1.760000,,"",,,,,"D1 PROFILE",,
"80120000008217","Nodes","-229681",21.000000,34.131450,"Default Known Flow Node","Known Flow",449768.888542,236268.966501,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000008001","Nodes","8001",21.000000,27.458248,"Default Known Flow Node","Known Flow",450070.569909,236382.098786,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000018","Nodes","18",21.000000,24.815102,"DDS demands","Known Flow",450188.318012,236403.867343,,0.000000,,-21.320000,,,-7.400000,,,-25.681938,-28.720001,,"",,"C2 PROFILE",,,"D1 PROFILE",,
"80120000000027","Nodes","27",21.000000,31.090931,"DDS demands","Known Flow",449781.513546,236146.841468,,0.000000,,,,,-4.880000,,,-4.363783,-4.880000,,"",,,,,"D1 PROFILE",,
"80120000008000","Nodes","8000",21.000000,30.916415,"Default Known Flow Node","Known Flow",449742.451250,236145.473043,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000028","Nodes","28",21.000000,30.898662,"DDS demands","Known Flow",449737.138534,236145.466467,,0.000000,,,,,-5.749999,,,-5.141752,-5.749999,,"",,,,,"D1 PROFILE",,
"80120000000013","Nodes","13",21.000000,30.776646,"DDS demands","Known Flow",449876.888572,236109.216457,,0.000000,,,,-4.600000,-6.710000,,,-10.113604,-11.310000,,"",,,,"C4 PROFILE","D1 PROFILE",,
"80120000000116","Nodes","116",21.000000,30.888402,"Default Known Flow Node","Known Flow",449889.941631,236112.292222,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000000055","Nodes","55",21.000000,27.342832,"DDS demands","Known Flow",449967.013596,236140.841466,,0.000000,,,,,-15.020000,,,-13.431153,-15.020000,,"",,,,,"D1 PROFILE",,
"80120000008219","Nodes","-229685",21.000000,31.257594,"Default Known Flow Node","Known Flow",449873.388571,236103.966456,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000008197","Nodes","-143",21.000000,31.016681,"Default Known Flow Node","Known Flow",449891.066486,236108.572673,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000008220","Nodes","-229686",21.000000,30.965198,"Default Known Flow Node","Known Flow",449903.638579,236113.091458,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000008206","Nodes","-165386",21.000000,24.775568,"Default Known Flow Node","Known Flow",450188.069656,236405.480538,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80120000008207","Nodes","-165388",21.000000,24.814831,"Default Known Flow Node","Known Flow",450194.263658,236404.966538,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
