"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80003900002117","Nodes","2117","21.000000","32.277111","DDS demands","Known Flow","491415.874709","210957.955346","","0.000000","","","","","","-20.839999","","","","-18.635498","-20.839999","","","","","","","","D1 PROFILE","","",""
"80003900171138","Nodes","171138","21.000000","31.697429","Default Known Flow Node","Known Flow","491326.036260","210954.844069","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900002060","Nodes","2060","21.000000","39.254922","DDS demands","Known Flow","492102.097062","211847.883856","","0.000000","","","","","","-17.940000","","","","-16.042268","-17.940000","","","","","","","","D1 PROFILE","","",""
"80003900001037","Nodes","P00051193, 59 DUNDALE ROAD CP2, 8.86scm/h","22.999998","37.712686","CSEP DDS Matched","Known Flow","492047.625971","211805.582583","","0.000000","","","","","","","-8.859999","","","-7.922769","-8.859999","","","","","","","","","DC PROFILE","",""
"80003900001040","Nodes","P00053973, 59 Dundale Road CP1, 16.33scm/h","24.000000","39.635528","CSEP DDS Matched","Known Flow","492058.747629","211888.838228","","0.000000","","","","","","","-16.330000","","","-14.602576","-16.330000","","","","","","","","","DC PROFILE","",""
"80003900000022","Nodes","22","21.000000","45.435738","Default Known Flow Node","Known Flow","492652.632380","212188.906848","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000342","Nodes","342","21.000000","46.145050","Default Known Flow Node","Known Flow","492652.723476","212177.897290","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900009003","Nodes","9003","21.000000","49.971737","Default Known Flow Node","Known Flow","492074.516108","211398.675106","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000266","Nodes","266","21.000000","49.752042","Default Known Flow Node","Known Flow","492074.206171","211393.449514","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900009002","Nodes","9002","21.000000","49.601187","Default Known Flow Node","Known Flow","492659.239957","212170.652775","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000314","Nodes","314","21.000000","31.016950","Default Known Flow Node","Known Flow","491634.116274","210979.837591","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900002119","Nodes","2119","21.000000","31.331834","Default Known Flow Node","Known Flow","491622.882308","210978.414417","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900077725","Nodes","77725","21.000000","31.052239","Default Known Flow Node","Known Flow","491656.060968","210982.239041","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000311","Nodes","311","21.000000","36.012632","Default Known Flow Node","Known Flow","491972.963084","211342.854727","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900002094","Nodes","2094","21.000000","36.013150","DDS demands","Known Flow","491954.621297","211352.143654","","0.000000","","","","","","-2.910000","","","","-2.602173","-2.910000","","","","","","","","D1 PROFILE","","",""
"80003900000310","Nodes","310","21.000000","36.081061","Default Known Flow Node","Known Flow","491965.298951","211337.363383","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000447","Nodes","447","21.000000","36.228411","Default Known Flow Node","Known Flow","491952.140864","211341.899815","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900002092","Nodes","2092","21.000000","35.825584","DDS demands","Known Flow","491972.731947","211325.563871","","0.000000","","","","","","-11.329999","","","","-10.131487","-11.329999","","","","","","","","D1 PROFILE","","",""
"80003900000251","Nodes","251","21.000000","35.155165","DDS demands","Known Flow","491895.524785","211521.888029","","0.000000","","","","","","-6.099999","","","","-5.454728","-6.099999","","","","","","","","D1 PROFILE","","",""
"80003900000235","Nodes","235","21.000000","31.894318","DDS demands","Known Flow","493080.513335","213324.071468","","0.000000","","-13.720000","","","","","","","","-12.268668","-13.720000","","","","C2 PROFILE","","","","","","",""
"80003900000234","Nodes","234","21.000000","32.771028","Default Known Flow Node","Known Flow","492874.485089","213181.764105","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900104258","Nodes","104258","21.000000","31.877683","Default Known Flow Node","Known Flow","493096.331873","213339.402622","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000242","Nodes","242","21.000000","31.412867","DDS demands","Known Flow","493187.410640","213220.380718","","0.000000","-24.999999","","","","","","","","","-22.355443","-24.999999","","","C1 PROFILE","","","","","","","",""
"80003900000307","Nodes","307","21.000000","32.419120","Default Known Flow Node","Known Flow","493087.943633","212401.730341","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900002220","Nodes","2220","21.000000","44.702286","Default Known Flow Node","Known Flow","492551.400720","211771.551629","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000302","Nodes","302","21.000000","43.044697","Default Known Flow Node","Known Flow","492745.760877","211691.262857","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900002209","Nodes","2209","21.000000","43.277288","DDS demands","Known Flow","492692.274222","211639.728799","","0.000000","","","","","","-29.309998","","","","-26.209523","-29.309998","","","","","","","","D1 PROFILE","","",""
"80003900000261","Nodes","261","21.000000","42.998484","Default Known Flow Node","Known Flow","492751.765238","211695.155814","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000300","Nodes","300","21.000000","37.276937","Default Known Flow Node","Known Flow","492939.046300","212002.800127","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000299","Nodes","299","21.000000","37.089194","Default Known Flow Node","Known Flow","492935.712104","211992.456131","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900093873","Nodes","93873","21.000000","37.422758","Default Known Flow Node","Known Flow","492934.849570","212006.629838","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900001072","Nodes","1072","21.000000","34.783395","DDS demands","Known Flow","492971.840089","212018.551753","","0.000000","","","","","","-16.149999","","","","-14.441616","-16.149999","","","","","","","","D1 PROFILE","","",""
"80003900003045","Nodes","3045","21.000000","38.062314","DDS demands","Known Flow","493079.758743","211707.215875","","0.000000","","","","","","-8.510000","","","","-7.609793","-8.510000","","","","","","","","D1 PROFILE","","",""
"80003900003046","Nodes","3046","21.000000","31.958855","DDS demands","Known Flow","493275.092381","211845.071855","","0.000000","","","","","","-18.230000","","","","-16.301589","-18.230000","","","","","","","","D1 PROFILE","","",""
"80003900009118","Nodes","9118","21.000000","32.979202","Default Known Flow Node","Known Flow","491924.608013","211016.954630","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900009119","Nodes","9119","21.000000","32.781261","DDS demands","Known Flow","491954.678021","210902.663598","","0.000000","","","-3.260000","","","","","","","-2.915150","-3.260000","","","","","C3 PROFILE","","","","","",""
"80003900077810","Nodes","77810","21.000000","36.654239","Default Known Flow Node","Known Flow","491976.638027","211035.268635","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900002128","Nodes","2128","21.000000","32.325655","Default Known Flow Node","Known Flow","491897.883277","211009.844331","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000293","Nodes","293","21.000000","37.966609","Default Known Flow Node","Known Flow","492017.055362","210895.925461","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000296","Nodes","296","21.000000","38.098026","Default Known Flow Node","Known Flow","492053.572048","210862.081587","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900000292","Nodes","292","21.000000","37.922813","DDS demands","Known Flow","492078.639055","211020.263630","","0.000000","","","","","","-4.650000","","","","-4.158112","-4.650000","","","","","","","","D1 PROFILE","","",""
"80003900003051","Nodes","3051","21.000000","37.796690","Default Known Flow Node","Known Flow","491995.058032","211045.590637","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900009116","Nodes","9116","21.000000","37.922813","Default Known Flow Node","Known Flow","492085.226057","211019.355630","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900092668","Nodes","92668","21.000000","37.912437","Default Known Flow Node","Known Flow","492008.822422","211056.874957","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900002143","Nodes","2143","21.000000","37.787061","DDS demands","Known Flow","491993.640432","211044.944590","","0.000000","","","","","","-3.370000","","","","-3.013514","-3.370000","","","","","","","","D1 PROFILE","","",""
"80003900093727","Nodes","93727","21.000000","35.106084","Default Known Flow Node","Known Flow","492409.957381","212694.733321","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900008005","Nodes","Logger 5615, New Road","21.000000","35.095399","Val Log Post","Known Flow","492404.145401","212688.402215","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900008004","Nodes","Logger 5616, Grove Park","21.000000","33.271053","Val Log Post","Known Flow","493149.511119","212029.165033","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900002269","Nodes","2269","21.000000","37.830187","Default Known Flow Node","Known Flow","491875.037368","211136.940265","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900008003","Nodes","Logger 5617, Miswell Lane","21.000000","37.830689","Val Log Post","Known Flow","491873.139321","211139.303402","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900001111","Nodes","1111","21.000000","30.930445","DDS demands","Known Flow","493453.533870","211931.599192","","0.000000","","","","","","-7.050000","","","","-6.304235","-7.050000","","","","","","","","D1 PROFILE","","",""
"80003900009112","Nodes","9112","21.000000","30.233501","DDS demands","Known Flow","493772.036848","211758.406233","","0.000000","-6.000000","","","","","","","","","-5.365306","-6.000000","","","C1 PROFILE","","","","","","","",""
"80003900002205","Nodes","2205","21.000000","42.857657","DDS demands","Known Flow","492728.024697","211555.664933","","0.000000","","","","","","-19.600000","","","","-17.526668","-19.600000","","","","","","","","D1 PROFILE","","",""
"80003900002207","Nodes","2207","21.000000","41.650965","DDS demands","Known Flow","492904.699381","211628.356882","","0.000000","","-6.000000","","","","-17.059999","","","","-20.620661","-23.060000","","","","C2 PROFILE","","","","D1 PROFILE","","",""
"80003900092897","Nodes","92897","21.000000","41.099153","Default Known Flow Node","Known Flow","492999.782678","211667.440788","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80003900002283","Nodes","2283","21.000000","44.037994","DDS demands","Known Flow","492550.676847","211468.949652","","0.000000","-12.000000","","","-5.179999","","-4.389999","","","","-19.241957","-21.518199","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","",""
"80003900000262","Nodes","262","21.000000","44.103222","Default Known Flow Node","Known Flow","492634.530325","211521.593618","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
