"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80019800000010","Nodes",,0.000000,51.634989,"Default Known Flow Node","Known Flow",473918.770114,211156.709668,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000011","Nodes",,0.000000,50.776712,"DDS demands","Known Flow",473924.270115,211188.084676,0.000000,,,,,-12.409999,,,,,,-11.097210,-12.409999,"",,,,,"D1 PROFILE",,,,,
"80019800000012","Nodes",,0.000000,54.011646,"Default Known Flow Node","Known Flow",474019.662141,211122.023658,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000013","Nodes",,0.000000,53.966728,"Default Known Flow Node","Known Flow",474000.750136,211166.402670,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000014","Nodes",,0.000000,64.155792,"Default Known Flow Node","Known Flow",473867.020100,211002.459626,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000031","Nodes",,0.000000,64.155792,"DDS demands","Known Flow",473896.145107,210950.584611,0.000000,,,,,-12.479999,,,,,,-11.159804,-12.479999,"",,,,,"D1 PROFILE",,,,,
"80019800000016","Nodes",,0.000000,48.164891,"Default Known Flow Node","Known Flow",473698.895054,211213.584683,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000046","Nodes",,0.000000,49.380658,"Default Known Flow Node","Known Flow",473711.425997,211196.630582,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000018","Nodes",,0.000000,41.444741,"DDS demands","Known Flow",473807.020083,211278.084701,0.000000,,,,-0.560000,-26.849999,,,,,,-24.510439,-27.409998,"",,,,"C4 PROFILE","D1 PROFILE",,,,,
"80019800000019","Nodes",,0.000000,41.452085,"DDS demands","Known Flow",473814.895085,211232.209688,0.000000,,,,,-3.780000,,,,,,-3.380133,-3.780000,"",,,,,"D1 PROFILE",,,,,
