"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-PL)"
"60208000000005","Nodes","5","21.000000","44.208078","DDS demands","Known Flow","345178.186082","720954.683388","","0.000000","","","","-18.740000","","","","","-16.757644","-18.740000","","","","","","D1 PROFILE","","","",""
"60208000000006","Nodes","6","21.000000","44.148263","DDS demands","Known Flow","345130.352069","720981.463395","","0.000000","","","","-2.170000","","","","","-1.940452","-2.170000","","","","","","D1 PROFILE","","","",""
"60208000000004","Nodes","4","21.000000","47.107821","DDS demands","Known Flow","345100.991422","720839.118937","","0.000000","","","","-26.379999","","","","","-23.589467","-26.379999","","","","","","D1 PROFILE","","","",""
"60208000000052","Nodes","52","21.000000","49.936189","DDS demands","Known Flow","345301.676640","720677.565464","","0.000000","","","","-20.809999","","","","","-18.608673","-20.809999","","","","","","D1 PROFILE","","","",""
"60208000000002","Nodes","2","21.000000","49.926876","DDS demands","Known Flow","345313.520119","720670.866311","","0.000000","","","","-8.909999","","","","","-7.967481","-8.909999","","","","","","D1 PROFILE","","","",""
"60208000000051","Nodes","Meteor Row DG, Tel, Constant, Site ID 1798","21.000000","49.999998","Default Known Pressure Node","Known Pressure","345299.238798","720675.158965","","396.489982","","","","","","","","","111.365897","124.539994","","","","","","","","","",""
"60208000001171","Nodes","-76705","21.000000","48.715261","Default Known Flow Node","Known Flow","345179.464138","720830.271856","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000003","Nodes","3","21.000000","48.599954","DDS demands","Known Flow","345171.169080","720818.999351","","0.000000","","","","-9.639999","","","","","-8.620260","-9.639999","","","","","","D1 PROFILE","","","",""
"60208000000009","Nodes","9","21.000000","42.444786","DDS demands","Known Flow","345192.973773","721109.243670","","0.000000","","","","-11.960000","","","","","-10.694846","-11.960000","","","","","","D1 PROFILE","","","",""
"60208000001173","Nodes","-76708","21.000000","43.287381","Default Known Flow Node","Known Flow","345236.241595","721045.072155","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
