"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60605400001019","Nodes","1019","21.000000","42.283850","Default Known Flow Node","Known Flow","382576.686886","812923.997207","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400001018","Nodes","1018","21.000000","40.692385","Default Known Flow Node","Known Flow","382570.000000","812964.625000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400001009","Nodes","1009","21.000000","23.085390","DDS demands","Known Flow","382375.041736","813110.439219","","0.000000","","","-4.940000","","","-4.417436","-4.940000","","","","","D1 PROFILE","",""
"60605400001010","Nodes","1010","21.000000","23.216426","DDS demands","Known Flow","382422.043254","813135.531370","","0.000000","","","-11.360000","","","-10.158315","-11.360000","","","","","D1 PROFILE","",""
"60605400001008","Nodes","1008","21.000000","24.542574","DDS demands","Known Flow","382488.882138","813161.641493","","0.000000","","","-1.159999","","","-1.037292","-1.159999","","","","","D1 PROFILE","",""
"60605400001011","Nodes","1011","21.000000","23.003118","DDS demands","Known Flow","382411.283150","813201.501201","","0.000000","","","-7.070000","","","-6.322121","-7.070000","","","","","D1 PROFILE","",""
"60605400001006","Nodes","1006","21.000000","24.539441","DDS demands","Known Flow","382490.000000","813151.875000","","0.000000","","","-5.239999","","","-4.685701","-5.239999","","","","","D1 PROFILE","",""
"60605400000101","Nodes","101","21.000000","24.494307","DDS demands","Known Flow","382506.382070","813091.226425","","0.000000","","","-23.299998","","","-20.835275","-23.299998","","","","","D1 PROFILE","",""
"60605400001001","Nodes","P00080393, Fintry Road (Deans Well), 350.03","27.000000","30.530294","CSEP DDS Matched","Known Flow","382601.000000","813199.000000","","","","-28.170001","","-303.950027","","-296.987670","-332.120023","","","","CT PROFILE","","DC PROFILE",""
"60605400001003","Nodes","1003","21.000000","27.353466","DDS demands","Known Flow","382569.512532","813206.104774","","0.000000","","","-2.730000","","","-2.441214","-2.730000","","","","","D1 PROFILE","",""
"60605400001012","Nodes","1012","21.000000","24.808455","DDS demands","Known Flow","382515.090478","813210.582514","","0.000000","","","-18.939999","","","-16.936487","-18.939999","","","","","D1 PROFILE","",""
"60605400001013","Nodes","1013","21.000000","24.764042","Default Known Flow Node","Known Flow","382509.250000","813247.375000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400001002","Nodes","1002","21.000000","27.062617","DDS demands","Known Flow","382535.907007","813149.134230","","0.000000","","","-7.239999","","","-6.474137","-7.239999","","","","","D1 PROFILE","",""
"60605400001005","Nodes","1005","21.000000","25.311058","DDS demands","Known Flow","382573.769603","813218.535821","","0.000000","","","-5.530000","","","-4.945025","-5.530000","","","","","D1 PROFILE","",""
"60605400001004","Nodes","1004","21.000000","24.564160","DDS demands","Known Flow","382583.035639","813267.927367","","0.000000","","","-14.569999","","","-13.028754","-14.569999","","","","","D1 PROFILE","",""
"60605400000102","Nodes","102","21.000000","24.893225","DDS demands","Known Flow","382346.453549","813028.747430","","0.000000","","","-0.820000","","","-0.733258","-0.820000","","","","","D1 PROFILE","",""
"60605400000103","Nodes","103","21.000000","24.735592","DDS demands","Known Flow","382433.875000","812968.375000","","0.000000","","","-11.199999","","","-10.015240","-11.199999","","","","","D1 PROFILE","",""
"60605400001015","Nodes","LITTLE CLINTERTY RRI","21.000000","75.000004","Default Known Pressure Node","Known Pressure","383135.655930","812160.858388","","0.000000","","","","","","1.546996","1.729999","","","","","","",""
"60605400001016","Nodes","1016","21.000000","38.759449","Default Known Flow Node","Known Flow","382548.320669","812917.120185","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400001007","Nodes","1007","21.000000","31.184727","Default Known Flow Node","Known Flow","382592.253258","813195.599163","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000020","Nodes","20","21.000000","42.007414","Default Known Flow Node","Known Flow","382755.125000","812489.500000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000019","Nodes","19","21.000000","45.434024","DDS demands","Known Flow","382777.250000","812552.500000","","0.000000","","","-0.589999","","","-0.527588","-0.589999","","","","","D1 PROFILE","",""
"60605400001017","Nodes","1017","21.000000","48.347781","Default Known Flow Node","Known Flow","382939.955363","812459.975099","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000021","Nodes","21","21.000000","32.482677","Default Known Flow Node","Known Flow","382608.388275","813181.932306","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000055","Nodes","55","21.000000","46.336775","Default Known Flow Node","Known Flow","382597.008661","812890.375966","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
