"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60603400001551","Nodes","-322110","21.000000","47.413460","Default Known Flow Node","Known Flow","322455.757899","869734.976872","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603400000103","Nodes","103","21.000000","47.413460","DDS demands","Known Flow","322458.328900","869733.280116","","0.000000","","","","","","-6.110000","","","","-5.463671","-6.110000","","","","","","","","D1 PROFILE","","",""
"60603400000265","Nodes","P08119817, Huntly House Stotfield Road, -20.220","22.999998","25.995651","CSEP DDS Matched","Known Flow","323116.836079","871075.023237","","0.000000","","","","","","","-20.220000","","","-18.081085","-20.220000","","","","","","","","","DC PROFILE","",""
"60603400000264","Nodes","264","21.000000","49.873024","Default Known Flow Node","Known Flow","322324.321067","870088.725720","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603400001021","Nodes","1021","21.000000","43.782328","Default Known Flow Node","Known Flow","322884.846856","869895.235449","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603400001566","Nodes","-322154","21.000000","43.782328","Default Known Flow Node","Known Flow","322896.378009","869909.168716","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603400000011","Nodes","11","21.000000","47.678151","DDS demands","Known Flow","322547.529555","869820.928025","","0.000000","","","","","","-10.359999","","","","-9.264096","-10.359999","","","","","","","","D1 PROFILE","","",""
"60603400001020","Nodes","P09121634, Inchbroom Wood Avenue, 56.4 SCMH","24.000000","34.059413","CSEP DDS Matched","Known Flow","323419.037216","869822.223121","","0.000000","","","","","","","-5.650000","","","-5.052331","-5.650000","","","","","","","","","DC PROFILE","",""
"60603400000117","Nodes","117","21.000000","43.871465","DDS demands","Known Flow","322735.078975","869593.489834","","0.000000","","","","","","-3.950000","","","","-3.532160","-3.950000","","","","","","","","D1 PROFILE","","",""
"60603400001019","Nodes","1019","21.000000","43.871465","Default Known Flow Node","Known Flow","322732.217448","869579.620324","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
