"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"60203500000061","Nodes","61","21.000000","39.892584","DDS demands","Known Flow","329493.780194","699545.356236","","0.000000","","","","","-6.360000","","-5.687226","-6.360000","","","","","","","D1 PROFILE",""
"60203500000130","Nodes","P00065553, Main Street, 17.63","24.000000","39.307932","CSEP DDS Matched","Known Flow","329726.979214","699569.401360","","0.000000","","","","","-3.810000","-17.629998","-19.172031","-21.439999","","","","","","","D1 PROFILE","DC PROFILE"
"60203500000115","Nodes","115","21.000000","37.418578","DDS demands","Known Flow","329804.105898","699576.092571","","0.000000","","","","","-16.399999","","-14.665173","-16.399999","","","","","","","D1 PROFILE",""
"60203500000107","Nodes","107","21.000000","39.986245","Default Known Flow Node","Known Flow","329493.105814","699508.092552","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203500000001","Nodes","Coaltown of Balgonie DG, Clocked, Site ID 1878","21.000000","40.000000","Default Known Pressure Node","Known Pressure","329489.355813","699508.092552","","999998.967025","","","","","","","537.380255","600.950002","","","","","","","",""
"60203500000063","Nodes","63","21.000000","36.412249","DDS demands","Known Flow","329820.013577","699507.725006","","0.000000","","","","","-3.569999","","-3.192357","-3.569999","","","","","","","D1 PROFILE",""
"60203500000062","Nodes","62","21.000000","36.273086","DDS demands","Known Flow","329887.730921","699527.592557","","0.000000","","","","","-7.489999","","-6.697691","-7.489999","","","","","","","D1 PROFILE",""
"60203500002129","Nodes","-1462498","21.000000","34.929166","Default Known Flow Node","Known Flow","329913.480928","699591.717575","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203500002114","Nodes","-12","21.000000","34.929166","Default Known Flow Node","Known Flow","329913.980928","699590.217574","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203500002119","Nodes","-1462477","21.000000","33.763638","Default Known Flow Node","Known Flow","329992.730950","699618.342582","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
