"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"60210900000007","Nodes","","21.000000","65.323493","DDS demands","Known Flow","341856.840000","736971.495000","","0.000000","","","-2.759999","-2.468041","-2.759999","","","","","D1 PROFILE"
"60210900000002","Nodes","","21.000000","69.342036","DDS demands","Known Flow","341721.340000","736965.745000","","0.000000","","","-1.820000","-1.627476","-1.820000","","","","","D1 PROFILE"
"60210900000001","Nodes","INVERALDIE DG, Tel, Site I.D. 1654","21.000000","69.999999","Default Known Pressure Node","Known Pressure","341706.215000","736934.620000","","999998.967025","","","","50.657442","56.650002","","","","",""
"60210900000003","Nodes","","21.000000","67.730779","DDS demands","Known Flow","341783.340000","737002.870000","","0.000000","","","-1.169999","-1.046234","-1.169999","","","","","D1 PROFILE"
"60210900000008","Nodes","8","21.000000","66.017702","Default Known Flow Node","Known Flow","341860.215000","737200.870000","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000005","Nodes","","21.000000","65.987953","DDS demands","Known Flow","341866.715000","737089.495000","","0.000000","","-2.289999","0.000000","-2.047759","-2.289999","","","","C4 PROFILE","D1 PROFILE"
"60210900000009","Nodes","","21.000000","65.451885","DDS demands","Known Flow","341934.465000","737010.995000","","0.000000","-2.329999","","-5.260000","-6.787113","-7.590000","","","C1 PROFILE","","D1 PROFILE"
"60210900000006","Nodes","","21.000000","65.570677","DDS demands","Known Flow","341941.090000","737076.370000","","0.000000","","","-5.550000","-4.962909","-5.550000","","","","","D1 PROFILE"
"60210900000004","Nodes","","21.000000","67.677675","DDS demands","Known Flow","341768.340000","737070.245000","","0.000000","","","-1.570000","-1.403922","-1.570000","","","","","D1 PROFILE"
"60210900000014","Nodes","","21.000000","60.213137","DDS demands","Known Flow","341856.211178","736970.400746","","0.000000","","","-7.199999","-6.438368","-7.199999","","","","","D1 PROFILE"
"60210900000016","Nodes","","21.000000","64.390380","DDS demands","Known Flow","341720.270141","736964.271744","","0.000000","","","-2.640000","-2.360735","-2.640000","","","","","D1 PROFILE"
"60210900000018","Nodes","","21.000000","60.156009","DDS demands","Known Flow","341820.177168","737002.614755","","0.000000","","","-4.190000","-3.746773","-4.190000","","","","","D1 PROFILE"
"60210900000020","Nodes","Tealing RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","341846.584175","737826.605979","","10000000099864.0","","","","9.675438","10.819999","","","","",""
"60210900000021","Nodes","","21.000000","49.703668","Default Known Flow Node","Known Flow","341886.989186","737834.652981","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000022","Nodes","","21.000000","49.686934","Default Known Flow Node","Known Flow","341857.753178","737899.588999","","0.000000","","","-1.850000","-1.654303","-1.850000","","","","","D1 PROFILE"
"60210900000024","Nodes","","21.000000","49.964800","Default Known Flow Node","Known Flow","341773.178155","738063.011043","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000026","Nodes","","21.000000","49.964800","Default Known Flow Node","Known Flow","341775.485700","738062.929182","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000025","Nodes","Tealing DG","21.000000","49.999998","Default Known Pressure Node","Known Pressure","341777.660157","738062.852043","","1.00000003967875e+16","","","","17.499845","19.570000","","","","",""
"60210900000027","Nodes","","21.000000","43.497151","DDS demands","Known Flow","341370.508046","738124.125060","","0.000000","","","-8.010000","-7.162685","-8.010000","","","","","D1 PROFILE"
"60210900000028","Nodes","","21.000000","43.497151","Default Known Flow Node","Known Flow","341268.019018","738093.425051","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000029","Nodes","","21.000000","43.448806","Default Known Flow Node","Known Flow","341363.052044","738151.675067","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000030","Nodes","","21.000000","41.529444","DDS demands","Known Flow","341336.867037","738252.052095","","0.000000","","","-1.490000","-1.332384","-1.490000","","","","","D1 PROFILE"
"60210900000033","Nodes","","21.000000","26.540255","DDS demands","Known Flow","342134.544254","737399.357863","","0.000000","","","-1.490000","-1.332384","-1.490000","","","","","D1 PROFILE"
"60210900000034","Nodes","","21.000000","26.540257","DDS demands","Known Flow","342148.574257","737600.268917","","0.000000","","","-1.299999","-1.162483","-1.299999","","","","","D1 PROFILE"
"60210900000035","Nodes","","21.000000","24.892654","DDS demands","Known Flow","342280.590293","737607.283919","","0.000000","","","-2.689999","-2.405446","-2.689999","","","","","D1 PROFILE"
"60210900000036","Nodes","","21.000000","24.755098","DDS demands","Known Flow","342318.094304","737523.003896","","0.000000","","","-4.659999","-4.167055","-4.659999","","","","","D1 PROFILE"
"60210900000037","Nodes","","21.000000","26.540255","DDS demands","Known Flow","342031.846226","737375.501856","","0.000000","","","0.000000","0.000000","0.000000","","","","","D1 PROFILE"
"60210900000038","Nodes","","21.000000","26.039577","DDS demands","Known Flow","342096.458243","737576.876911","","0.000000","","","-1.779999","-1.591707","-1.779999","","","","","D1 PROFILE"
"60210900000039","Nodes","","21.000000","26.541519","Default Known Flow Node","Known Flow","342168.194263","737901.017999","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000040","Nodes","","21.000000","22.293296","DDS demands","Known Flow","342086.441241","737885.836995","","0.000000","-4.600000","","-1.169999","-5.159637","-5.769999","","","C1 PROFILE","","D1 PROFILE"
"60210900000046","Nodes","","21.000000","24.582330","DDS demands","Known Flow","342360.570327","737594.780005","","0.000000","","","-4.050000","-3.621582","-4.050000","","","","","D1 PROFILE"
"60210900000042","Nodes","","21.000000","25.964484","DDS demands","Known Flow","342188.121268","737601.006917","","0.000000","","","-1.529999","-1.368153","-1.529999","","","","","D1 PROFILE"
"60210900000043","Nodes","","21.000000","25.903512","DDS demands","Known Flow","342192.988270","737600.761917","","0.000000","","","-0.999999","-0.894217","-0.999999","","","","","D1 PROFILE"
"60210900000044","Nodes","","21.000000","26.542149","DDS demands","Known Flow","342172.359264","738001.353026","","0.000000","","","-3.520000","-3.147647","-3.520000","","","","","D1 PROFILE"
"60210900000054","Nodes","","21.000000","26.544188","DDS demands","Known Flow","342198.705271","738267.092099","","0.000000","","","-1.230000","-1.099888","-1.230000","","","","","D1 PROFILE"
"60210900000041","Nodes","","21.000000","24.582330","DDS demands","Known Flow","342361.785315","737594.258916","","0.000000","","","0.000000","0.000000","0.000000","","","","","D1 PROFILE"
"60210900000047","Nodes","","21.000000","24.411287","DDS demands","Known Flow","342468.427344","737600.048917","","0.000000","","","-4.239999","-3.791483","-4.239999","","","","","D1 PROFILE"
"60210900000048","Nodes","","21.000000","49.532141","Default Known Flow Node","Known Flow","341930.120198","737853.093986","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000023","Nodes","","21.000000","49.532141","Default Known Flow Node","Known Flow","341925.514197","737832.143980","","0.000000","","","-4.369999","-3.907732","-4.369999","","","","","D1 PROFILE"
"60210900000050","Nodes","","21.000000","21.651981","Default Known Flow Node","Known Flow","342147.114257","738727.074224","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000051","Nodes","","21.000000","21.651981","Default Known Flow Node","Known Flow","342145.329257","738721.366222","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000052","Nodes","","21.000000","25.433565","DDS demands","Known Flow","342079.420239","738269.624099","","0.000000","","","-2.079999","-1.859973","-2.079999","","","","","D1 PROFILE"
"60210900000053","Nodes","","21.000000","26.545264","DDS demands","Known Flow","342203.439413","738386.445868","","0.000000","","","-0.769999","-0.688547","-0.769999","","","","","D1 PROFILE"
"60210900000056","Nodes","","21.000000","26.548162","Default Known Flow Node","Known Flow","342231.512981","738695.238199","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000045","Nodes","","21.000000","26.551827","Default Known Flow Node","Known Flow","342273.304291","738996.188297","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000055","Nodes","","21.000000","21.195995","DDS demands","Known Flow","342140.074255","738731.876225","","0.000000","","","-5.949999","-5.320596","-5.949999","","","","","D1 PROFILE"
"60210900000062","Nodes","","21.000000","26.552649","DDS demands","Known Flow","342278.109293","739064.103316","","0.000000","","","-1.019999","-0.912102","-1.019999","","","","","D1 PROFILE"
"60210900000058","Nodes","","21.000000","26.566213","Default Known Flow Node","Known Flow","342286.109295","739063.728315","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000059","Nodes","","21.000000","26.566149","DDS demands","Known Flow","342285.609295","739049.978312","","0.000000","","","-1.770000","-1.582765","-1.770000","","","","","D1 PROFILE"
"60210900000060","Nodes","","21.000000","26.904188","Default Known Flow Node","Known Flow","342254.984286","739188.978350","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000061","Nodes","","21.000000","26.904188","Default Known Flow Node","Known Flow","342250.609285","739192.603351","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000057","Nodes","","21.000000","26.552649","Default Known Flow Node","Known Flow","342278.359293","739065.853316","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000064","Nodes","","21.000000","26.923727","DDS demands","Known Flow","342254.109286","739178.853347","","0.000000","","","-1.320000","-1.180367","-1.320000","","","","","D1 PROFILE"
"60210900000063","Nodes","","21.000000","26.923727","DDS demands","Known Flow","342250.734285","739181.728348","","0.000000","-2.890000","","","-2.584289","-2.890000","","","C1 PROFILE","",""
"60210900000066","Nodes","Petterden DG","21.000000","26.999999","Default Known Pressure Node","Known Pressure","342313.857302","739748.155502","","9.99999981402567e+17","","","","51.748391","57.869999","","","","",""
"60210900000067","Nodes","","21.000000","26.936118","Default Known Flow Node","Known Flow","342318.389304","739746.682501","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000065","Nodes","","21.000000","26.936058","DDS demands","Known Flow","342317.100303","739744.189501","","0.000000","","","-1.510000","-1.350269","-1.510000","","","","","D1 PROFILE"
"60210900000049","Nodes","","21.000000","49.460889","DDS demands","Known Flow","341965.889208","737821.504977","","0.000000","","","-4.600000","-4.113402","-4.600000","","","","","D1 PROFILE"
"60210900000068","Nodes","","21.000000","26.936118","Default Known Flow Node","Known Flow","342319.541304","739749.677502","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000010","Nodes","","21.000000","65.269924","Default Known Flow Node","Known Flow","341820.456008","737002.376867","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000011","Nodes","","21.000000","65.450861","DDS demands","Known Flow","341942.303201","737005.814756","","0.000000","","","-1.220000","-1.090945","-1.220000","","","","","D1 PROFILE"
"60210900000012","Nodes","","21.000000","65.570677","Default Known Flow Node","Known Flow","341951.090204","737074.941774","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000089","Nodes","","21.000000","67.705858","Default Known Flow Node","Known Flow","341776.300582","737034.488717","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000082","Nodes","","21.000000","65.985873","DDS demands","Known Flow","341875.750970","737122.824111","","0.000000","","","-2.240000","-2.003048","-2.240000","","","","","D1 PROFILE"
"60210900000083","Nodes","","21.000000","66.630825","DDS demands","Known Flow","341835.772165","737050.859746","","0.000000","","","-1.519999","-1.359211","-1.519999","","","","","D1 PROFILE"
"60210900000081","Nodes","","21.000000","65.729126","DDS demands","Known Flow","341903.890201","737080.473932","","0.000000","","","-2.300000","-2.056701","-2.300000","","","","","D1 PROFILE"
"60210900000087","Nodes","","21.000000","63.625737","DDS demands","Known Flow","341736.169450","736956.787570","","0.000000","","","-2.939999","-2.629000","-2.939999","","","","","D1 PROFILE"
"60210900000079","Nodes","","21.000000","45.794362","Default Known Flow Node","Known Flow","341520.743655","738075.408062","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000077","Nodes","","21.000000","41.831306","DDS demands","Known Flow","341355.631884","738189.724422","","0.000000","","","-3.690000","-3.299664","-3.690000","","","","","D1 PROFILE"
"60210900000080","Nodes","","21.000000","26.699017","DDS demands","Known Flow","342301.356224","739117.803113","","0.000000","-2.200000","","-5.099999","-6.527790","-7.300000","","","C1 PROFILE","","D1 PROFILE"
"60210900000084","Nodes","","21.000000","65.394802","Default Known Flow Node","Known Flow","341891.657035","737010.073411","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000088","Nodes","","21.000000","68.777908","Default Known Flow Node","Known Flow","341735.718946","736991.662894","","0.000000","","","","0.000000","0.000000","","","","",""
"60210900000078","Nodes","","21.000000","44.018314","DDS demands","Known Flow","341411.635318","738081.074473","","0.000000","","","-6.380000","-5.705110","-6.380000","","","","","D1 PROFILE"
"60210900000085","Nodes","","21.000000","60.888643","DDS demands","Known Flow","341835.132900","736929.180968","","0.000000","","","-7.519999","-6.724518","-7.519999","","","","","D1 PROFILE"
"60210900000086","Nodes","","21.000000","62.687471","DDS demands","Known Flow","341764.226002","736939.640914","","0.000000","","","-2.130000","-1.904684","-2.130000","","","","","D1 PROFILE"
"60210900000090","Nodes","","21.000000","25.734038","Default Known Flow Node","Known Flow","342111.264247","738266.629099","","0.000000","","","","0.000000","0.000000","","","","",""
