"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60207000001001","Nodes","Logger 9787","21.000000","38.678330","Val Log Cath","Known Flow","349815.948750","732317.095000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000002949","Nodes","","21.000000","38.720823","Default Known Flow Node","Known Flow","349844.230000","732325.845000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000378","Nodes","378","21.000000","33.842363","Default Known Flow Node","Known Flow","350273.355000","732694.220000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000001005","Nodes","1005","21.000000","33.852555","DDS demands","Known Flow","350275.073750","732692.220000","","0.000000","","","-2.700000","","","-7.530000","","","","-9.147849","-10.230000","","","","","C3 PROFILE","","","D1 PROFILE","","",""
"60207000000139","Nodes","139","21.000000","33.877607","DDS demands","Known Flow","350277.980000","732688.845000","","0.000000","","","","","","-13.839999","","","","-12.375975","-13.839999","","","","","","","","D1 PROFILE","","",""
"60207000000362","Nodes","362","21.000000","35.890721","DDS demands","Known Flow","349969.948750","732471.407500","","0.000000","","","","","","-0.680000","","","","-0.608068","-0.680000","","","","","","","","D1 PROFILE","","",""
"60207000000383","Nodes","383","21.000000","35.877390","DDS demands","Known Flow","349979.073750","732460.907500","","0.000000","","","","","","-2.250000","","","","-2.011990","-2.250000","","","","","","","","D1 PROFILE","","",""
"60207000000105","Nodes","105","21.000000","35.923676","DDS demands","Known Flow","349992.980000","732444.782500","","0.000000","","","","","","-2.669999","","","","-2.387561","-2.669999","","","","","","","","D1 PROFILE","","",""
"60207000000106","Nodes","106","21.000000","35.858588","DDS demands","Known Flow","349969.480000","732484.595000","","0.000000","","","","","","-8.499999","","","","-7.600851","-8.499999","","","","","","","","D1 PROFILE","","",""
"60207000000259","Nodes","259","21.000000","35.952369","DDS demands","Known Flow","350000.980000","732434.845000","","0.000000","-2.829999","","","-30.899998","","-11.530000","","","","-40.472302","-45.259998","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","",""
"60207000000256","Nodes","256","21.000000","34.543300","Default Known Flow Node","Known Flow","349931.105000","732648.657500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000002751","Nodes","","21.000000","34.543300","Default Known Flow Node","Known Flow","349928.355000","732642.470000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000002878","Nodes","","21.000000","32.834304","Default Known Flow Node","Known Flow","350118.230000","732873.845000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000234","Nodes","234","21.000000","31.859043","DDS demands","Known Flow","350237.511250","732978.157500","","0.000000","","-26.130000","","","","","","","","-23.365914","-26.130000","","","","C2 PROFILE","","","","","","",""
"60207000002933","Nodes","","21.000000","31.678844","Default Known Flow Node","Known Flow","350261.730000","732997.220000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000068","Nodes","68","21.000000","40.702910","DDS demands","Known Flow","349047.480000","732489.595000","","0.000000","","","","","","-8.189999","","","","-7.323644","-8.189999","","","","","","","","D1 PROFILE","","",""
"60207000000069","Nodes","69","21.000000","40.684096","DDS demands","Known Flow","349049.975148","732487.292214","","0.000000","","","","","","-10.119999","","","","-9.049484","-10.119999","","","","","","","","D1 PROFILE","","",""
"60207000000083","Nodes","83","21.000000","39.376451","DDS demands","Known Flow","349208.793441","732341.006331","","0.000000","","","","","","-17.239999","","","","-15.416316","-17.239999","","","","","","","","D1 PROFILE","","",""
"60207000002882","Nodes","","21.000000","33.281235","Default Known Flow Node","Known Flow","349363.230000","732899.845000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000186","Nodes","186","21.000000","32.780933","DDS demands","Known Flow","349441.511250","732912.657500","","0.000000","","","","","","-10.569999","","","","-9.451883","-10.569999","","","","","","","","D1 PROFILE","","",""
"60207000002782","Nodes","","21.000000","32.780933","Default Known Flow Node","Known Flow","349465.980000","732918.595000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000115","Nodes","115","21.000000","24.958885","DDS demands","Known Flow","350021.980000","733142.095000","","0.000000","","","","","","-11.100000","","","","-9.925818","-11.100000","","","","","","","","D1 PROFILE","","",""
"60207000001007","Nodes","Logger 9104","21.000000","25.634726","Val Log Cath","Known Flow","350057.886250","733124.907500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000633","Nodes","633","21.000000","26.476447","DDS demands","Known Flow","350098.980000","733105.220000","","0.000000","","","","","","-5.070000","","","","-4.533684","-5.070000","","","","","","","","D1 PROFILE","","",""
"60207000002901","Nodes","","21.000000","31.314436","Default Known Flow Node","Known Flow","349043.605000","733176.095000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000001006","Nodes","Logger 9309 (OPR)","21.000000","31.567322","OPR","Known Flow","349110.425030","733210.557620","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000002904","Nodes","","21.000000","31.987551","Default Known Flow Node","Known Flow","349234.855000","733194.845000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000002916","Nodes","","21.000000","32.976640","Default Known Flow Node","Known Flow","350359.480000","732770.845000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000001003","Nodes","1003","21.000000","32.875141","DDS demands","Known Flow","350374.355000","732783.470000","","0.000000","","","","","","-8.390000","","","","-7.502488","-8.390000","","","","","","","","D1 PROFILE","","",""
"60207000002960","Nodes","","21.000000","38.053297","Default Known Flow Node","Known Flow","349634.355000","732383.845000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000625","Nodes","Logger 9767","21.000000","33.111163","Val Log Cath","Known Flow","349326.386250","733093.782500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000002895","Nodes","","21.000000","33.196737","Default Known Flow Node","Known Flow","349367.730000","733099.345000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000002778","Nodes","","21.000000","38.213062","Default Known Flow Node","Known Flow","348897.355000","732027.595000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000044","Nodes","Logger 9299","21.000000","38.213062","Val Log Cath","Known Flow","348914.423469","732033.946428","","0.000000","","","","","","-3.670000","","","","-3.281779","-3.670000","","","","","","","","D1 PROFILE","","",""
"60207000000043","Nodes","43","21.000000","38.148541","DDS demands","Known Flow","348932.730000","732034.220000","","0.000000","","","","","","-9.890000","","","","-8.843815","-9.890000","","","","","","","","D1 PROFILE","","",""
"60207000000267","Nodes","267","21.000000","38.395536","DDS demands","Known Flow","348861.105000","732088.845000","","0.000000","","","","","","-0.779999","","","","-0.697489","-0.779999","","","","","","","","D1 PROFILE","","",""
"60207000000269","Nodes","269","21.000000","37.984281","DDS demands","Known Flow","348770.355000","732055.470000","","0.000000","","","","","","-10.020000","","","","-8.960063","-10.020000","","","","","","","","D1 PROFILE","","",""
"60207000000263","Nodes","263","21.000000","38.741613","DDS demands","Known Flow","348852.605000","732146.845000","","0.000000","","","","","","-12.329999","","","","-11.025706","-12.329999","","","","","","","","D1 PROFILE","","",""
