"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60212200000045","Nodes","45","21.000000","27.569487","DDS demands","Known Flow","319656.900000","720856.240000","","0.000000","-0.820000","","","-0.733258","-0.820000","","","D1 PROFILE","",""
"60212200000081","Nodes","-25","21.000000","27.424882","Default Known Flow Node","Known Flow","319698.650000","720860.490000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000046","Nodes","46","21.000000","27.432931","DDS demands","Known Flow","319686.025000","720798.365000","","0.000000","-5.840000","","","-5.222232","-5.840000","","","D1 PROFILE","",""
"60212200000048","Nodes","48","21.000000","27.376708","DDS demands","Known Flow","319729.150000","720861.990000","","0.000000","-4.800000","","","-4.292246","-4.800000","","","D1 PROFILE","",""
"60212200000051","Nodes","51","21.000000","27.376708","Default Known Flow Node","Known Flow","319767.900000","720863.740000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000049","Nodes","49","21.000000","27.223835","DDS demands","Known Flow","319753.650000","720814.990000","","0.000000","-4.260000","","","-3.809368","-4.260000","","","D1 PROFILE","",""
"60212200000050","Nodes","50","21.000000","27.354232","Default Known Flow Node","Known Flow","319858.025000","720868.240000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000078","Nodes","-1462493","21.000000","27.223835","Default Known Flow Node","Known Flow","319739.900000","720807.115000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000043","Nodes","43","21.000000","31.120709","DDS demands","Known Flow","319652.900000","720747.865000","","0.000000","-1.760000","","","-1.573823","-1.760000","","","D1 PROFILE","",""
"60212200000076","Nodes","-1462490","21.000000","27.354232","Default Known Flow Node","Known Flow","319867.025000","720869.240000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000041","Nodes","41","21.000000","34.380067","Default Known Flow Node","Known Flow","319617.608209","720637.445718","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000054","Nodes","54","21.000000","34.287586","DDS demands","Known Flow","319669.897676","720503.609862","","0.000000","-0.820000","","","-0.733258","-0.820000","","","D1 PROFILE","",""
