"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60201600000628","Nodes","Logger 10177, 26 Hillfield Road, Inverkeithing","21.000000","28.342750","Val Log Post","Known Flow","312648.096359","682867.964546","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002386","Nodes","2386,","21.000000","28.836175","Default Known Flow Node","Known Flow","312681.778239","682901.290033","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000143","Nodes","143,","21.000000","30.613575","DDS demands","Known Flow","312641.826407","681878.800333","","0.000000","","","","","-1.609999","","","","","","-1.439690","-1.609999","","","","","","","D1 PROFILE","","","","",""
"60201600000142","Nodes","142,","21.000000","31.454102","DDS demands","Known Flow","312743.898256","681823.358740","","0.000000","","","","","-6.679999","","","","","","-5.973375","-6.679999","","","","","","","D1 PROFILE","","","","",""
"60201600000418","Nodes","Logger 9787, Catheter, Ferryhills Road","21.000000","35.393904","Val Log Post","Known Flow","313226.976388","681170.641562","","0.000000","","","","-3.989999","-22.780000","","","","","","-23.938213","-26.770001","","","","","","C4 PROFILE","D1 PROFILE","","","","",""
"60201600001003","Nodes","Logger 9772, Catheter, Ferryhills Road","21.000000","34.331684","Default Known Flow Node","Known Flow","313218.319821","680910.911594","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000276","Nodes","276,","21.000000","33.970268","DDS demands","Known Flow","313197.709911","680815.459460","","0.000000","","","","","-14.699999","","","","","","-13.145002","-14.699999","","","","","","","D1 PROFILE","","","","",""
"60201600002539","Nodes","2539,","21.000000","26.622815","Default Known Flow Node","Known Flow","313047.961339","683466.859187","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000160","Nodes","160,","21.000000","27.389821","DDS demands","Known Flow","313227.512388","680485.225376","","0.000000","","","","","-21.819998","","","","","","-19.511832","-21.819998","","","","","","","D1 PROFILE","","","","",""
"60201600002238","Nodes","2238,","21.000000","27.433171","Default Known Flow Node","Known Flow","313181.378375","680463.718370","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000158","Nodes","158,","21.000000","27.474569","DDS demands","Known Flow","313146.124366","680432.592361","","0.000000","","","","","-17.580000","","","","","","-15.720351","-17.580000","","","","","","","D1 PROFILE","","","","",""
