"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60201400161366","Nodes","-564","21.000000","30.747351","Default Known Flow Node","Known Flow","337703.510048","714952.025754","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60201400000417","Nodes","417","21.000000","30.721359","DDS demands","Known Flow","337709.457294","714953.232227","","0.000000","","","","","","-19.149999","","","","","","","","","-17.124272","-19.149999","","","","","","","","D1 PROFILE","","","","","","","",""
"60201400161363","Nodes","-557","21.000000","31.107020","Default Known Flow Node","Known Flow","337718.569496","714934.942495","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60201400000516","Nodes","516","21.000000","30.580536","DDS demands","Known Flow","336073.432604","713901.782469","","0.000000","","","","","","-1.120000","","","","","","","","","-1.001524","-1.120000","","","","","","","","D1 PROFILE","","","","","","","",""
"60201400001006","Nodes","1006","21.000000","26.985129","Default Known Flow Node","Known Flow","335457.712842","713545.535591","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60201400001009","Nodes","1009","21.000000","31.962681","Default Known Flow Node","Known Flow","336155.388269","714424.960761","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60201400000471","Nodes","471","21.000000","31.852567","DDS demands","Known Flow","336012.784848","714410.223087","","0.000000","","","","","","-6.139999","","","","","","","","","-5.490497","-6.139999","","","","","","","","D1 PROFILE","","","","","","","",""
"60201400000587","Nodes","587","21.000000","35.776310","DDS demands","Known Flow","337721.715053","714505.666633","","0.000000","-8.270000","","","","","-0.860000","","","","","","","","","-8.164209","-9.130000","","","C1 PROFILE","","","","","D1 PROFILE","","","","","","","",""
"60201400161298","Nodes","-429","21.000000","35.805065","Default Known Flow Node","Known Flow","337722.605053","714504.111633","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60201400000633","Nodes","633","21.000000","40.065988","Default Known Flow Node","Known Flow","337637.477271","714364.928720","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60201400000173","Nodes","173","21.000000","26.718106","DDS demands","Known Flow","334898.506984","713157.563671","","0.000000","","","","","","-11.149999","","","","","","","","","-9.970529","-11.149999","","","","","","","","D1 PROFILE","","","","","","","",""
"60201400000518","Nodes","518","21.000000","26.720140","Default Known Flow Node","Known Flow","334910.961420","713167.286920","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60201400000519","Nodes","519","21.000000","26.719733","Default Known Flow Node","Known Flow","334912.316365","713152.448205","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60201400000507","Nodes","507","21.000000","26.778975","Default Known Flow Node","Known Flow","335003.841739","713233.745154","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60201400000066","Nodes","66","21.000000","29.183703","DDS demands","Known Flow","337447.705978","713493.771358","","0.000000","","","","","","-18.209999","","","","","","","","","-16.283707","-18.209999","","","","","","","","D1 PROFILE","","","","","","","",""
"60201400000064","Nodes","64","21.000000","29.344918","DDS demands","Known Flow","337490.066990","713443.089344","","0.000000","","","","","","-6.459999","","","","","","","","","-5.776647","-6.459999","","","","","","","","D1 PROFILE","","","","","","","",""
"60201400000060","Nodes","60","21.000000","29.442622","DDS demands","Known Flow","337526.563300","713381.660659","","0.000000","","","","","","-12.220000","","","","","","","","","-10.927343","-12.220000","","","","","","","","D1 PROFILE","","","","","","","",""
"60201400000058","Nodes","58","21.000000","29.437261","DDS demands","Known Flow","337614.817024","713399.676332","","0.000000","","","","","","-15.930000","","","","","","","","","-14.244891","-15.930000","","","","","","","","D1 PROFILE","","","","","","","",""
"60201400000059","Nodes","59, Logger ID 7027, 17 Garliebank Crescent","21.000000","29.520521","Val Log Cath","Known Flow","337645.793032","713386.391328","","0.000000","","","","","","-7.119999","","","","","","","","","-6.366831","-7.119999","","","","","","","","D1 PROFILE","","","","","","","",""
"60201400000061","Nodes","","21.000000","29.438407","DDS demands","Known Flow","337517.895281","713359.614786","","0.000000","","","","","","-13.810000","","","","","","","","","-12.349149","-13.810000","","","","","","","","D1 PROFILE","","","","","","","",""
