"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60205500000124","Nodes","124","21.000000","28.667920","DDS demands","Known Flow","324185.979370","701247.343025","","0.000000","","","","","-7.949999","","","","","-7.109032","-7.949999","","","","","","","D1 PROFILE","","","",""
"60205500000125","Nodes","125","21.000000","28.354956","DDS demands","Known Flow","324258.229389","701241.843024","","0.000000","","","","","-9.090000","","","","","-8.128440","-9.090000","","","","","","","D1 PROFILE","","","",""
"60205500000168","Nodes","168","21.000000","32.466062","DDS demands","Known Flow","324972.604584","701648.843135","","0.000000","","","","","-7.790000","","","","","-6.965957","-7.790000","","","","","","","D1 PROFILE","","","",""
"60205500001003","Nodes","OPR 0023, Valley Drive","21.000000","32.803663","OPR","Known Flow","324952.014004","701681.048912","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205500000181","Nodes","181","21.000000","33.872057","DDS demands","Known Flow","324631.979491","701528.843102","","0.000000","","","","","-8.709999","","","","","-7.788637","-8.709999","","","","","","","D1 PROFILE","","","",""
"60205500000160","Nodes","160","21.000000","30.965683","DDS demands","Known Flow","325241.979657","701834.218185","","0.000000","-5.019999","","","-2.119999","-30.870000","","","","","-33.989220","-38.010001","","","C1 PROFILE","","","C4 PROFILE","D1 PROFILE","","","",""
"60205500000238","Nodes","238","21.000000","28.414857","DDS demands","Known Flow","324021.229325","701273.843033","","0.000000","","","","","-4.839999","","","","","-4.328014","-4.839999","","","","","","","D1 PROFILE","","","",""
"60205500000237","Nodes","237","21.000000","29.201699","DDS demands","Known Flow","324236.979384","701277.593034","","0.000000","","","","","-5.330000","","","","","-4.766181","-5.330000","","","","","","","D1 PROFILE","","","",""
"60205500002531","Nodes","2531","21.000000","29.287201","Default Known Flow Node","Known Flow","324266.104391","701325.218047","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205500001008","Nodes","1008","21.000000","29.287201","Default Known Flow Node","Known Flow","324277.479395","701329.593048","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205500000203","Nodes","203","21.000000","27.996282","DDS demands","Known Flow","324011.229322","701490.343091","","0.000000","","","","","-4.480000","","","","","-4.006096","-4.480000","","","","","","","D1 PROFILE","","","",""
"60205500000202","Nodes","202","21.000000","28.051548","DDS demands","Known Flow","324025.854326","701454.218082","","0.000000","","","","","-3.469999","","","","","-3.102936","-3.469999","","","","","","","D1 PROFILE","","","",""
"60205500002624","Nodes","2624","21.000000","27.760032","Default Known Flow Node","Known Flow","324023.830500","701420.343962","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
