"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"60605700000069","Nodes","69","21.000000","58.802251","DDS demands","Known Flow","306892.806548","861466.843241","","0.000000","","-3.499999","-3.129762","-3.499999","","","","D1 PROFILE"
"60605700000068","Nodes","68","21.000000","58.910625","DDS demands","Known Flow","306929.578674","861394.130603","","0.000000","","-5.780000","-5.168579","-5.780000","","","","D1 PROFILE"
"60605700001000","Nodes","Muirtown Park DG, Constant, Site ID 1081","21.000000","69.999999","Default Known Pressure Node","Known Pressure","307386.923798","862265.824840","","775.979970","","","83.430530","93.300002","","","",""
"60605700000051","Nodes","51","21.000000","68.132085","DDS demands","Known Flow","307406.499039","862279.566685","","0.000000","","-1.690000","-1.511228","-1.690000","","","","D1 PROFILE"
"60605700000052","Nodes","52","21.000000","66.113743","DDS demands","Known Flow","307417.840807","862353.534864","","0.000000","","-3.559999","-3.183415","-3.559999","","","","D1 PROFILE"
"60605700000070","Nodes","70","21.000000","58.390580","DDS demands","Known Flow","306981.519688","861308.013579","","0.000000","","-9.000000","-8.047961","-9.000000","","","","D1 PROFILE"
"60605700000025","Nodes","25","21.000000","50.672645","DDS demands","Known Flow","307475.033822","861470.356623","","0.000000","","-6.639999","-5.937606","-6.639999","","","","D1 PROFILE"
"60605700000026","Nodes","26","21.000000","50.665025","DDS demands","Known Flow","307445.357665","861497.416419","","0.000000","","-1.669999","-1.493343","-1.669999","","","","D1 PROFILE"
"60605700000082","Nodes","82","21.000000","52.676496","DDS demands","Known Flow","307785.476649","861475.916594","","0.000000","","-0.199999","-0.178843","-0.199999","","","","D1 PROFILE"
"60605700000081","Nodes","81","21.000000","52.814377","DDS demands","Known Flow","307738.955894","861471.668624","","0.000000","","-4.449999","-3.979269","-4.449999","","","","D1 PROFILE"
"60605700000035","Nodes","35","21.000000","51.920371","DDS demands","Known Flow","307787.046907","861466.063622","","0.000000","","-3.280000","-2.933034","-3.280000","","","","D1 PROFILE"
"60605700000048","Nodes","48","21.000000","49.752666","DDS demands","Known Flow","307698.818969","861459.328706","","0.000000","","-3.930000","-3.514276","-3.930000","","","","D1 PROFILE"
"60605700000036","Nodes","36","21.000000","50.920889","DDS demands","Known Flow","307814.421263","861431.416291","","0.000000","","-11.579999","-10.355043","-11.579999","","","","D1 PROFILE"
"60605700000037","Nodes","37","21.000000","50.920494","DDS demands","Known Flow","307815.050915","861426.898612","","0.000000","","-1.129999","-1.010466","-1.129999","","","","D1 PROFILE"
"60605700000049","Nodes","49","21.000000","49.747579","DDS demands","Known Flow","307738.324894","861414.958608","","0.000000","","-2.920000","-2.611116","-2.920000","","","","D1 PROFILE"
"60605700000039","Nodes","39","21.000000","49.348870","DDS demands","Known Flow","307671.873876","861448.065617","","0.000000","","-7.739999","-6.921246","-7.739999","","","","D1 PROFILE"
"60605700000040","Nodes","40","21.000000","49.339036","DDS demands","Known Flow","307647.708869","861398.725604","","0.000000","","-3.400000","-3.040340","-3.400000","","","","D1 PROFILE"
"60605700000098","Nodes","98","21.000000","66.934051","DDS demands","Known Flow","306391.864528","861626.767666","","0.000000","","-1.420000","-1.269789","-1.420000","","","","D1 PROFILE"
"60605700000095","Nodes","95","21.000000","66.982471","Default Known Flow Node","Known Flow","306444.834893","861663.669615","","0.000000","","","0.000000","0.000000","","","",""
"60605700000110","Nodes","110","21.000000","67.106231","DDS demands","Known Flow","306309.495505","861967.020759","","0.000000","","-10.280000","-9.192560","-10.280000","","","","D1 PROFILE"
"60605700000111","Nodes","111","21.000000","66.991187","DDS demands","Known Flow","306266.640787","861998.667129","","0.000000","","-4.670000","-4.175997","-4.670000","","","","D1 PROFILE"
"60605700000109","Nodes","109","21.000000","69.643771","Default Known Flow Node","Known Flow","306384.099526","861921.261746","","0.000000","","","0.000000","0.000000","","","",""
"60605700000106","Nodes","106","21.000000","70.434523","Default Known Flow Node","Known Flow","306479.849552","861920.886746","","0.000000","","","0.000000","0.000000","","","",""
"60605700000101","Nodes","101","21.000000","67.898947","DDS demands","Known Flow","306393.063528","861831.688722","","0.000000","","-6.500000","-5.812416","-6.500000","","","","D1 PROFILE"
"60605700000087","Nodes","87","21.000000","63.492023","DDS demands","Known Flow","306249.043489","861791.253711","","0.000000","","-10.640000","-9.514479","-10.640000","","","","D1 PROFILE"
"60605700000088","Nodes","88","21.000000","63.527879","DDS demands","Known Flow","306292.441501","861851.199727","","0.000000","","-0.779999","-0.697489","-0.779999","","","","D1 PROFILE"
"60605700000089","Nodes","89","21.000000","63.449398","DDS demands","Known Flow","306234.752485","861781.630708","","0.000000","","-1.940000","-1.734782","-1.940000","","","","D1 PROFILE"
"60605700000096","Nodes","96","21.000000","63.206644","Default Known Flow Node","Known Flow","306191.694907","861845.944561","","0.000000","","","0.000000","0.000000","","","",""
"60605700000091","Nodes","91","21.000000","63.117269","DDS demands","Known Flow","306207.312298","861867.716558","","0.000000","","-1.799999","-1.609592","-1.799999","","","","D1 PROFILE"
"60605700000093","Nodes","93","21.000000","63.022653","DDS demands","Known Flow","306217.538480","861910.018743","","0.000000","","-5.729999","-5.123868","-5.729999","","","","D1 PROFILE"
"60605700000085","Nodes","85","21.000000","64.085855","DDS demands","Known Flow","306319.719600","861758.014665","","0.000000","","-19.190000","-17.160042","-19.190000","","","","D1 PROFILE"
"60605700000086","Nodes","86","21.000000","64.116570","DDS demands","Known Flow","306347.840516","861774.155706","","0.000000","","-2.109999","-1.886799","-2.109999","","","","D1 PROFILE"
"60605700000099","Nodes","99","21.000000","68.161119","DDS demands","Known Flow","306449.245543","861772.582706","","0.000000","","-5.150000","-4.605222","-5.150000","","","","D1 PROFILE"
"60605700000100","Nodes","100","21.000000","68.145774","DDS demands","Known Flow","306448.737543","861803.587714","","0.000000","","-2.720000","-2.432272","-2.720000","","","","D1 PROFILE"
"60605700000094","Nodes","94","21.000000","68.637717","DDS demands","Known Flow","306452.875509","861727.103831","","0.000000","","-3.859999","-3.451680","-3.859999","","","","D1 PROFILE"
"60605700000097","Nodes","97","21.000000","66.115851","DDS demands","Known Flow","306401.228702","861666.617155","","0.000000","","-8.239999","-7.368355","-8.239999","","","","D1 PROFILE"
"60605700000084","Nodes","84","21.000000","70.763932","DDS demands","Known Flow","306516.862198","861728.465057","","0.000000","","-3.240000","-2.897266","-3.240000","","","","D1 PROFILE"
"60605700000108","Nodes","108","21.000000","70.601931","DDS demands","Known Flow","306494.874436","861784.076010","","0.000000","","-4.570000","-4.086576","-4.570000","","","","D1 PROFILE"
