"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60605100000057","Nodes","310419, 11092","21.000000","34.632104","DDS demands","Known Flow","331946.981481","839902.130755","","0.000000","","","","","-3.790000","","","","","-323.090007","-3.389085","-3.790000","","","","","","","D1 PROFILE","","","","","PL-PL PROFILE"
"60605100000053","Nodes","","21.000000","34.829365","DDS demands","Known Flow","331835.606451","839922.505760","","0.000000","","","","","-3.790000","","","","","","-3.389085","-3.790000","","","","","","","D1 PROFILE","","","","",""
"60605100000002","Nodes","","21.000000","44.833304","DDS demands","Known Flow","332847.356726","839849.505740","","0.000000","","","","","-1.009999","","","","","","-0.903159","-1.009999","","","","","","","D1 PROFILE","","","","",""
"60605100000001","Nodes","","21.000000","44.896222","DDS demands","Known Flow","332848.859239","839854.755159","","0.000000","","","","","-8.989999","","","","","","-8.039018","-8.989999","","","","","","","D1 PROFILE","","","","",""
"60605100003001","Nodes","Dufftown DG, Constant, Site ID 1169","21.000000","45.000001","Default Known Pressure Node","Known Pressure","332857.481729","839852.755741","","3171.899981","","","","","","","","","","","810.438651","906.310016","","","","","","","","","","","",""
"60605100000058","Nodes","","21.000000","34.287403","DDS demands","Known Flow","331967.981487","839939.755765","","0.000000","","","","","-6.399999","","","","","","-5.722994","-6.399999","","","","","","","D1 PROFILE","","","","",""
"60605100000048","Nodes","","21.000000","34.489731","DDS demands","Known Flow","332093.356521","839985.755777","","0.000000","","","","","-11.470000","","","","","","-10.256680","-11.470000","","","","","","","D1 PROFILE","","","","",""
"60605110000026","Nodes","","21.000000","34.302064","Default Known Flow Node","Known Flow","332131.606532","840000.130781","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60605100000046","Nodes","","21.000000","35.173934","DDS demands","Known Flow","332099.481523","839944.630766","","0.000000","","","","","-1.150000","","","","","","-1.028350","-1.150000","","","","","","","D1 PROFILE","","","","",""
"60605100000047","Nodes","","21.000000","35.153677","DDS demands","Known Flow","332034.356505","839941.130765","","0.000000","","","","","-5.050000","","","","","","-4.515800","-5.050000","","","","","","","D1 PROFILE","","","","",""
"60605100000007","Nodes","","21.000000","35.890865","DDS demands","Known Flow","332104.613300","839911.828057","","0.000000","-6.000000","","","","-7.409999","","","","","","-11.991461","-13.410000","","","C1 PROFILE","","","","D1 PROFILE","","","","",""
"60605101462470","Nodes","","21.000000","35.890865","Default Known Flow Node","Known Flow","332102.106524","839911.505757","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60605110000014","Nodes","","21.000000","35.850891","Default Known Flow Node","Known Flow","332104.356524","839913.755758","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60605100000006","Nodes","","21.000000","35.963486","DDS demands","Known Flow","332128.356531","839914.880758","","0.000000","","","","","-13.229999","","","","","","-11.830502","-13.229999","","","","","","","D1 PROFILE","","","","",""
"60605100000014","Nodes","","21.000000","36.190989","DDS demands","Known Flow","332138.106533","839845.880739","","0.000000","","","","","-2.819999","","","","","","-2.521694","-2.819999","","","","","","","D1 PROFILE","","","","",""
"60605100000005","Nodes","","21.000000","36.898682","DDS demands","Known Flow","332256.606566","839931.380762","","0.000000","","","","","-27.139999","","","","","","-24.269073","-27.139999","","","","","","","D1 PROFILE","","","","",""
"60605100000004","Nodes","","21.000000","38.517875","DDS demands","Known Flow","332378.356599","839947.505767","","0.000000","-7.600000","","-18.360000","-3.069999","-45.259998","","","","","","-66.431448","-74.289997","","","C1 PROFILE","","C3 PROFILE","C4 PROFILE","D1 PROFILE","","","","",""
"60605110000020","Nodes","","21.000000","38.448727","Default Known Flow Node","Known Flow","332375.850885","839947.173901","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60605100000009","Nodes","","21.000000","35.741358","DDS demands","Known Flow","332465.981623","839784.630723","","0.000000","","","","","-24.069999","","","","","","-21.523824","-24.069999","","","","","","","D1 PROFILE","","","","",""
"60605100000010","Nodes","","21.000000","35.738341","DDS demands","Known Flow","332469.231624","839752.755714","","0.000000","","","","","-16.229999","","","","","","-14.513155","-16.229999","","","","","","","D1 PROFILE","","","","",""
"60605100000011","Nodes","","21.000000","35.252994","DDS demands","Known Flow","332400.481605","839556.505660","","0.000000","","","","","-1.679999","","","","","","-1.502286","-1.679999","","","","","","","D1 PROFILE","","","","",""
"60605100000013","Nodes","","21.000000","34.491120","DDS demands","Known Flow","332513.606636","839888.130751","","0.000000","","","","","-11.289999","","","","","","-10.095719","-11.289999","","","","","","","D1 PROFILE","","","","",""
"60605110000002","Nodes","","21.000000","35.087566","Default Known Flow Node","Known Flow","332537.231642","839716.630704","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60605100000003","Nodes","","21.000000","42.335483","DDS demands","Known Flow","332573.106652","839931.880763","","0.000000","-6.000000","","-2.499999","-5.070000","-41.359998","","","","","","-49.119388","-54.929997","","","C1 PROFILE","","C3 PROFILE","C4 PROFILE","D1 PROFILE","","","","",""
"60605100000054","Nodes","","21.000000","43.191545","DDS demands","Known Flow","332670.356678","839883.630749","","0.000000","","","","","-8.439999","","","","","","-7.547198","-8.439999","","","","","","","D1 PROFILE","","","","",""
"60605110000005","Nodes","","21.000000","41.897688","Default Known Flow Node","Known Flow","332640.981670","839794.880725","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60605100000012","Nodes","","21.000000","35.004327","DDS demands","Known Flow","332535.356642","839779.255721","","0.000000","","","","","-4.800000","","","","","","-4.292246","-4.800000","","","","","","","D1 PROFILE","","","","",""
