"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60205300011845","Nodes","11845,","21.000000","32.911118","Default Known Flow Node","Known Flow","292913.803860","687319.038235","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300000027","Nodes","27,","21.000000","32.786548","DDS demands","Known Flow","292888.461853","687335.029240","","0.000000","","","","-1.120000","-17.469999","","","","","","","-16.623510","-18.589999","","","","","","C4 PROFILE","D1 PROFILE","","","","","",""
"60205300000021","Nodes","21,","21.000000","30.910943","DDS demands","Known Flow","292956.564139","687951.361269","","0.000000","","","","","-10.180000","","","","","","","-9.103139","-10.180000","","","","","","","D1 PROFILE","","","","","",""
"60205300000083","Nodes","83,","21.000000","30.710993","DDS demands","Known Flow","292977.306877","688163.805465","","0.000000","","","","","-1.370000","","","","","","","-1.225078","-1.370000","","","","","","","D1 PROFILE","","","","","",""
"60205300001002","Nodes","1002,","21.000000","30.711318","Default Known Flow Node","Known Flow","292977.601878","688165.484466","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300000101","Nodes","101,","21.000000","30.738914","DDS demands","Known Flow","292979.722878","688177.460469","","0.000000","","","","","-6.809999","","","","","","","-6.089623","-6.809999","","","","","","","D1 PROFILE","","","","","",""
"60205300000066","Nodes","66,","21.000000","38.587964","DDS demands","Known Flow","293271.440957","687111.236179","","0.000000","","","","","-12.960000","","","","","","","-11.589064","-12.960000","","","","","","","D1 PROFILE","","","","","",""
"60205300001722","Nodes","Logger 9137, 7 Standalane","21.000000","38.686746","Val Log Post","Known Flow","293313.596061","687167.449132","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300000064","Nodes","64,","21.000000","38.948675","DDS demands","Known Flow","293412.831996","687302.724231","","0.000000","","","","","-10.640000","","","","","","","-9.514479","-10.640000","","","","","","","D1 PROFILE","","","","","",""
"60205300011752","Nodes","11752,","21.000000","33.385386","Default Known Flow Node","Known Flow","293211.095941","687599.714312","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300001000","Nodes","1000,","21.000000","33.408577","Default Known Flow Node","Known Flow","293211.220941","687598.339311","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300011750","Nodes","11750,","21.000000","33.395973","Default Known Flow Node","Known Flow","293212.470941","687590.589309","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300011864","Nodes","11864,","21.000000","33.318986","Default Known Flow Node","Known Flow","292951.715870","687497.471284","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300001001","Nodes","Logger 9010, 20 Station Road","21.000000","33.472639","Val Log Post","Known Flow","292974.756546","687523.721335","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300000025","Nodes","25,","21.000000","33.654314","DDS demands","Known Flow","293004.141885","687535.682294","","0.000000","","","-3.660000","","-19.540001","","","","","","","-20.745858","-23.200001","","","","","C3 PROFILE","","D1 PROFILE","","","","","",""
"60205300000026","Nodes","26,","21.000000","33.128989","DDS demands","Known Flow","292925.823863","687462.452274","","0.000000","","","","","-14.609999","","","","","","","-13.064523","-14.609999","","","","","","","D1 PROFILE","","","","","",""
"60205300000028","Nodes","28,","21.000000","33.041467","DDS demands","Known Flow","292970.100875","687429.237265","","0.000000","","","","","-11.799999","","","","","","","-10.551771","-11.799999","","","","","","","D1 PROFILE","","","","","",""
"60205300011849","Nodes","11849, P10125424, (Kincardine High Flats Phase 1) Kirk Street, FY1(-32.31)&FY5(-125.08)SCMH","24.000000","30.773077","CSEP Unmatched","Known Flow","293255.006775","687755.231052","","0.000000","","","","","","","","","","-32.310001","","-28.892181","-32.310001","","","","","","","","","","","","DC PROFILE",""
"60205300011846","Nodes","11846,","21.000000","32.806422","Default Known Flow Node","Known Flow","292893.845855","687345.917243","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300000030","Nodes","30,","21.000000","33.543791","DDS demands","Known Flow","293022.767890","687391.070255","","0.000000","","","","","-11.060000","","","","","","","-9.890050","-11.060000","","","","","","","D1 PROFILE","","","","","",""
"60205300000141","Nodes","141,","21.000000","36.642613","DDS demands","Known Flow","293295.811964","687409.174260","","0.000000","","","","","-7.170000","","","","","","","-6.411542","-7.170000","","","","","","","D1 PROFILE","","","","","",""
"60205300000142","Nodes","142,","21.000000","36.671770","DDS demands","Known Flow","293358.371981","687397.108257","","0.000000","","","","","-10.499999","","","","","","","-9.389287","-10.499999","","","","","","","D1 PROFILE","","","","","",""
"60205300000155","Nodes","155,","21.000000","36.721094","DDS demands","Known Flow","293266.470956","687282.839225","","0.000000","","","","","-8.810000","","","","","","","-7.878060","-8.810000","","","","","","","D1 PROFILE","","","","","",""
"60205300000154","Nodes","154,","21.000000","37.242597","DDS demands","Known Flow","293347.944978","687348.259243","","0.000000","","","","","-6.130000","","","","","","","-5.481555","-6.130000","","","","","","","D1 PROFILE","","","","","",""
"60205300000091","Nodes","91,","21.000000","30.915452","DDS demands","Known Flow","293059.576900","687249.599216","","0.000000","","","","","-4.860000","","","","","","","-4.345898","-4.860000","","","","","","","D1 PROFILE","","","","","",""
"60205300011821","Nodes","11821,","21.000000","31.168820","Default Known Flow Node","Known Flow","293138.977921","687283.498226","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300011862","Nodes","11862,","21.000000","34.031561","Default Known Flow Node","Known Flow","293027.470891","687487.589281","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300011798","Nodes","11798,","21.000000","33.670037","DDS demands","Known Flow","293036.378307","687403.050658","","0.000000","","","","","-9.220000","","","","","","","-8.244689","-9.220000","","","","","","","D1 PROFILE","","","","","",""
"60205300011788","Nodes","11788,","21.000000","31.913650","Default Known Flow Node","Known Flow","293098.458910","687353.184245","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205300000036","Nodes","36,","21.000000","31.913650","DDS demands","Known Flow","293102.686912","687356.634246","","0.000000","","-24.999999","","","-9.069999","","","","","","","-30.466003","-34.069998","","","","C2 PROFILE","","","D1 PROFILE","","","","","",""
"60205300011856","Nodes","11856,","21.000000","35.167888","Default Known Flow Node","Known Flow","293132.970920","687385.714253","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
