"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60602100000125","Nodes","125","21.000000","20.948920","DDS demands","Known Flow","370903.905572","770940.946528","","0.000000","","","","","","-2.259999","","","","","","-2.020932","-2.259999","","","","","","","","D1 PROFILE","","","","",""
"60602100000124","Nodes","124","21.000000","21.144154","DDS demands","Known Flow","370926.125680","770922.645205","","0.000000","","","","","","-4.730000","","","","","","-4.229650","-4.730000","","","","","","","","D1 PROFILE","","","","",""
"60602100000096","Nodes","96","21.000000","24.093467","DDS demands","Known Flow","371149.670000","770771.060000","","0.000000","","","","","","-1.059999","","","","","","-0.947870","-1.059999","","","","","","","","D1 PROFILE","","","","",""
"60602100000180","Nodes","180","21.000000","24.124039","Default Known Flow Node","Known Flow","371161.420000","770780.185000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60602100000086","Nodes","86","21.000000","24.369727","DDS demands","Known Flow","371198.920000","770820.935000","","0.000000","-9.229999","","-1.150000","","","-7.040000","","","","","","-15.577275","-17.419999","","","C1 PROFILE","","C3 PROFILE","","","D1 PROFILE","","","","",""
"60602100000059","Nodes","59","21.000000","33.722926","DDS demands","Known Flow","371167.295000","771270.810000","","0.000000","","","","","","-14.539999","","","","","","-13.001927","-14.539999","","","","","","","","D1 PROFILE","","","","",""
"60602100000049","Nodes","49","21.000000","30.904452","Default Known Flow Node","Known Flow","371232.701250","771216.060000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60602100000047","Nodes","47","21.000000","27.900284","DDS demands","Known Flow","371302.045000","771158.060000","","0.000000","","-6.000000","","","","-18.019999","","","","","","-21.479113","-24.020000","","","","C2 PROFILE","","","","D1 PROFILE","","","","",""
"60602100000107","Nodes","107","21.000000","27.983915","DDS demands","Known Flow","371511.545000","771191.810000","","0.000000","-2.689999","","","","","-20.579999","","","","","","-20.808450","-23.270000","","","C1 PROFILE","","","","","D1 PROFILE","","","","",""
"60602100000176","Nodes","P11127477, HIGH STREET LAURENCEKIRK, -170.03","25.000000","28.666944","CSEP DDS Matched","Known Flow","371623.670000","771328.060000","","0.000000","","","","","","","","","","-160.899997","","-143.879655","-160.899997","","","","","","","","","","","","DC PROFILE",""
"60602100000095","Nodes","95,","21.000000","30.007387","DDS demands","Known Flow","371692.920000","771413.185000","","0.000000","-6.390000","","","","","-23.450000","","","","","","-26.683461","-29.840001","","","C1 PROFILE","","","","","D1 PROFILE","","","","",""
"60602100000087","Nodes","87","21.000000","25.234098","DDS demands","Known Flow","371243.295000","770874.685000","","0.000000","","","","","","-30.679999","","","","","","-27.434605","-30.679999","","","","","","","","D1 PROFILE","","","","",""
