"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"60200700000298","Nodes","298","21.000000","30.620720","DDS demands","Known Flow","359362.140981","760293.128918","","0.000000","","","","","","","-4.839999","","","","-4.328014","-4.839999","","","","","","","","","D1 PROFILE","","",""
"60200700000366","Nodes","366","21.000000","30.815329","Default Known Flow Node","Known Flow","359381.462947","760287.543091","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000029","Nodes","29","21.000000","30.929683","DDS demands","Known Flow","359432.862961","760269.098086","","0.000000","","","","","","","-8.790000","","","","-7.860175","-8.790000","","","","","","","","","D1 PROFILE","","",""
"60200700000066","Nodes","66","21.000000","29.267461","DDS demands","Known Flow","359483.039347","760162.529850","","0.000000","","","","","","","-3.499999","","","","-3.129762","-3.499999","","","","","","","","","D1 PROFILE","","",""
"60200700002428","Nodes","2428","21.000000","29.161745","Default Known Flow Node","Known Flow","359169.380889","760462.660138","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000650","Nodes","650","21.000000","30.310336","Default Known Flow Node","Known Flow","359378.762946","760259.277083","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000651","Nodes","651","21.000000","29.406283","DDS demands","Known Flow","359385.480688","760245.093026","","0.000000","","-39.999997","","","","","","","","","-35.768714","-39.999997","","","","C2 PROFILE","","","","","","","",""
"60200700002424","Nodes","2424","21.000000","29.406283","Default Known Flow Node","Known Flow","359386.200948","760243.384079","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002380","Nodes","2380","21.000000","33.559311","Default Known Flow Node","Known Flow","359689.037267","760321.335129","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000044","Nodes","44","21.000000","31.440329","DDS demands","Known Flow","359513.778539","760249.769625","","0.000000","-0.009999","","","-1.429999","","","-23.649999","","","","-22.435926","-25.090000","","","C1 PROFILE","","","C4 PROFILE","","","D1 PROFILE","","",""
"60200700000042","Nodes","42","21.000000","31.795581","DDS demands","Known Flow","359571.769885","760241.350420","","0.000000","-7.409999","","","","","","-5.270000","","","","-11.338683","-12.679999","","","C1 PROFILE","","","","","","D1 PROFILE","","",""
"60200700000382","Nodes","382","21.000000","32.136749","DDS demands","Known Flow","359737.783044","760150.396053","","0.000000","","","","","","","-5.570000","","","","-4.980793","-5.570000","","","","","","","","","D1 PROFILE","","",""
"60200700002373","Nodes","2373","21.000000","32.782659","Default Known Flow Node","Known Flow","359697.183671","760247.304738","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000617","Nodes","617","21.000000","33.358812","Default Known Flow Node","Known Flow","359740.737044","760312.793098","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000615","Nodes","615","21.000000","33.349002","DDS demands","Known Flow","359692.837544","760295.588204","","0.000000","","","","","","","-16.360000","","","","-14.629405","-16.360000","","","","","","","","","D1 PROFILE","","",""
"60200700002377","Nodes","2377","21.000000","33.254972","Default Known Flow Node","Known Flow","359694.111954","760281.758252","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000482","Nodes","482","21.000000","29.145445","DDS demands","Known Flow","359788.492420","760255.029909","","0.000000","","","","","","","-0.369999","","","","-0.330860","-0.369999","","","","","","","","","D1 PROFILE","","",""
"60200700000317","Nodes","317","21.000000","29.694037","DDS demands","Known Flow","359773.120377","760281.884760","","0.000000","-22.780000","","","","","","-5.480000","","","","-25.270598","-28.259999","","","C1 PROFILE","","","","","","D1 PROFILE","","",""
"60200700002432","Nodes","2432","21.000000","26.057585","DDS demands","Known Flow","359752.537462","760420.408842","","0.000000","-32.360001","","-4.439999","","","","-13.839999","","","","-45.283194","-50.639999","","","C1 PROFILE","","C3 PROFILE","","","","D1 PROFILE","","",""
"60200700002381","Nodes","2381","21.000000","29.281291","Default Known Flow Node","Known Flow","359815.809683","760322.047654","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000321","Nodes","321","21.000000","28.759722","DDS demands","Known Flow","359908.875090","760402.009122","","0.000000","","","","","","","-10.300000","","","","-9.210445","-10.300000","","","","","","","","","D1 PROFILE","","",""
"60200700002493","Nodes","2493","21.000000","28.603451","Default Known Flow Node","Known Flow","359999.279632","760358.170363","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000320","Nodes","320","21.000000","29.169254","DDS demands","Known Flow","359859.085077","760361.244111","","0.000000","-23.580000","","","","","","-24.570000","","","","-43.056591","-48.150000","","","C1 PROFILE","","","","","","D1 PROFILE","","",""
"60200700000488","Nodes","P00083637 - N0001813, Bank Street, 8.20","22.999998","29.116045","CSEP DDS Matched","Known Flow","359906.526049","760328.414068","","0.000000","","","","","","","","-8.199999","","","-7.332586","-8.199999","","","","","","","","","","DC PROFILE","",""
