"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60605200000003","Nodes","3","21.000000","35.780350","DDS demands","Known Flow","291885.550000","855466.080000","","0.000000","","0.000000","","-8.250000","","","-7.377297","-8.250000","","","","C4 PROFILE","","D1 PROFILE","",""
"60605200000042","Nodes","42","21.000000","34.372008","Default Known Flow Node","Known Flow","291775.300000","855467.830000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000007","Nodes","7","21.000000","30.930092","DDS demands","Known Flow","291982.433938","855432.717674","","0.000000","","","","-2.700000","","","-2.414388","-2.700000","","","","","","D1 PROFILE","",""
"60605200000004","Nodes","4","21.000000","34.825021","DDS demands","Known Flow","291894.050000","855382.080000","","0.000000","","","","-12.220000","","","-10.927343","-12.220000","","","","","","D1 PROFILE","",""
"60605200000005","Nodes","5","21.000000","31.405110","DDS demands","Known Flow","291821.550000","855316.705000","","0.000000","","","","-8.100000","","","-7.243165","-8.100000","","","","","","D1 PROFILE","",""
"60605200000031","Nodes","31","21.000000","30.984848","DDS demands","Known Flow","291779.050000","855299.080000","","0.000000","","","","-1.960000","","","-1.752667","-1.960000","","","","","","D1 PROFILE","",""
"60605200000033","Nodes","33","21.000000","30.894447","DDS demands","Known Flow","291777.050000","855146.455000","","0.000000","","","","-7.210000","","","-6.447311","-7.210000","","","","","","D1 PROFILE","",""
"60605200000032","Nodes","32","21.000000","30.473715","DDS demands","Known Flow","291772.425000","855361.330000","","0.000000","","","","-11.799999","","","-10.551771","-11.799999","","","","","","D1 PROFILE","",""
"60605200000009","Nodes","9","21.000000","29.960719","DDS demands","Known Flow","291958.550000","855385.955000","","0.000000","","","","-9.620000","","","-8.602376","-9.620000","","","","","","D1 PROFILE","",""
"60605200000012","Nodes","12","21.000000","29.034993","DDS demands","Known Flow","291831.675000","855136.830000","","0.000000","","","","-5.160000","","","-4.614164","-5.160000","","","","","","D1 PROFILE","",""
"60605200000006","Nodes","6","21.000000","34.120038","DDS demands","Known Flow","291742.860873","855469.383283","","0.000000","","0.000000","","-8.539999","","","-7.636620","-8.539999","","","","C4 PROFILE","","D1 PROFILE","",""
"60605200000043","Nodes","","22.999998","34.415037","Default Known Flow Node","Known Flow","291774.425000","855454.455000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000008","Nodes","8","21.000000","30.674732","DDS demands","Known Flow","292012.300000","855419.705000","","0.000000","","","","-11.520000","","","-10.301390","-11.520000","","","","","","D1 PROFILE","",""
"60605200000013","Nodes","13","21.000000","29.277564","DDS demands","Known Flow","292020.675000","855431.330000","","0.000000","-24.999999","","","-2.219999","","","-24.340610","-27.219999","","","C2 PROFILE","","","D1 PROFILE","",""
"60605200000040","Nodes","40","21.000000","28.849326","Default Known Flow Node","Known Flow","292029.800000","855493.705000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000037","Nodes","37","21.000000","29.025786","Default Known Flow Node","Known Flow","291955.050000","855498.955000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000045","Nodes","","21.000000","23.153145","DDS demands","Known Flow","292152.836273","855332.213282","","0.000000","","","","-8.430000","","","-7.538257","-8.430000","","","","","","D1 PROFILE","",""
"60605200000039","Nodes","39","21.000000","28.849326","Default Known Flow Node","Known Flow","292011.050000","855475.455000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000011","Nodes","PINE GROVE COTTAGE CSEP, P00101394, 13.20","22.999998","23.460994","CSEP Unmatched","Known Flow","292573.531893","855300.934828","","0.000000","","","","","-13.199999","","-11.803675","-13.199999","","","","","","","DC PROFILE",""
