"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60203400002760","Nodes","-179","21.000000","33.648797","Default Known Flow Node","Known Flow","322771.791808","695111.839956","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000278","Nodes","278","21.000000","33.586222","DDS demands","Known Flow","322747.478978","695122.591359","","0.000000","","","","","","","-6.229999","","","","","","","-5.570977","-6.229999","","","","","","","","","D1 PROFILE","","","","","",""
"60203400000227","Nodes","227","21.000000","38.493353","DDS demands","Known Flow","322468.210002","695031.835034","","0.000000","","","","","","","-6.520000","","","","","","","-5.830300","-6.520000","","","","","","","","","D1 PROFILE","","","","","",""
"60203400002730","Nodes","-1462641","21.000000","38.493353","Default Known Flow Node","Known Flow","322458.829900","695066.315343","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002662","Nodes","-1462493","21.000000","31.069302","Default Known Flow Node","Known Flow","321490.603636","695853.966558","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002705","Nodes","-1462579","21.000000","38.023938","Default Known Flow Node","Known Flow","321961.638764","694460.039178","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000320","Nodes","320","21.000000","31.173394","DDS demands","Known Flow","321583.853662","695596.716488","","0.000000","-2.019999","-28.810000","","","","","-2.980000","","","","","","","-30.233507","-33.810000","","","C1 PROFILE","C2 PROFILE","","","","","D1 PROFILE","","","","","",""
"60203400002733","Nodes","-1462646","21.000000","30.327504","Default Known Flow Node","Known Flow","321706.253695","695910.591573","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000302","Nodes","302","21.000000","23.348502","Default Known Flow Node","Known Flow","320953.520490","696384.187702","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002767","Nodes","-192","21.000000","43.903524","Default Known Flow Node","Known Flow","321805.787077","695138.947858","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
