"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"60206100000031","Nodes","31","21.000000","25.340512","DDS demands","Known Flow","339935.382875","726311.878848","","0.000000","","","","","","-2.409999","","-2.155065","-2.409999","","","","","","","","D1 PROFILE",""
"60206100000300","Nodes","300","21.000000","23.830751","DDS demands","Known Flow","339513.674540","726027.385768","","0.000000","","","","","","-21.379999","","-19.118378","-21.379999","","","","","","","","D1 PROFILE",""
"60206100009037","Nodes","9037","21.000000","27.001758","Default Known Flow Node","Known Flow","339622.702904","726094.004297","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000231","Nodes","231","21.000000","27.346808","Default Known Flow Node","Known Flow","340468.784736","726914.834671","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000278","Nodes","278","21.000000","27.521345","DDS demands","Known Flow","340487.933806","726919.941011","","0.000000","","","","","","-12.700000","","-11.356567","-12.700000","","","","","","","","D1 PROFILE",""
"60206100000046","Nodes","46","21.000000","26.542758","DDS demands","Known Flow","340336.022490","726782.237249","","0.000000","","","","","","-16.940001","","-15.148052","-16.940001","","","","","","","","D1 PROFILE",""
"60206100000232","Nodes","232","21.000000","27.248562","DDS demands","Known Flow","340456.028467","726640.310432","","0.000000","","","","","","-16.180000","","-14.468446","-16.180000","","","","","","","","D1 PROFILE",""
"60206100000233","Nodes","233","21.000000","26.973180","DDS demands","Known Flow","340378.863776","726632.634933","","0.000000","","","","","","-11.530000","","-10.310332","-11.530000","","","","","","","","D1 PROFILE",""
"60206100000266","Nodes","266","21.000000","27.426810","DDS demands","Known Flow","340350.423457","726720.892494","","0.000000","","","","","","-7.960000","","-7.117974","-7.960000","","","","","","","","D1 PROFILE",""
"60206100000268","Nodes","268","21.000000","27.504621","DDS demands","Known Flow","340415.409786","726716.508956","","0.000000","","","","","","-4.289999","","-3.836194","-4.289999","","","","","","","","D1 PROFILE",""
"60206100000267","Nodes","267","21.000000","27.102791","DDS demands","Known Flow","340238.408738","726654.213939","","0.000000","","","","","","-6.360000","","-5.687226","-6.360000","","","","","","","","D1 PROFILE",""
"60206100000265","Nodes","265","21.000000","27.285762","DDS demands","Known Flow","340362.056771","726727.993959","","0.000000","","","","","","-8.390000","","-7.502488","-8.390000","","","","","","","","D1 PROFILE",""
"60206100000047","Nodes","47","21.000000","26.710618","DDS demands","Known Flow","340370.043878","726803.191144","","0.000000","","","","","","-3.190000","","-2.852555","-3.190000","","","","","","","","D1 PROFILE",""
"60206100000048","Nodes","48","21.000000","26.537358","DDS demands","Known Flow","340419.162545","726833.563632","","0.000000","","","","","","-10.710000","","-9.577073","-10.710000","","","","","","","","D1 PROFILE",""
"60206100000264","Nodes","264,","21.000000","27.796951","DDS demands","Known Flow","340437.710061","726841.011349","","0.000000","-8.029999","","","","","-25.979998","","-30.412350","-34.009997","","","C1 PROFILE","","","","","D1 PROFILE",""
"60206100000277","Nodes","277","21.000000","27.337991","DDS demands","Known Flow","340441.507306","726897.894525","","0.000000","","","","","","-2.019999","","-1.806320","-2.019999","","","","","","","","D1 PROFILE",""
"60206100009051","Nodes","9051","21.000000","28.561448","Default Known Flow Node","Known Flow","340242.942613","726709.916551","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000041","Nodes","41,","21.000000","28.330649","DDS demands","Known Flow","340606.662838","726743.443963","","0.000000","","-3.099999","","","","-13.879999","","-15.183819","-16.979999","","","","C2 PROFILE","","","","D1 PROFILE",""
"60206100000051","Nodes","51","21.000000","26.634155","DDS demands","Known Flow","340562.421756","726919.865447","","0.000000","","","","","","-4.949999","","-4.426378","-4.949999","","","","","","","","D1 PROFILE",""
"60206100009059","Nodes","9059","21.000000","27.617976","Default Known Flow Node","Known Flow","340515.736813","726889.543003","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000259","Nodes","259","21.000000","26.136814","DDS demands","Known Flow","340978.280159","726942.763336","","0.000000","","","","","","-16.639999","","-14.879785","-16.639999","","","","","","","","D1 PROFILE",""
