"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60207400000326","Nodes","-26","21.000000","49.868857","Default Known Flow Node","Known Flow","307333.385000","724963.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000423","Nodes","-23","21.000000","49.878675","Default Known Flow Node","Known Flow","307344.635000","724960.105000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000024","Nodes","","21.000000","49.637257","DDS demands","Known Flow","307356.567252","724969.404866","","0.000000","-5.559999","","","","-22.559999","","","","","","","-25.145407","-28.119999","","","C1 PROFILE","","","","D1 PROFILE","","","","","",""
"60207400000023","Nodes","23","21.000000","49.897826","DDS demands","Known Flow","307346.635000","724892.105000","","0.000000","-6.000000","","","","-2.359999","","","","","","","-7.475661","-8.360000","","","C1 PROFILE","","","","D1 PROFILE","","","","","",""
"60207401462504","Nodes","-1462504","21.000000","49.878675","Default Known Flow Node","Known Flow","307346.010000","724959.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000021","Nodes","-21","21.000000","49.466100","Default Known Flow Node","Known Flow","307465.510000","724956.480000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462477","Nodes","-1462477","21.000000","49.550063","Default Known Flow Node","Known Flow","307467.135000","724921.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000122","Nodes","122","21.000000","49.385819","DDS demands","Known Flow","307545.635000","724956.855000","","0.000000","","","","","-4.869999","","","","","","","-4.354840","-4.869999","","","","","","","D1 PROFILE","","","","","",""
"60207400000123","Nodes","123","21.000000","31.017633","DDS demands","Known Flow","308393.010000","724884.730000","","0.000000","","","","","0.000000","","","","","","","0.000000","0.000000","","","","","","","D1 PROFILE","","","","","",""
"60207400000100","Nodes","100","21.000000","31.060954","DDS demands","Known Flow","308314.260000","724888.230000","","0.000000","","","","","-6.599999","","","","","","","-5.901837","-6.599999","","","","","","","D1 PROFILE","","","","","",""
"60207400000026","Nodes","Logger 9703 East Huntington Cottages","21.000000","31.131066","Val Log Cath","Known Flow","308244.760000","724899.980000","","0.000000","","","","","-11.019999","","","","","","","-9.854281","-11.019999","","","","","","","D1 PROFILE","","","","","",""
"60207401462579","Nodes","-1462579","21.000000","31.131066","Default Known Flow Node","Known Flow","308239.635000","724900.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000175","Nodes","175","21.000000","49.702579","DDS demands","Known Flow","306606.010000","725142.105000","","0.000000","","","","-9.319999","-14.510000","","","","","","","-21.309212","-23.829999","","","","","","C4 PROFILE","D1 PROFILE","","","","","",""
"60207400000178","Nodes","178","21.000000","49.754010","DDS demands","Known Flow","306417.510000","725133.230000","","0.000000","","","-2.039999","","-1.900000","","","","","","","-3.523218","-3.939999","","","","","C3 PROFILE","","D1 PROFILE","","","","","",""
"60207400000041","Nodes","-41","21.000000","49.704794","Default Known Flow Node","Known Flow","306602.010000","725150.480000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000043","Nodes","-43","21.000000","49.911478","Default Known Flow Node","Known Flow","306579.510000","725193.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000040","Nodes","-40","21.000000","49.696258","Default Known Flow Node","Known Flow","306664.510000","725143.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000038","Nodes","-38","21.000000","49.905687","Default Known Flow Node","Known Flow","306719.510000","725137.730000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207404904541","Nodes","-4904541","21.000000","49.908379","Default Known Flow Node","Known Flow","306998.385000","725020.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000151","Nodes","151","21.000000","45.153881","Default Known Flow Node","Known Flow","306572.760000","725415.730000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000152","Nodes","152","21.000000","44.985030","Default Known Flow Node","Known Flow","306588.760000","725404.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000020","Nodes","20","21.000000","49.922557","DDS demands","Known Flow","306578.885000","725195.605000","","0.000000","-1.809999","","","","-7.600000","","","","-0.750000","","","-9.085254","-10.159999","","","C1 PROFILE","","","","D1 PROFILE","","","","I2 PROFILE","",""
"60207400000001","Nodes","ALMONDBANK DG, Tel, Site ID 1524","21.000000","49.999998","Default Known Pressure Node","Known Pressure","306576.385000","725194.730000","","3963.999869","","","","","","","","","","","","476.612178","532.993342","","","","","","","","","","","","",""
"60207400000134","Nodes","134","21.000000","48.787614","Default Known Flow Node","Known Flow","307482.635000","725461.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000135","Nodes","135","21.000000","48.786924","DDS demands","Known Flow","307486.010000","725467.980000","","0.000000","","","","","-7.159999","","","","","","","-6.402599","-7.159999","","","","","","","D1 PROFILE","","","","","",""
"60207400000034","Nodes","-34","21.000000","49.907002","Default Known Flow Node","Known Flow","307011.135000","725018.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207404904557","Nodes","-4904557","21.000000","49.818058","Default Known Flow Node","Known Flow","307322.885000","725423.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000110","Nodes","110","21.000000","49.805960","Default Known Flow Node","Known Flow","307322.603750","725420.542500","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000133","Nodes","133","21.000000","49.361938","Default Known Flow Node","Known Flow","307328.510000","725393.605000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000267","Nodes","-67","21.000000","49.719268","Default Known Flow Node","Known Flow","307328.885000","725419.605000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000179","Nodes","179","21.000000","49.163371","DDS demands","Known Flow","307329.635000","725377.480000","","0.000000","","","","","-4.219999","","","","","","","-3.773599","-4.219999","","","","","","","D1 PROFILE","","","","","",""
"60207400000055","Nodes","-55","21.000000","49.205272","Default Known Flow Node","Known Flow","307329.260000","725323.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000076","Nodes","-76","21.000000","48.828797","Default Known Flow Node","Known Flow","307496.385000","725490.105000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000270","Nodes","-70","21.000000","49.917457","Default Known Flow Node","Known Flow","307314.385000","725426.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462586","Nodes","-1462586","21.000000","49.917457","Default Known Flow Node","Known Flow","307311.135000","725426.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000369","Nodes","-69","21.000000","49.828176","Default Known Flow Node","Known Flow","307323.260000","725425.730000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207404904543","Nodes","-4904543","21.000000","49.719268","Default Known Flow Node","Known Flow","307328.885000","725423.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000035","Nodes","35","21.000000","49.719268","Default Known Flow Node","Known Flow","307329.010000","725425.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207404904539","Nodes","-4904539","21.000000","49.750242","Default Known Flow Node","Known Flow","307353.010000","725000.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400326849","Nodes","-326849","21.000000","49.205272","Default Known Flow Node","Known Flow","307326.135000","725323.605000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462580","Nodes","1462580","21.000000","36.455034","Default Known Flow Node","Known Flow","307873.885000","725474.605000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000274","Nodes","-74","21.000000","36.412262","Default Known Flow Node","Known Flow","307874.760000","725475.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000029","Nodes","29","21.000000","36.618818","DDS demands","Known Flow","307867.635000","725479.480000","","0.000000","","","","","-8.079999","","","","","","","-7.225280","-8.079999","","","","","","","D1 PROFILE","","","","","",""
"60207400000186","Nodes","186","21.000000","36.642280","DDS demands","Known Flow","307849.510000","725441.855000","","0.000000","","","","","-1.159999","","","","","","","-1.037292","-1.159999","","","","","","","D1 PROFILE","","","","","",""
"60207400000360","Nodes","-60","21.000000","36.417925","Default Known Flow Node","Known Flow","307794.135000","725347.730000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000030","Nodes","30","21.000000","36.407671","DDS demands","Known Flow","307792.260000","725344.605000","","0.000000","","","","","-6.969999","","","","","","","-6.232698","-6.969999","","","","","","","D1 PROFILE","","","","","",""
"60207400001007","Nodes","1007","21.000000","36.417925","Default Known Flow Node","Known Flow","307876.885000","725286.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000027","Nodes","27","21.000000","30.970754","DDS demands","Known Flow","308212.385000","725229.605000","","0.000000","","","","","-29.100000","","","","","","","-26.021741","-29.100000","","","","","","","D1 PROFILE","","","","","",""
"60207404904547","Nodes","-4904547","21.000000","34.466954","Default Known Flow Node","Known Flow","308000.385000","725408.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000049","Nodes","-49","21.000000","31.143571","Default Known Flow Node","Known Flow","308259.135000","725243.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462560","Nodes","-1462560","21.000000","31.100387","Default Known Flow Node","Known Flow","308278.260000","725242.730000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000028","Nodes","28","21.000000","30.705026","DDS demands","Known Flow","308058.135000","725261.355000","","0.000000","","","","","-4.659999","","","","","","","-4.167055","-4.659999","","","","","","","D1 PROFILE","","","","","",""
"60207400000050","Nodes","-50","21.000000","31.143571","Default Known Flow Node","Known Flow","308202.885000","725244.105000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000319","Nodes","319","21.000000","38.010290","Default Known Flow Node","Known Flow","306489.135000","725770.105000","","0.000000","","","","","-20.090000","","","","-4.679999","","","-22.149776","-24.769999","","","","","","","D1 PROFILE","","","","I2 PROFILE","",""
"60207401462525","Nodes","1462525","21.000000","38.184734","Default Known Flow Node","Known Flow","306416.385000","725820.480000","","0.000000","","","","","-15.550000","","","","","","","-13.905088","-15.550000","","","","","","","D1 PROFILE","","","","","",""
"60207400000153","Nodes","153","21.000000","39.448086","DDS demands","Known Flow","306600.260000","725668.980000","","0.000000","","","","","-0.950000","","","","","","","-0.849507","-0.950000","","","","","","","D1 PROFILE","","","","","",""
"60207404904540","Nodes","-4904540","21.000000","37.843860","Default Known Flow Node","Known Flow","306503.635000","725747.105000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000124","Nodes","-124","21.000000","38.032174","Default Known Flow Node","Known Flow","306703.135000","725786.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000323","Nodes","-123","21.000000","38.035848","Default Known Flow Node","Known Flow","306706.635000","725783.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000145","Nodes","145","21.000000","36.022393","DDS demands","Known Flow","306740.385000","725879.855000","","0.000000","","","","","-3.180000","","","","","","","-2.843613","-3.180000","","","","","","","D1 PROFILE","","","","","",""
"60207400000146","Nodes","146","21.000000","36.022393","Default Known Flow Node","Known Flow","306802.885000","725878.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000144","Nodes","-144","21.000000","35.144965","Default Known Flow Node","Known Flow","306708.010000","725948.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
