"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60202100000166","Nodes","166","21.000000","25.676179","DDS demands","Known Flow","326422.962266","686384.274072","","0.000000","","","","-15.909999","","","","-14.227006","-15.909999","","","","","","D1 PROFILE","","",""
"60202100000165","Nodes","165","21.000000","25.654834","DDS demands","Known Flow","326486.954020","686280.837546","","0.000000","","","","-16.940001","","","","-15.148052","-16.940001","","","","","","D1 PROFILE","","",""
"60202100009555","Nodes","-5","21.000000","26.021472","Default Known Flow Node","Known Flow","326748.405632","686145.205430","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009564","Nodes","-7","21.000000","26.276464","Default Known Flow Node","Known Flow","326837.507091","686190.544928","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000077","Nodes","77","21.000000","26.975459","DDS demands","Known Flow","326948.884044","686284.535497","","0.000000","-6.000000","","","-16.659999","","","","-20.262976","-22.659999","","","C1 PROFILE","","","D1 PROFILE","","",""
"60202100009514","Nodes","-12","21.000000","26.284769","Default Known Flow Node","Known Flow","326813.382726","686272.565805","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000078","Nodes","78","21.000000","26.282030","DDS demands","Known Flow","326814.087952","686267.855344","","0.000000","","","","-11.539999","","","","-10.319274","-11.539999","","","","","","D1 PROFILE","","",""
"60202100000089","Nodes","89","21.000000","23.353654","DDS demands","Known Flow","326614.453263","686279.634748","","0.000000","","","","-19.010001","","","","-16.999083","-19.010001","","","","","","D1 PROFILE","","",""
"60202100009524","Nodes","-1462488","21.000000","23.133996","Default Known Flow Node","Known Flow","326597.264026","686272.118950","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000087","Nodes","87","21.000000","23.562185","DDS demands","Known Flow","326668.168371","686313.120801","","0.000000","","","","-6.099999","","","","-5.454729","-6.099999","","","","","","D1 PROFILE","","",""
"60202100000072","Nodes","72","21.000000","25.707589","DDS demands","Known Flow","326779.873068","686423.712185","","0.000000","","","","-20.459998","","","","-18.295697","-20.459998","","","","","","D1 PROFILE","","",""
"60202100009522","Nodes","-1462480","21.000000","26.281157","Default Known Flow Node","Known Flow","326838.774187","686190.913693","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009530","Nodes","-1462506","21.000000","25.179781","Default Known Flow Node","Known Flow","326604.833028","686488.179009","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000066","Nodes","66","21.000000","25.311319","DDS demands","Known Flow","326597.935124","686531.960267","","0.000000","","","","-12.780000","","","","-11.428104","-12.780000","","","","","","D1 PROFILE","","",""
"60202100000070","Nodes","70","21.000000","25.933995","DDS demands","Known Flow","326769.022634","686502.165338","","0.000000","","","","-21.719999","","","","-19.422411","-21.719999","","","","","","D1 PROFILE","","",""
"60202100000157","Nodes","157, c2 14.63","21.000000","29.201054","DDS demands","Known Flow","326964.461126","686875.350115","","0.000000","","-14.630000","","","","","","-13.082408","-14.630000","","","","C2 PROFILE","","","","",""
"60202100000156","Nodes","156","21.000000","30.852234","DDS demands","Known Flow","326890.086105","686867.320112","","0.000000","","","-4.060000","-8.669999","","","","-11.383394","-12.730000","","","","","C4 PROFILE","D1 PROFILE","","",""
"60202100000133","Nodes","133","21.000000","30.028266","DDS demands","Known Flow","326755.584914","686697.463498","","0.000000","","","","-5.850000","","","","-5.231174","-5.850000","","","","","","D1 PROFILE","","",""
"60202100000153","Nodes","153, c2 12.25","21.000000","30.098125","DDS demands","Known Flow","326808.627083","686775.950088","","0.000000","","-12.250000","","","","-12.799999","","-10.954169","-12.250000","","","","C2 PROFILE","","","","DM PROFILE",""
"60202100009528","Nodes","-1462494","21.000000","28.811750","Default Known Flow Node","Known Flow","326768.438072","686949.667135","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009576","Nodes","-83","21.000000","28.811750","Default Known Flow Node","Known Flow","326769.539073","686930.001129","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009551","Nodes","-49","21.000000","28.619365","Default Known Flow Node","Known Flow","326834.274178","686642.953235","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009556","Nodes","-50","21.000000","28.833874","Default Known Flow Node","Known Flow","326846.091093","686653.008054","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009557","Nodes","-52","21.000000","28.842362","Default Known Flow Node","Known Flow","326832.920811","686663.449690","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009566","Nodes","-71","21.000000","30.837751","Default Known Flow Node","Known Flow","326885.199104","686904.640123","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009535","Nodes","-1462540","21.000000","31.054395","Default Known Flow Node","Known Flow","326864.546098","686919.196126","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009570","Nodes","-78","21.000000","31.442152","Default Known Flow Node","Known Flow","326885.624104","686917.885126","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009568","Nodes","-74","21.000000","31.442152","Default Known Flow Node","Known Flow","326892.117106","686913.277125","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009571","Nodes","-79","21.000000","31.522447","Default Known Flow Node","Known Flow","326889.530105","686922.046127","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009569","Nodes","-77","21.000000","31.522447","Default Known Flow Node","Known Flow","326895.261107","686917.860126","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009574","Nodes","-81","21.000000","31.687749","Default Known Flow Node","Known Flow","326893.266106","686926.435128","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009573","Nodes","-80","21.000000","31.601222","Default Known Flow Node","Known Flow","326898.239334","686922.427956","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009579","Nodes","-86","21.000000","31.847161","Default Known Flow Node","Known Flow","326899.587108","686935.297131","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009577","Nodes","-84","21.000000","31.847161","Default Known Flow Node","Known Flow","326904.526109","686931.498130","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009581","Nodes","-89","21.000000","32.022538","Default Known Flow Node","Known Flow","326906.227110","686945.136134","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009580","Nodes","-87","21.000000","32.022538","Default Known Flow Node","Known Flow","326911.537412","686941.410578","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009585","Nodes","-93","21.000000","32.139725","Default Known Flow Node","Known Flow","326910.352111","686951.350135","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009583","Nodes","-91","21.000000","32.139725","Default Known Flow Node","Known Flow","326916.223113","686948.035134","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000035","Nodes","35","21.000000","27.881734","DDS demands","Known Flow","326743.380066","686968.175140","","0.000000","","","","-16.899999","","","","-15.112282","-16.899999","","","","","","D1 PROFILE","","",""
"60202100000041","Nodes","41","21.000000","29.674711","DDS demands","Known Flow","326823.384087","686942.999133","","0.000000","","","","-23.610000","","","","-21.112485","-23.610000","","","","","","D1 PROFILE","","",""
"60202100009578","Nodes","-85","21.000000","29.696739","Default Known Flow Node","Known Flow","326824.685088","686935.194131","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000134","Nodes","134","21.000000","29.838787","Default Known Flow Node","Known Flow","326863.555338","686887.438906","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000132","Nodes","132","21.000000","30.289137","DDS demands","Known Flow","326878.662139","686874.608088","","0.000000","","","","-1.620000","","","","-1.448633","-1.620000","","","","","","D1 PROFILE","","",""
"60202100000059","Nodes","59, c1 6.57","21.000000","30.837751","DDS demands","Known Flow","326889.602695","686901.764539","","0.000000","-6.569999","","","-20.659999","","","","-24.349553","-27.230000","","","C1 PROFILE","","","D1 PROFILE","","",""
"60202100009562","Nodes","-67","21.000000","30.823752","Default Known Flow Node","Known Flow","326887.729105","686899.376121","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000154","Nodes","154","21.000000","30.955746","DDS demands","Known Flow","326910.082344","686754.373869","","0.000000","","","-1.370000","-1.779999","","","","-2.816786","-3.149999","","","","","C4 PROFILE","D1 PROFILE","","",""
"60202100009558","Nodes","-57","21.000000","30.941147","Default Known Flow Node","Known Flow","326907.049110","686783.324090","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000064","Nodes","64","21.000000","30.604688","DDS demands","Known Flow","326910.776433","686735.944888","","0.000000","-3.940000","","-3.289999","-18.740000","","","","-23.222839","-25.969999","","","C1 PROFILE","","C4 PROFILE","D1 PROFILE","","",""
"60202100000135","Nodes","135","21.000000","28.388652","DDS demands","Known Flow","326932.540237","686578.698518","","0.000000","","","","-36.470001","","","","-32.612126","-36.470001","","","","","","D1 PROFILE","","",""
"60202100000086","Nodes","86","21.000000","27.169395","DDS demands","Known Flow","326756.924001","686574.592082","","0.000000","","","","-2.689999","","","","-2.405446","-2.689999","","","","","","D1 PROFILE","","",""
"60202100000092","Nodes","92","21.000000","25.785184","DDS demands","Known Flow","326668.237682","686565.217877","","0.000000","-5.369999","","","-8.180000","","","","-12.116652","-13.550000","","","C1 PROFILE","","","D1 PROFILE","","",""
"60202100009550","Nodes","-43","21.000000","26.325631","Default Known Flow Node","Known Flow","326687.727050","686576.622033","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000155","Nodes","155","21.000000","30.921051","DDS demands","Known Flow","326900.341409","686782.716390","","0.000000","-18.969999","","","-8.689999","","","","-24.734067","-27.659999","","","C1 PROFILE","","","D1 PROFILE","","",""
"60202100009520","Nodes","-1462470","21.000000","30.924491","Default Known Flow Node","Known Flow","326899.736738","686780.313227","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009553","Nodes","-4904548","21.000000","29.058469","Default Known Flow Node","Known Flow","326842.760916","686671.266025","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009529","Nodes","-1462498","21.000000","30.823752","Default Known Flow Node","Known Flow","326885.920104","686896.723120","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009561","Nodes","-66","21.000000","30.795873","Default Known Flow Node","Known Flow","326892.234106","686895.346120","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009567","Nodes","-73","21.000000","31.376879","Default Known Flow Node","Known Flow","326895.901060","686910.809156","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009541","Nodes","-1462580","21.000000","30.795873","Default Known Flow Node","Known Flow","326894.863107","686899.785121","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009582","Nodes","-90","21.000000","32.193904","Default Known Flow Node","Known Flow","326919.471800","686946.158771","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009575","Nodes","-82","21.000000","37.366008","Default Known Flow Node","Known Flow","327125.124791","686929.081417","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000052","Nodes","52","21.000000","38.102284","DDS demands","Known Flow","327085.806712","686985.061514","","0.000000","","","","-9.090000","","","","-8.128440","-9.090000","","","","","","D1 PROFILE","","",""
"60202100000150","Nodes","150","21.000000","28.874670","DDS demands","Known Flow","326892.635270","687012.358003","","0.000000","","","","-6.540000","","","","-5.848185","-6.540000","","","","","","D1 PROFILE","","",""
"60202100009512","Nodes","-115","21.000000","30.966460","Default Known Flow Node","Known Flow","326784.180179","687144.064856","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000030","Nodes","30","21.000000","32.132927","DDS demands","Known Flow","326866.197913","687227.866782","","0.000000","","","","-2.200000","","","","-1.967279","-2.200000","","","","","","D1 PROFILE","","",""
"60202100009513","Nodes","-119","21.000000","31.577388","Default Known Flow Node","Known Flow","326821.961711","687153.185293","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000129","Nodes","129","21.000000","38.631530","DDS demands","Known Flow","326990.359515","687085.337608","","0.000000","-6.910000","","","-4.739999","","","","-10.417638","-11.650000","","","C1 PROFILE","","","D1 PROFILE","","",""
"60202100000140","Nodes","140","21.000000","31.516087","DDS demands","Known Flow","326818.006253","687152.101763","","0.000000","","","","-6.370000","","","","-5.696168","-6.370000","","","","","","D1 PROFILE","","",""
"60202100000139","Nodes","139","21.000000","31.904629","DDS demands","Known Flow","326854.284139","687206.445336","","0.000000","","","","-10.920000","","","","-9.764859","-10.920000","","","","","","D1 PROFILE","","",""
"60202100009554","Nodes","-4904552","21.000000","31.859652","Default Known Flow Node","Known Flow","326852.186719","687198.159909","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000151","Nodes","151","21.000000","39.042884","DDS demands","Known Flow","326985.043819","687251.162283","","0.000000","","","","-15.720000","","","","-14.057105","-15.720000","","","","","","D1 PROFILE","","",""
"60202100009539","Nodes","-1462577","21.000000","36.452375","Default Known Flow Node","Known Flow","326988.135132","687038.551159","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000058","Nodes","58, c1 1.41,","21.000000","34.479198","DDS demands","Known Flow","326946.790121","686987.407145","","0.000000","-1.409999","","-1.770000","-35.840000","","","","-34.892383","-39.019998","","","C1 PROFILE","","C4 PROFILE","D1 PROFILE","","",""
"60202100000024","Nodes","24","21.000000","34.124686","DDS demands","Known Flow","327028.817887","687395.882043","","0.000000","","","-4.570000","-6.419999","","","","-9.827454","-10.990000","","","","","C4 PROFILE","D1 PROFILE","","",""
"60202100009521","Nodes","-1462478","21.000000","39.412073","Default Known Flow Node","Known Flow","327035.404751","687181.203741","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000159","Nodes","159","21.000000","39.095889","DDS demands","Known Flow","327034.062145","687177.713197","","0.000000","","","-2.890000","-11.960000","","","","-13.279136","-14.850000","","","","","C4 PROFILE","D1 PROFILE","","",""
"60202100000044","Nodes","44,","21.000000","39.405243","DDS demands","Known Flow","327033.346385","687183.376957","","0.000000","","-39.999997","","-3.499999","","","","-38.898476","-43.499999","","","","C2 PROFILE","","D1 PROFILE","","",""
"60202100000050","Nodes","50","21.000000","39.188630","DDS demands","Known Flow","327049.035149","687116.918180","","0.000000","","","","-9.779999","","","","-8.745450","-9.779999","","","","","","D1 PROFILE","","",""
"60202100009515","Nodes","-120","21.000000","38.996786","Default Known Flow Node","Known Flow","327018.326371","687153.931583","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009519","Nodes","-1462468","21.000000","37.566791","Default Known Flow Node","Known Flow","327018.407140","687047.280161","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009516","Nodes","-128","21.000000","39.393420","Default Known Flow Node","Known Flow","327028.659143","687189.430200","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009537","Nodes","-1462567","21.000000","34.822165","Default Known Flow Node","Known Flow","327261.591721","687248.080840","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000096","Nodes","96","21.000000","32.492729","DDS demands","Known Flow","326863.653014","687518.604255","","0.000000","","","","-1.559999","","","","-1.394979","-1.559999","","","","","","D1 PROFILE","","",""
"60202100000021","Nodes","21","21.000000","32.368568","DDS demands","Known Flow","326892.846106","687538.159295","","0.000000","","","","-9.479999","","","","-8.477185","-9.479999","","","","","","D1 PROFILE","","",""
"60202100009546","Nodes","-196","21.000000","32.333211","Default Known Flow Node","Known Flow","326916.137113","687554.506299","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000022","Nodes","22","21.000000","32.265702","DDS demands","Known Flow","326927.801116","687538.961295","","0.000000","","","","-15.259999","","","","-13.645765","-15.259999","","","","","","D1 PROFILE","","",""
"60202100000082","Nodes","82","21.000000","32.016024","DDS demands","Known Flow","326987.097674","687580.834681","","0.000000","","","","-11.019999","","","","-9.854281","-11.019999","","","","","","D1 PROFILE","","",""
"60202100009523","Nodes","-1462482","21.000000","31.972639","Default Known Flow Node","Known Flow","327045.331195","687623.450556","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009549","Nodes","-30","21.000000","25.650901","Default Known Flow Node","Known Flow","326386.156662","686390.218974","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009552","Nodes","-4904546","21.000000","25.652923","Default Known Flow Node","Known Flow","326390.657846","686391.294181","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009531","Nodes","9531","21.000000","25.650630","DDS demands","Known Flow","326363.804962","686398.560985","","0.000000","","","","-0.490000","","","","-0.438166","-0.490000","","","","","","D1 PROFILE","","",""
"60202100009542","Nodes","-17","21.000000","23.789326","Default Known Flow Node","Known Flow","326672.170970","686304.590610","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009572","Nodes","-8","21.000000","26.503149","Default Known Flow Node","Known Flow","326910.192347","686206.439868","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009540","Nodes","-1462578","21.000000","26.507263","Default Known Flow Node","Known Flow","326911.036587","686207.231070","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009560","Nodes","-64","21.000000","30.624881","Default Known Flow Node","Known Flow","326882.779951","686881.336042","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009559","Nodes","-63","21.000000","30.795536","Default Known Flow Node","Known Flow","326887.732105","686880.570116","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009526","Nodes","-1462491","21.000000","30.624881","Default Known Flow Node","Known Flow","326883.591104","686882.668117","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009563","Nodes","-68","21.000000","37.140914","Default Known Flow Node","Known Flow","327082.837275","686900.400194","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009565","Nodes","-70","21.000000","37.140914","Default Known Flow Node","Known Flow","327080.530746","686903.530807","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000200","Nodes","200","21.000000","39.062223","Default Known Flow Node","Known Flow","326985.377131","687248.519216","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009532","Nodes","-1462517","21.000000","39.062223","Default Known Flow Node","Known Flow","326986.435649","687249.379164","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000148","Nodes","148","21.000000","39.065026","DDS demands","Known Flow","327118.306570","687118.885127","","0.000000","","","","-16.070000","","","","-14.370081","-16.070000","","","","","","D1 PROFILE","","",""
"60202100009543","Nodes","-172","21.000000","33.862391","Default Known Flow Node","Known Flow","327037.291146","687406.042259","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009533","Nodes","-1462535","21.000000","38.809200","Default Known Flow Node","Known Flow","327106.400112","687067.562616","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009527","Nodes","-1462493","21.000000","38.937086","Default Known Flow Node","Known Flow","327186.117605","687108.928036","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009518","Nodes","-144","21.000000","39.532571","Default Known Flow Node","Known Flow","327076.549596","687281.228391","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009314","Nodes","Logger 9384, 70 PETTYCUR","21.000000","26.387129","Val Log Cath","Known Flow","326867.572718","686198.529698","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009511","Nodes","Logger 9110, 10 PARK PLACE","21.000000","29.310476","Val Log Cath","Known Flow","326853.771247","686680.941770","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009517","Nodes","-142","21.000000","39.014158","Default Known Flow Node","Known Flow","327017.153003","687272.574977","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000152","Nodes","152","21.000000","38.940690","DDS demands","Known Flow","327037.823477","687242.385338","","0.000000","","","","-3.459999","","","","-3.093993","-3.459999","","","","","","D1 PROFILE","","",""
"60202100009584","Nodes","-92","21.000000","32.429429","Default Known Flow Node","Known Flow","326922.169449","686950.153374","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009587","Nodes","-97","21.000000","27.934002","Default Known Flow Node","Known Flow","326738.182064","686980.808143","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009586","Nodes","-95","21.000000","32.429429","Default Known Flow Node","Known Flow","326913.107112","686955.076136","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009544","Nodes","-179","21.000000","33.795179","Default Known Flow Node","Known Flow","327049.926149","687421.015263","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009545","Nodes","-181","21.000000","33.795179","Default Known Flow Node","Known Flow","327045.937387","687424.147401","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100009525","Nodes","-1462490","21.000000","31.972639","Default Known Flow Node","Known Flow","327056.380018","687531.355816","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000025","Nodes","25","21.000000","33.806252","DDS demands","Known Flow","327055.902151","687428.246265","","0.000000","","","","-3.530000","","","","-3.156589","-3.530000","","","","","","D1 PROFILE","","",""
"60202100001000","Nodes","1000","21.000000","30.028266","Default Known Flow Node","Known Flow","326741.515047","686677.602801","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000002","Nodes","2","21.000000","26.546489","Default Known Flow Node","Known Flow","326878.043102","686273.378951","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000004","Nodes","0004","21.000000","26.268645","DDS demands","Known Flow","326512.693751","686526.496087","","0.000000","","","","-9.460000","","","","-8.459301","-9.460000","","","","","","D1 PROFILE","","",""
"60202100000006","Nodes","6","21.000000","25.796001","Default Known Flow Node","Known Flow","326606.131028","686448.550998","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000013","Nodes","13","21.000000","38.061031","Default Known Flow Node","Known Flow","327088.745160","686983.487144","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100000009","Nodes","9","21.000000","39.750548","Default Known Flow Node","Known Flow","327106.636899","687153.294455","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100001027","Nodes","","21.000000","25.775471","Default Known Flow Node","Known Flow","326682.397049","686434.948995","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100001028","Nodes","","21.000000","25.819224","Default Known Flow Node","Known Flow","326673.239046","686437.218995","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100001029","Nodes","","21.000000","23.594373","Default Known Flow Node","Known Flow","326666.723045","686312.282961","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100001031","Nodes","","21.000000","25.856361","Default Known Flow Node","Known Flow","326748.282067","686440.985996","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100001032","Nodes","","21.000000","25.856361","Default Known Flow Node","Known Flow","326750.341067","686432.852994","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60202100001033","Nodes","","21.000000","29.984834","Default Known Flow Node","Known Flow","326732.065062","686664.483057","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
