"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"60204400001264","Nodes","","21.000000","37.958748","Default Known Flow Node","Known Flow","334168.269360","697413.447290","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001263","Nodes","","21.000000","38.004409","Default Known Flow Node","Known Flow","334178.091324","697409.599510","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001265","Nodes","","21.000000","38.004409","Default Known Flow Node","Known Flow","334186.293171","697384.588940","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000113","Nodes","","21.000000","35.975034","DDS demands","Known Flow","334144.698255","697116.150093","","0.000000","","","","-0.880000","","-0.786911","-0.880000","","","","","","D1 PROFILE",""
"60204400000114","Nodes","","21.000000","35.777604","DDS demands","Known Flow","334129.142705","697104.159357","","0.000000","","","","-8.339999","","-7.457777","-8.339999","","","","","","D1 PROFILE",""
"60204400000112","Nodes","","21.000000","34.081114","DDS demands","Known Flow","334038.750000","697085.250000","","0.000000","","","","-15.449999","","-13.815665","-15.449999","","","","","","D1 PROFILE",""
"60204400001213","Nodes","","21.000000","35.436853","DDS demands","Known Flow","334128.386532","697160.548226","","0.000000","","","","-14.689999","","-13.136060","-14.689999","","","","","","D1 PROFILE",""
"60204400001216","Nodes","","21.000000","37.958748","Default Known Flow Node","Known Flow","334168.775646","697412.333459","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000117","Nodes","","21.000000","37.829974","DDS demands","Known Flow","334117.083342","697436.752743","","0.000000","","","","-10.960000","","-9.800629","-10.960000","","","","","","D1 PROFILE",""
"60204400000150","Nodes","","21.000000","29.607653","Default Known Flow Node","Known Flow","333989.267845","696765.709432","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000059","Nodes","","21.000000","22.704927","Default Known Flow Node","Known Flow","333511.713666","696230.329366","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000098","Nodes","","21.000000","30.037373","Default Known Flow Node","Known Flow","333916.890149","696918.932068","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000093","Nodes","","21.000000","30.129923","Default Known Flow Node","Known Flow","333902.099839","696945.172940","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000091","Nodes","","21.000000","33.499313","Default Known Flow Node","Known Flow","333912.374923","696951.758645","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000099","Nodes","","21.000000","30.037373","Default Known Flow Node","Known Flow","333924.225665","696923.345306","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000094","Nodes","","21.000000","30.170435","Default Known Flow Node","Known Flow","333912.854312","696954.672433","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000130","Nodes","","21.000000","37.994419","Default Known Flow Node","Known Flow","334186.160240","697280.226826","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000132","Nodes","","21.000000","35.997517","Default Known Flow Node","Known Flow","334146.534674","697117.662438","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000147","Nodes","","21.000000","29.935397","Default Known Flow Node","Known Flow","333990.280920","696778.874307","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000195","Nodes","","21.000000","37.999211","Default Known Flow Node","Known Flow","334140.645000","697373.235289","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000193","Nodes","","21.000000","40.294819","DDS demands","Known Flow","334282.614137","697680.809665","","0.000000","","","","-6.919999","","-6.187987","-6.919999","","","","","","D1 PROFILE",""
"60204400000194","Nodes","","21.000000","40.294819","Default Known Flow Node","Known Flow","334284.590118","697724.031067","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000160","Nodes","","21.000000","38.136134","Default Known Flow Node","Known Flow","334133.575886","697390.700160","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000210","Nodes","","21.000000","22.751666","Default Known Flow Node","Known Flow","333580.384005","696414.160711","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000214","Nodes","","21.000000","23.022330","Default Known Flow Node","Known Flow","333567.356922","696522.841740","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000211","Nodes","","21.000000","25.103283","Default Known Flow Node","Known Flow","333680.987138","696445.516010","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000219","Nodes","","21.000000","40.362746","Default Known Flow Node","Known Flow","334116.547710","697469.724986","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000213","Nodes","","21.000000","34.134907","Default Known Flow Node","Known Flow","334039.645587","697090.015758","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000212","Nodes","","21.000000","25.516405","DDS demands","Known Flow","333627.064726","696604.242853","","0.000000","","","","-9.770000","","-8.736509","-9.770000","","","","","","D1 PROFILE",""
"60204400000199","Nodes","","21.000000","38.118632","Default Known Flow Node","Known Flow","334119.099337","697285.053162","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000215","Nodes","","21.000000","40.357556","Default Known Flow Node","Known Flow","334113.670438","697462.052262","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000722","Nodes","","21.000000","25.196290","Default Known Flow Node","Known Flow","333635.795941","696446.367719","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000228","Nodes","","21.000000","31.240354","Default Known Flow Node","Known Flow","334087.565392","696809.844354","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000232","Nodes","","21.000000","25.874280","Default Known Flow Node","Known Flow","333701.863326","696653.338152","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000772","Nodes","","21.000000","30.163770","Default Known Flow Node","Known Flow","333910.685740","696955.305883","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000782","Nodes","","21.000000","30.150111","Default Known Flow Node","Known Flow","333907.222784","696959.593353","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001022","Nodes","","21.000000","30.131883","Default Known Flow Node","Known Flow","333901.622732","696945.709685","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001072","Nodes","","21.000000","30.170435","Default Known Flow Node","Known Flow","333912.037852","696953.975820","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000231","Nodes","","21.000000","33.174646","Default Known Flow Node","Known Flow","334117.091825","696875.440567","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001122","Nodes","","21.000000","38.000567","Default Known Flow Node","Known Flow","334180.246472","697314.070932","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001201","Nodes","","21.000000","37.890578","Default Known Flow Node","Known Flow","334131.055700","697257.740003","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001202","Nodes","","21.000000","40.694797","DDS demands","Known Flow","334357.884720","697405.298980","","0.000000","","","","-3.229999","","-2.888323","-3.229999","","","","","","D1 PROFILE",""
"60204400000233","Nodes","","21.000000","30.131875","DDS demands","Known Flow","333900.668519","696945.053663","","0.000000","","","","-12.740000","","-11.392336","-12.740000","","","","","","D1 PROFILE",""
"60204400000044","Nodes","","21.000000","29.453617","DDS demands","Known Flow","333922.811117","696763.754983","","0.000000","","","","-11.019999","","-9.854281","-11.019999","","","","","","D1 PROFILE",""
"60204400000109","Nodes","","21.000000","40.369991","DDS demands","Known Flow","334103.990017","697496.287532","","0.000000","","","","-3.780000","","-3.380143","-3.780000","","","","","","D1 PROFILE",""
"60204400000125","Nodes","","21.000000","37.914853","Default Known Flow Node","Known Flow","334085.375000","697267.000000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000118","Nodes","","21.000000","40.358517","DDS demands","Known Flow","334112.817913","697464.822968","","0.000000","","","","-1.429999","","-1.278731","-1.429999","","","","","","D1 PROFILE",""
"60204400000041","Nodes","","21.000000","29.009659","DDS demands","Known Flow","333942.095182","696615.706748","","0.000000","","","","-11.740000","","-10.498118","-11.740000","","","","","","D1 PROFILE",""
"60204400000221","Nodes","","21.000000","22.966240","Default Known Flow Node","Known Flow","333564.000000","696484.250000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001000","Nodes","P00069177, Main Road, PPS22861, 10.10","21.000000","34.331210","CSEP DDS Matched","Known Flow","334016.000000","697026.312500","","0.000000","","","","","-9.999999","-8.942178","-9.999999","","","","","","","DC PROFILE"
"60204400000905","Nodes","","21.000000","29.009659","Default Known Flow Node","Known Flow","333894.866390","696546.428310","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000907","Nodes","","21.000000","29.600397","Default Known Flow Node","Known Flow","333988.637968","696772.807664","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000908","Nodes","","21.000000","28.430430","Default Known Flow Node","Known Flow","333894.028717","696545.224444","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000906","Nodes","","21.000000","40.336884","Default Known Flow Node","Known Flow","334109.514379","697445.428026","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000911","Nodes","","21.000000","36.125880","Default Known Flow Node","Known Flow","334159.389608","697126.520460","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000914","Nodes","","21.000000","35.391085","Default Known Flow Node","Known Flow","334190.808439","697209.021959","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400001206","Nodes","","21.000000","29.009659","Default Known Flow Node","Known Flow","333893.987181","696547.069762","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000915","Nodes","","21.000000","29.009659","Default Known Flow Node","Known Flow","333894.440411","696545.816112","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000011","Nodes","","21.000000","38.072053","Default Known Flow Node","Known Flow","334037.848509","697234.261411","","0.000000","","","","0.000000","","0.000000","0.000000","","","","","","D1 PROFILE",""
"60204400000082","Nodes","","21.000000","40.533989","Default Known Flow Node","Known Flow","334368.456519","697400.252316","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000029","Nodes","","21.000000","38.124418","Default Known Flow Node","Known Flow","334184.566158","697315.796248","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000002","Nodes","","21.000000","40.098195","Default Known Flow Node","Known Flow","334450.748476","697574.908927","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000033","Nodes","","21.000000","38.720367","Default Known Flow Node","Known Flow","334200.890401","697340.783130","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000019","Nodes","","21.000000","38.180325","Default Known Flow Node","Known Flow","334177.330469","697326.040930","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000063","Nodes","","21.000000","40.465860","Default Known Flow Node","Known Flow","334158.234222","697488.493847","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000004","Nodes","","21.000000","40.215660","Default Known Flow Node","Known Flow","334464.519259","697630.836849","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000003","Nodes","","21.000000","40.268875","Default Known Flow Node","Known Flow","334415.594110","697575.841739","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000005","Nodes","","21.000000","40.215660","Default Known Flow Node","Known Flow","334425.664840","697632.489598","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000006","Nodes","","21.000000","38.940505","DDS demands","Known Flow","334238.344013","697338.618917","","0.000000","","","","-8.350000","","-7.466719","-8.350000","","","","","","D1 PROFILE",""
"60204400000010","Nodes","","21.000000","39.252383","Default Known Flow Node","Known Flow","334260.637651","697357.394086","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000007","Nodes","","21.000000","38.940505","Default Known Flow Node","Known Flow","334233.047590","697349.225629","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000008","Nodes","","21.000000","38.940505","Default Known Flow Node","Known Flow","334228.553251","697346.529025","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000009","Nodes","","21.000000","38.940505","Default Known Flow Node","Known Flow","334240.463250","697353.495251","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000015","Nodes","","21.000000","39.666979","DDS demands","Known Flow","334274.721736","697379.400996","","0.000000","","","","-9.069999","","-8.110555","-9.069999","","","","","","D1 PROFILE",""
"60204400000012","Nodes","","21.000000","39.252383","Default Known Flow Node","Known Flow","334252.597965","697364.506382","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000013","Nodes","","21.000000","39.252383","Default Known Flow Node","Known Flow","334249.676645","697361.360344","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000014","Nodes","","21.000000","39.252383","Default Known Flow Node","Known Flow","334257.317021","697370.124306","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000016","Nodes","","21.000000","39.666979","Default Known Flow Node","Known Flow","334264.283247","697384.730908","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000017","Nodes","","21.000000","39.666979","Default Known Flow Node","Known Flow","334261.811361","697379.112984","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000018","Nodes","","21.000000","39.666979","Default Known Flow Node","Known Flow","334267.878719","697391.022983","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000032","Nodes","","21.000000","38.729371","Default Known Flow Node","Known Flow","334207.670061","697326.264992","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000042","Nodes","","21.000000","38.720367","Default Known Flow Node","Known Flow","334205.833815","697343.031009","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000048","Nodes","","21.000000","38.714395","Default Known Flow Node","Known Flow","334189.187260","697347.546830","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000049","Nodes","","21.000000","38.004409","Default Known Flow Node","Known Flow","334176.471206","697408.586936","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000056","Nodes","","21.000000","37.829974","Default Known Flow Node","Known Flow","334105.792995","697437.955813","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000062","Nodes","","21.000000","40.465860","Default Known Flow Node","Known Flow","334159.220682","697488.848972","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
