"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60606000000058","Nodes","58","21.000000","57.862616","DDS demands","Known Flow","273564.965595","846859.882648","","0.000000","","","","","-4.050000","","","","-3.621582","-4.050000","","","","","","","D1 PROFILE","","",""
"60606000000059","Nodes","59","21.000000","57.706797","DDS demands","Known Flow","273540.215588","846880.382653","","0.000000","","","","","-3.749999","","","","-3.353317","-3.749999","","","","","","","D1 PROFILE","","",""
"60606000000119","Nodes","119","21.000000","54.530614","Default Known Flow Node","Known Flow","273263.840513","847233.947500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000090","Nodes","90","21.000000","49.802150","DDS demands","Known Flow","273373.465543","847191.757738","","0.000000","","","","","-24.780000","","","","-22.158719","-24.780000","","","","","","","D1 PROFILE","","",""
"60606010000028","Nodes","-28","21.000000","73.166746","Default Known Flow Node","Known Flow","272863.845274","846993.003819","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000060","Nodes","60","21.000000","57.592332","DDS demands","Known Flow","273625.465612","846927.257666","","0.000000","","","","","-6.589999","","","","-5.892895","-6.589999","","","","","","","D1 PROFILE","","",""
"60606010000012","Nodes","-12","21.000000","58.876273","Default Known Flow Node","Known Flow","273647.715618","846758.757620","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000065","Nodes","65","21.000000","58.749381","DDS demands","Known Flow","273698.648632","846801.291632","","0.000000","","","","","-5.249999","","","","-4.694643","-5.249999","","","","","","","D1 PROFILE","","",""
"60606010000029","Nodes","-29","21.000000","73.206987","Default Known Flow Node","Known Flow","272924.590421","847001.007686","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000001","Nodes","Balloch DG, Constant, Site ID 1112","21.000000","74.999996","Default Known Pressure Node","Known Pressure","272653.340347","846684.507600","","999998.967025","","","","","","","","","495.191055","553.770008","","","","","","","","","",""
"60606000000049","Nodes","49","21.000000","60.067123","DDS demands","Known Flow","273558.215593","847085.132709","","0.000000","","","","","-0.880000","","","","-0.786911","-0.880000","","","","","","","D1 PROFILE","","",""
"60606000000281","Nodes","","21.000000","64.367913","Default Known Flow Node","Known Flow","273390.991548","846905.266660","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000007","Nodes","","21.000000","66.080620","Default Known Flow Node","Known Flow","272966.340432","847240.382751","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000002","Nodes","A96-Dalcross RRI,","21.000000","31.999984","Default Known Pressure Node","Known Pressure","275519.677521","849415.950423","","0.000000","","","","","","","","","6.089623","6.809999","","","","","","","","","",""
"60606000000003","Nodes","","21.000000","31.981867","Default Known Flow Node","Known Flow","276012.181761","849668.931892","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000004","Nodes","","21.000000","32.129321","Default Known Flow Node","Known Flow","276069.381228","849674.820073","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60606000000005","Nodes","Kerrowaird Farm Cottage","21.000000","32.103197","Point Loads","Known Flow","276125.318943","849675.661241","","0.000000","","","","","","","-4.999999","","-4.471089","-4.999999","","","","","","","","","PL-AF PROFILE",""
"60606000000006","Nodes","","21.000000","32.103197","Default Known Flow Node","Known Flow","276117.842438","849676.414582","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
