"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60603300000214","Nodes","214","21.000000","37.033674","Default Known Flow Node","Known Flow","382512.378241","806481.921661","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300000332","Nodes","332","21.000000","36.150760","Default Known Flow Node","Known Flow","382511.432241","806417.586643","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300000276","Nodes","276","21.000000","48.997150","DDS demands","Known Flow","383566.687528","807580.714960","","0.000000","","","","-12.489999","","","","","","-11.168782","-12.489999","","","","","","D1 PROFILE","","","","",""
"60603300000275","Nodes","275","21.000000","49.940438","DDS demands","Known Flow","383675.922558","807626.014026","","0.000000","","","","-11.479999","","","","","","-10.265620","-11.479999","","","","","","D1 PROFILE","","","","",""
"60603300000005","Nodes","Craigston Place RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","383675.922558","807623.469971","","999998.967025","","","","","","","","","","21.434398","23.970000","","","","","","","","","","",""
"60603300000274","Nodes","274","21.000000","49.515551","DDS demands","Known Flow","383622.016543","807681.620987","","0.000000","","","","-9.050000","","","","","","-8.092672","-9.050000","","","","","","D1 PROFILE","","","","",""
"60603300000273","Nodes","273","21.000000","49.964623","DDS demands","Known Flow","383543.895292","807626.701260","","0.000000","","","","-5.960000","","","","","","-5.329538","-5.960000","","","","","","D1 PROFILE","","","","",""
"60603300000004","Nodes","Craigston Gardens RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","383540.997521","807627.062972","","999998.967025","","","","","","","","","","13.422209","15.009999","","","","","","","","","","",""
"60603300000081","Nodes","81","21.000000","38.575347","DDS demands","Known Flow","382462.424909","806529.276670","","0.000000","","","","-1.599999","","","","","","-1.430748","-1.599999","","","","","","D1 PROFILE","","","","",""
"60603300001011","Nodes","Logger 9596 - Stewart Milne Office, Straik Road","21.000000","37.991863","Val Log Post","Known Flow","382385.233963","806537.566706","","0.000000","-9.999999","","","-0.939999","","","-36.949999","","","-42.824095","-47.890000","","","C1 PROFILE","","","D1 PROFILE","","","I2 PROFILE","",""
"60603300001000","Nodes","1000","21.000000","37.955407","Default Known Flow Node","Known Flow","382369.986202","806539.472676","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300000188","Nodes","188","21.000000","41.228946","DDS demands","Known Flow","382300.348183","806972.377794","","0.000000","","","","-1.590000","","","","","","-1.421806","-1.590000","","","","","","D1 PROFILE","","","","",""
"60603300001010","Nodes","Logger 9544 - 25 Wellgrove Crescent","21.000000","40.863858","Val Log Cath","Known Flow","382316.946317","806971.207073","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300000189","Nodes","189","21.000000","40.461491","DDS demands","Known Flow","382342.314195","806969.417793","","0.000000","","","","-3.459999","","","","","","-3.093993","-3.459999","","","","","","D1 PROFILE","","","","",""
"60603300000107","Nodes","107","21.000000","32.964089","DDS demands","Known Flow","382795.385318","807049.735815","","0.000000","","","","-8.350000","","","","","","-7.466719","-8.350000","","","","","","D1 PROFILE","","","","",""
"60603300001009","Nodes","Logger 9695 - 9 Westwood Crescent","21.000000","33.072186","Val Log Cath","Known Flow","382775.257162","807053.152093","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300000108","Nodes","108","21.000000","32.679678","DDS demands","Known Flow","382717.367297","807083.237824","","0.000000","","","","-9.319999","","","","","","-8.334110","-9.319999","","","","","","D1 PROFILE","","","","",""
"60603300000300","Nodes","300","21.000000","43.993783","DDS demands","Known Flow","382003.496102","807298.816883","","0.000000","","","","-3.800000","","","","","","-3.398028","-3.800000","","","","","","D1 PROFILE","","","","",""
"60603300001008","Nodes","Logger 9619 - 1 Harvest Hill","21.000000","43.997593","Val Log Cath","Known Flow","381998.039372","807291.274786","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300000299","Nodes","299","21.000000","43.879085","DDS demands","Known Flow","381981.843097","807268.888875","","0.000000","","","","-4.349999","","","","","","-3.889847","-4.349999","","","","","","D1 PROFILE","","","","",""
"60603300001006","Nodes","Logger 9019 - o/s Subsea 7 Office, Peregrine Road","21.000000","32.661419","Val Log Post","Known Flow","382324.836190","806225.983591","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300001007","Nodes","","21.000000","32.896028","DDS demands","Known Flow","382447.650246","806167.805847","","0.000000","","","-142.619992","","","","","","","-127.533347","-142.619992","","","","","C4 PROFILE","","","","","",""
"60603300002615","Nodes","-6","21.000000","36.102435","Default Known Flow Node","Known Flow","382511.850321","806415.147710","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300000204","Nodes","204","21.000000","37.810083","DDS demands","Known Flow","382119.642134","806750.820734","","0.000000","","","","-13.609999","","","","","","-12.170305","-13.609999","","","","","","D1 PROFILE","","","","",""
"60603300001005","Nodes","Logger 9565 - 9 Westdykes Avenue","21.000000","36.253586","Val Log Cath","Known Flow","382080.735952","806749.067510","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300000206","Nodes","206","21.000000","33.675437","DDS demands","Known Flow","382015.287493","806756.213301","","0.000000","","","","-0.959999","","","","","","-0.858449","-0.959999","","","","","","D1 PROFILE","","","","",""
"60603300000115","Nodes","115","21.000000","23.943638","DDS demands","Known Flow","382779.263314","807206.020858","","0.000000","","","","-13.120000","","","","","","-11.732139","-13.120000","","","","","","D1 PROFILE","","","","",""
"60603300001003","Nodes","Logger 9072 - 43 Westfield Gardens","21.000000","24.113327","Val Log Cath","Known Flow","382718.065156","807233.133157","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300000116","Nodes","116","21.000000","24.063648","DDS demands","Known Flow","382733.522301","807266.262874","","0.000000","","","","-5.310000","","","","","","-4.748297","-5.310000","","","","","","D1 PROFILE","","","","",""
"60603300000215","Nodes","215","21.000000","35.306731","DDS demands","Known Flow","382429.478218","806475.385659","","0.000000","-56.879999","","","","","","","","","-50.863113","-56.879999","","","C1 PROFILE","","","","","","","",""
"60603300000084","Nodes","84","21.000000","33.114128","DDS demands","Known Flow","382556.642253","806441.143649","","0.000000","-55.869997","","","","","","","","","-49.959950","-55.869997","","","C1 PROFILE","","","","","","","",""
"60603300002573","Nodes","-1462615","21.000000","33.114128","Default Known Flow Node","Known Flow","382556.548253","806456.305654","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603300000082","Nodes","82","21.000000","34.338032","DDS demands","Known Flow","382554.984253","806376.149632","","0.000000","-64.699996","","","","","","-99.970003","","","-147.250857","-164.670008","","","C1 PROFILE","","","","","","I2 PROFILE","",""
"60603300002614","Nodes","-5","21.000000","34.108936","Default Known Flow Node","Known Flow","382574.023605","806378.261690","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
