"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"6.02027E+13","Nodes","3059","21","38.337578","Default Known Flow Node","Known Flow","324530.8905","748327.8348","","0","","","","","","","","","","0","0","","","","","","","","","","",""
"6.02027E+13","Nodes","3186","21","38.332404","Default Known Flow Node","Known Flow","324528.3352","748327.7007","","0","","","","","","","","","","0","0","","","","","","","","","","",""
"6.02027E+13","Nodes","189","21","43.588659","DDS demands","Known Flow","324774.3901","748253.1041","","0","","","-3.869999","","-2.779999","","","","","-5.946548","-6.65","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"6.02027E+13","Nodes","3094","21","38.332404","Default Known Flow Node","Known Flow","324499.9795","748308.6198","","0","","","","","","","","","","0","0","","","","","","","","","","",""
"6.02027E+13","Nodes","3180","21","38.15238","Default Known Flow Node","Known Flow","324591.4892","748306.0075","","0","","","","","","","","","","0","0","","","","","","","","","","",""
"6.02027E+13","Nodes","3047","21","43.014693","Default Known Flow Node","Known Flow","324532.6355","748115.4238","","0","","","","","","","","","","0","0","","","","","","","","","","",""
"6.02027E+13","Nodes","149","21","38.11513","DDS demands","Known Flow","324575.0825","748281.0468","","0","","","","","-10.369999","","","","","-9.273039","-10.369999","","","","","","","D1 PROFILE","","","",""
"6.02027E+13","Nodes","3157","21","40.697333","Default Known Flow Node","Known Flow","324613.8752","748473.8464","","0","","","","","","","","","","0","0","","","","","","","","","","",""
"6.02027E+13","Nodes","3049","21","43.328954","Default Known Flow Node","Known Flow","324747.8537","748270.1672","","0","","","","","","","","","","0","0","","","","","","","","","","",""
"6.02027E+13","Nodes","3143","21","44.206147","Default Known Flow Node","Known Flow","324834.3144","748169.4268","","0","","","","","","","","","","0","0","","","","","","","","","","",""
