"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60604400000090","Nodes","90","21.000000","44.959785","DDS demands","Known Flow","396384.759566","817471.839000","","0.000000","","","-6.000000","","-16.679999","","","","-20.280862","-22.680001","","","","","C4 PROFILE","","D1 PROFILE","","",""
"60604400002005","Nodes","2005","21.000000","45.298157","Default Known Flow Node","Known Flow","396344.940280","817490.995305","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000043","Nodes","43","21.000000","45.132166","DDS demands","Known Flow","396848.846038","818493.822453","","0.000000","","","","","","-16.339999","","","-14.611520","-16.339999","","","","","","","","DC PROFILE","",""
"60604400000042","Nodes","42","21.000000","20.797683","Default Known Flow Node","Known Flow","396501.666250","817348.847500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400002046","Nodes","2046","21.000000","20.793470","Default Known Flow Node","Known Flow","396501.015832","817347.722407","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400002020","Nodes","2020","21.000000","21.940321","Default Known Flow Node","Known Flow","396596.385000","817449.660000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000102","Nodes","102","21.000000","21.940321","DDS demands","Known Flow","396595.135000","817448.535000","","0.000000","","","","","-8.279999","","","","-7.404124","-8.279999","","","","","","","D1 PROFILE","","",""
"60604400000096","Nodes","96","21.000000","22.196012","DDS demands","Known Flow","396560.010000","817491.410000","","0.000000","","","","","-9.840000","","","","-8.799104","-9.840000","","","","","","","D1 PROFILE","","",""
"60604400002013","Nodes","2013","21.000000","21.836993","Default Known Flow Node","Known Flow","396545.760000","817469.910000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400002019","Nodes","2019","21.000000","21.940321","Default Known Flow Node","Known Flow","396588.010000","817443.785000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000063","Nodes","63","21.000000","25.203843","DDS demands","Known Flow","396695.298701","817458.901886","","0.000000","-9.130000","","","","-1.109999","","","","-9.156791","-10.239999","","","C1 PROFILE","","","","D1 PROFILE","","",""
"60604400002025","Nodes","2025","21.000000","24.834861","Default Known Flow Node","Known Flow","396691.194694","817446.786631","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400002029","Nodes","2029","21.000000","23.098466","Default Known Flow Node","Known Flow","396749.439348","817445.645971","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000098","Nodes","98","21.000000","21.184381","DDS demands","Known Flow","396537.435657","817425.159116","","0.000000","","","","","-4.900000","","","","-4.381668","-4.900000","","","","","","","D1 PROFILE","","",""
"60604400000099","Nodes","99","21.000000","21.037498","DDS demands","Known Flow","396533.931832","817410.593218","","0.000000","","","","","-8.149999","","","","-7.287875","-8.149999","","","","","","","D1 PROFILE","","",""
"60604400000103","Nodes","103","21.000000","21.136915","DDS demands","Known Flow","396491.760000","817384.660000","","0.000000","","","","","-3.069999","","","","-2.745248","-3.069999","","","","","","","D1 PROFILE","","",""
"60604400002016","Nodes","2016","21.000000","20.918324","Default Known Flow Node","Known Flow","396569.885000","817386.035000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000105","Nodes","105","21.000000","20.593814","DDS demands","Known Flow","396454.745375","817301.040925","","0.000000","","","","","-7.790000","","","","-6.965957","-7.790000","","","","","","","D1 PROFILE","","",""
"60604400000107","Nodes","107","21.000000","22.037394","DDS demands","Known Flow","396782.340369","817328.388935","","0.000000","","","","","-7.690000","","","","-6.876535","-7.690000","","","","","","","D1 PROFILE","","",""
"60604400000109","Nodes","109","21.000000","22.028387","DDS demands","Known Flow","396811.553629","817328.751083","","0.000000","","","","","-1.990000","","","","-1.779493","-1.990000","","","","","","","D1 PROFILE","","",""
"60604400000060","Nodes","60","21.000000","22.676503","DDS demands","Known Flow","396804.294546","817431.439788","","0.000000","","","","","-9.020000","","","","-8.065845","-9.020000","","","","","","","D1 PROFILE","","",""
"60604400000061","Nodes","61","21.000000","21.535532","DDS demands","Known Flow","396804.441900","817500.618160","","0.000000","","","","","-8.329999","","","","-7.448834","-8.329999","","","","","","","D1 PROFILE","","",""
"60604400000062","Nodes","62","21.000000","23.089450","DDS demands","Known Flow","396751.792190","817445.308444","","0.000000","","","","","-16.270000","","","","-14.548925","-16.270000","","","","","","","D1 PROFILE","","",""
"60604400002030","Nodes","2030","21.000000","23.089450","Default Known Flow Node","Known Flow","396753.385000","817468.785000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000059","Nodes","59","21.000000","19.246430","DDS demands","Known Flow","396926.635000","817447.285000","","0.000000","","","","","-16.679999","","","","-14.915554","-16.679999","","","","","","","D1 PROFILE","","",""
"60604400002041","Nodes","2041","21.000000","19.334531","Default Known Flow Node","Known Flow","396900.260000","817455.410000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400002044","Nodes","2044","21.000000","19.246430","Default Known Flow Node","Known Flow","396933.635000","817478.160000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400002034","Nodes","2034","21.000000","21.427043","Default Known Flow Node","Known Flow","396786.285930","817502.401905","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400002011","Nodes","2011","21.000000","21.836993","Default Known Flow Node","Known Flow","396531.510000","817476.535000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000097","Nodes","97","21.000000","21.438352","DDS demands","Known Flow","396540.885000","817444.535000","","0.000000","","","","","-1.659999","","","","-1.484401","-1.659999","","","","","","","D1 PROFILE","","",""
"60604400000104","Nodes","104","21.000000","20.842335","DDS demands","Known Flow","396579.635000","817379.410000","","0.000000","","","","","-6.740000","","","","-6.027028","-6.740000","","","","","","","D1 PROFILE","","",""
"60604400002015","Nodes","2015","21.000000","21.006372","Default Known Flow Node","Known Flow","396562.997273","817372.851590","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400002031","Nodes","2031","21.000000","22.867100","Default Known Flow Node","Known Flow","396760.859490","817413.287824","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000106","Nodes","106","21.000000","22.766265","DDS demands","Known Flow","396767.635000","817377.660000","","0.000000","","","","","-6.429999","","","","-5.749820","-6.429999","","","","","","","D1 PROFILE","","",""
"60604400002028","Nodes","2028","21.000000","22.867100","Default Known Flow Node","Known Flow","396730.934328","817407.851820","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400002033","Nodes","2033","21.000000","22.433035","Default Known Flow Node","Known Flow","396771.717365","817345.409884","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400002032","Nodes","2032","21.000000","22.433035","Default Known Flow Node","Known Flow","396761.094361","817338.891223","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000089","Nodes","89","21.000000","46.657512","DDS demands","Known Flow","396418.193416","817533.827942","","0.000000","","","","","-2.400000","","","","-2.146123","-2.400000","","","","","","","D1 PROFILE","","",""
"60604400000091","Nodes","91","21.000000","45.970618","DDS demands","Known Flow","396383.898608","817565.755117","","0.000000","","","","","-17.629998","","","","-15.765060","-17.629998","","","","","","","D1 PROFILE","","",""
"60604400002037","Nodes","2037","21.000000","21.535532","Default Known Flow Node","Known Flow","396821.451178","817506.733855","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000064","Nodes","64","21.000000","21.256330","DDS demands","Known Flow","396757.760000","817505.535000","","0.000000","","","","","-10.739999","","","","-9.603899","-10.739999","","","","","","","D1 PROFILE","","",""
"60604400002035","Nodes","2035","21.000000","21.427043","Default Known Flow Node","Known Flow","396787.814853","817525.463173","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000110","Nodes","110","21.000000","46.238481","DDS demands","Known Flow","396498.260000","817599.035000","","0.000000","","","","","-10.509999","","","","-9.398229","-10.509999","","","","","","","D1 PROFILE","","",""
"60604400000111","Nodes","111","21.000000","45.703605","DDS demands","Known Flow","396500.010000","817518.160000","","0.000000","","","","","-10.379999","","","","-9.281981","-10.379999","","","","","","","D1 PROFILE","","",""
"60604400000041","Nodes","41","21.000000","38.441342","DDS demands","Known Flow","396687.076432","817794.879617","","0.000000","","","","","-18.930000","","","","-16.927546","-18.930000","","","","","","","D1 PROFILE","","",""
"60604400000077","Nodes","105510/01, NORTH BEACH ROAD, 11.30","22.999998","24.852216","CSEP DDS Matched","Known Flow","396496.300163","817941.554012","","0.000000","","","","","","-11.300000","","","-10.104662","-11.300000","","","","","","","","DC PROFILE","",""
"60604400002022","Nodes","2022","21.000000","24.864914","Default Known Flow Node","Known Flow","396510.945541","817947.116194","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000051","Nodes","51","21.000000","25.170625","DDS demands","Known Flow","396623.530397","817994.649406","","0.000000","","","","","-8.890000","","","","-7.949597","-8.890000","","","","","","","D1 PROFILE","","",""
"60604400000052","Nodes","52","21.000000","22.158497","DDS demands","Known Flow","396485.073741","817806.326657","","0.000000","","","","","-17.879999","","","","-15.988615","-17.879999","","","","","","","D1 PROFILE","","",""
"60604400000047","Nodes","47","21.000000","26.072418","DDS demands","Known Flow","396558.958941","817904.037857","","0.000000","","","","","-7.139999","","","","-6.384715","-7.139999","","","","","","","D1 PROFILE","","",""
"60604400002012","Nodes","2012","21.000000","26.072418","Default Known Flow Node","Known Flow","396539.329702","817897.494778","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60604400000048","Nodes","48","21.000000","25.333719","DDS demands","Known Flow","396582.116311","817836.746773","","0.000000","","","","","-9.409999","","","","-8.414590","-9.409999","","","","","","","D1 PROFILE","","",""
