"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)"
"60203300000072","Nodes","72","21.000000","36.953232","DDS demands","Known Flow","360030.949123","768580.069347","","0.000000","-1.630000","","","","-4.679999","","","","-5.642515","-6.309999","","","C1 PROFILE","","","","D1 PROFILE","","",""
"60203300000030","Nodes","30","21.000000","36.807231","DDS demands","Known Flow","360037.677125","768531.383334","","0.000000","","","","","-3.039999","","","","-2.718422","-3.039999","","","","","","","D1 PROFILE","","",""
"60203300000029","Nodes","29","21.000000","36.806914","DDS demands","Known Flow","359964.248105","768447.930311","","0.000000","","","","","-1.630000","","","","-1.457575","-1.630000","","","","","","","D1 PROFILE","","",""
"60203300000073","Nodes","73","21.000000","37.016409","DDS demands","Known Flow","360043.944127","768591.946350","","0.000000","","","","","-3.370000","","","","-3.013514","-3.370000","","","","","","","D1 PROFILE","","",""
"60203300000064","Nodes","64","21.000000","37.098079","Default Known Flow Node","Known Flow","360058.341131","768604.293354","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000038","Nodes","38","21.000000","42.192601","DDS demands","Known Flow","360126.312149","768689.247377","","0.000000","","","","","-8.560000","","","","-7.654505","-8.560000","","","","","","","D1 PROFILE","","",""
"60203300000031","Nodes","31","21.000000","42.192601","Default Known Flow Node","Known Flow","360127.734417","768684.626757","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000063","Nodes","63","21.000000","43.011031","Default Known Flow Node","Known Flow","360121.169148","768676.005373","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000032","Nodes","32","21.000000","43.562555","DDS demands","Known Flow","360140.169930","768631.532642","","0.000000","","","","","-7.369999","","","","-6.590385","-7.369999","","","","","","","D1 PROFILE","","",""
"60203300000002","Nodes","High Street DG, Tel, Two Stage Clocked, Site ID 1574","21.000000","44.000001","Default Known Pressure Node","Known Pressure","360133.689151","768623.819359","","775.979970","","","","","","","","","488.180380","545.929978","","","","","","","","","",""
"60203300000036","Nodes","36","21.000000","39.784793","DDS demands","Known Flow","360336.388207","768658.076368","","0.000000","","","","","-1.729999","","","","-1.546996","-1.729999","","","","","","","D1 PROFILE","","",""
"60203300000068","Nodes","68","21.000000","39.812019","DDS demands","Known Flow","360355.844212","768627.203360","","0.000000","","","","","-1.580000","","","","-1.412864","-1.580000","","","","","","","D1 PROFILE","","",""
"60203300000069","Nodes","69","21.000000","38.908212","DDS demands","Known Flow","360396.963437","768584.866562","","0.000000","","","","","-10.239999","","","","-9.156791","-10.239999","","","","","","","D1 PROFILE","","",""
"60203300000078","Nodes","78","21.000000","38.797787","DDS demands","Known Flow","360470.317243","768692.145378","","0.000000","","","","","-2.509999","","","","-2.244486","-2.509999","","","","","","","D1 PROFILE","","",""
"60203300000077","Nodes","77","21.000000","35.257511","DDS demands","Known Flow","360445.993236","768731.613388","","0.000000","","","","","-6.289999","","","","-5.624630","-6.289999","","","","","","","D1 PROFILE","","",""
"60203300000076","Nodes","76","21.000000","35.795900","DDS demands","Known Flow","360392.846222","768756.253395","","0.000000","","","","","-2.789999","","","","-2.494867","-2.789999","","","","","","","D1 PROFILE","","",""
"60203300000065","Nodes","65","21.000000","37.624029","DDS demands","Known Flow","360276.550670","768709.519703","","0.000000","","","","","-7.450000","","","","-6.661923","-7.450000","","","","","","","D1 PROFILE","","",""
"60203300000037","Nodes","37","21.000000","38.122922","DDS demands","Known Flow","360230.618178","768717.844385","","0.000000","","","","","-6.560000","","","","-5.866069","-6.560000","","","","","","","D1 PROFILE","","",""
"60203300000040","Nodes","40","21.000000","37.948018","DDS demands","Known Flow","360171.263162","768899.905434","","0.000000","","","","","-7.639999","","","","-6.831824","-7.639999","","","","","","","D1 PROFILE","","",""
"60203300000071","Nodes","71","21.000000","37.948018","Default Known Flow Node","Known Flow","360110.281145","768894.471433","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000021","Nodes","21","21.000000","33.561104","DDS demands","Known Flow","360051.276129","768917.424439","","0.000000","","","","","-7.150000","","","","-6.393657","-7.150000","","","","","","","D1 PROFILE","","",""
"60203300000023","Nodes","23","21.000000","35.463414","DDS demands","Known Flow","360063.298965","768881.244907","","0.000000","","","","","-7.920000","","","","-7.082205","-7.920000","","","","","","","D1 PROFILE","","",""
"60203300000066","Nodes","66","21.000000","35.166405","DDS demands","Known Flow","360018.782120","768741.015391","","0.000000","","","","","-6.959999","","","","-6.223756","-6.959999","","","","","","","D1 PROFILE","","",""
"60203300000104","Nodes","104","21.000000","35.455490","DDS demands","Known Flow","360029.191123","768708.749382","","0.000000","","","","","-11.019999","","","","-9.854281","-11.019999","","","","","","","D1 PROFILE","","",""
"60203300000105","Nodes","105","21.000000","36.337081","DDS demands","Known Flow","360058.445653","768617.405864","","0.000000","","","","","-0.790000","","","","-0.706432","-0.790000","","","","","","","D1 PROFILE","","",""
"60203300000085","Nodes","85","21.000000","43.228831","DDS demands","Known Flow","360179.716164","768569.631344","","0.000000","-15.999999","","","","-4.480000","","","","-18.313583","-20.479999","","","C1 PROFILE","","","","D1 PROFILE","","",""
"60203300000089","Nodes","89","21.000000","28.672652","DDS demands","Known Flow","360005.667117","769059.985478","","0.000000","-4.489999","","","-4.439999","-10.529999","","","","-17.401479","-19.459999","","","C1 PROFILE","","","C4 PROFILE","D1 PROFILE","","",""
"60203300000088","Nodes","88","21.000000","28.450631","DDS demands","Known Flow","359943.926100","769036.826471","","0.000000","","","","","-8.449999","","","","-7.556141","-8.449999","","","","","","","D1 PROFILE","","",""
"60203300000027","Nodes","27","21.000000","36.122017","DDS demands","Known Flow","359827.774068","768407.086300","","0.000000","","","","","-10.790000","","","","-9.648611","-10.790000","","","","","","","D1 PROFILE","","",""
"60203300000039","Nodes","39","21.000000","39.730538","DDS demands","Known Flow","360372.646216","768679.757374","","0.000000","","","-1.620000","","","","","","-1.448633","-1.620000","","","","","C3 PROFILE","","","","",""
"60203300000041","Nodes","41","21.000000","33.486139","DDS demands","Known Flow","360106.658144","768933.466443","","0.000000","","","","","-4.380000","","","","-3.916674","-4.380000","","","","","","","D1 PROFILE","","",""
"60203300000124","Nodes","124","21.000000","39.782516","DDS demands","Known Flow","360339.848208","768659.432369","","0.000000","","","","","-2.039999","","","","-1.824204","-2.039999","","","","","","","D1 PROFILE","","",""
"60203300001000","Nodes","1000","21.000000","27.909459","Default Known Flow Node","Known Flow","359979.683986","769140.086874","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000090","Nodes","90","21.000000","27.849161","DDS demands","Known Flow","359926.825982","769122.698716","","0.000000","","","","","-2.059999","","","","-1.842088","-2.059999","","","","","","","D1 PROFILE","","",""
"60203300000082","Nodes","P00080949 / P00052156, Slateford Road, 71.26","22.999998","23.299574","CSEP DDS Matched","Known Flow","359880.743083","768976.421455","","0.000000","","","","","","-49.999998","","","-44.710895","-49.999998","","","","","","","","DC PROFILE","",""
"60203300001003","Nodes","P00092869, The Glebe, 10.25","22.999998","34.891983","CSEP DDS Matched","Known Flow","359960.509314","768711.750687","","0.000000","","","","","","-10.249999","","","-9.165733","-10.249999","","","","","","","","DC PROFILE","",""
"60203300001011","Nodes","1011","21.000000","35.404322","DDS demands","Known Flow","360062.555744","768883.509461","","0.000000","","","","","-0.869999","","","","-0.777969","-0.869999","","","","","","","D1 PROFILE","","",""
"60203300000003","Nodes","3","21.000000","35.384966","DDS demands","Known Flow","360062.148132","768884.751430","","0.000000","-1.720000","","","","-5.480000","","","","-6.438369","-7.200000","","","C1 PROFILE","","","","D1 PROFILE","","",""
"60203300000011","Nodes","11","21.000000","34.892722","DDS demands","Known Flow","359960.706104","768712.818383","","0.000000","","","","","-0.910000","","","","-0.813738","-0.910000","","","","","","","D1 PROFILE","","",""
"60203300000100","Nodes","100","21.000000","27.308957","DDS demands","Known Flow","359971.564107","769211.375519","","0.000000","","-15.999999","","","","","","","-14.307486","-15.999999","","","","C2 PROFILE","","","","","",""
"60203300000139","Nodes","139","21.000000","27.515234","Default Known Flow Node","Known Flow","359979.027381","769186.065885","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300001012","Nodes","1012","21.000000","33.801318","DDS demands","Known Flow","360314.163201","768814.511411","","0.000000","","-8.909999","","","","","-12.899999","","-19.502891","-21.810000","","","","C2 PROFILE","","","","","DH PROFILE",""
"60203300001013","Nodes","1013","21.000000","25.869881","DDS demands","Known Flow","359933.387667","768983.337444","","0.000000","","","","","-2.039999","","","","-1.824204","-2.039999","","","","","","","D1 PROFILE","","",""
"60203300000171","Nodes","171","21.000000","37.623968","DDS demands","Known Flow","360263.914187","768717.156384","","0.000000","","","","","-1.609999","","","","-1.439690","-1.609999","","","","","","","D1 PROFILE","","",""
"60203300000159","Nodes","159","21.000000","38.919797","DDS demands","Known Flow","360395.922223","768583.825348","","0.000000","","","","","-2.240000","","","","-2.003048","-2.240000","","","","","","","D1 PROFILE","","",""
"60203300000160","Nodes","160","21.000000","35.154943","Default Known Flow Node","Known Flow","359972.881108","768764.533397","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000161","Nodes","161","21.000000","35.154943","Default Known Flow Node","Known Flow","360006.115920","768776.082309","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000143","Nodes","143","21.000000","36.826234","DDS demands","Known Flow","360000.990115","768553.245340","","0.000000","","","","","-2.160000","","","","-1.931510","-2.160000","","","","","","","D1 PROFILE","","",""
"60203300000167","Nodes","167","21.000000","43.106053","Default Known Flow Node","Known Flow","360133.810151","768652.940367","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000168","Nodes","168","21.000000","43.097928","Default Known Flow Node","Known Flow","360134.987013","768653.301770","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000154","Nodes","154","21.000000","37.623968","Default Known Flow Node","Known Flow","360265.312187","768716.739384","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000224","Nodes","224","21.000000","26.339725","DDS demands","Known Flow","359914.223092","768978.585456","","0.000000","","","","","-2.039999","","","","-1.824204","-2.039999","","","","","","","D1 PROFILE","","",""
"60203300000187","Nodes","187","21.000000","35.437433","DDS demands","Known Flow","360059.604131","768879.870429","","0.000000","","","","","-6.309999","","","","-5.642515","-6.309999","","","","","","","D1 PROFILE","","",""
"60203300000188","Nodes","188","21.000000","42.233726","DDS demands","Known Flow","360091.439140","768786.563403","","0.000000","","","","","-0.460000","","","","-0.411340","-0.460000","","","","","","","D1 PROFILE","","",""
"60203300000231","Nodes","231","21.000000","42.233726","DDS demands","Known Flow","360092.545157","768783.203613","","0.000000","","","","","-8.279999","","","","-7.404124","-8.279999","","","","","","","D1 PROFILE","","",""
"60203300000190","Nodes","190","21.000000","39.788093","Default Known Flow Node","Known Flow","360339.031207","768655.207368","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000194","Nodes","194","21.000000","26.603728","DDS demands","Known Flow","359915.544092","768973.337454","","0.000000","","","","","-3.489999","","","","-3.120820","-3.489999","","","","","","","D1 PROFILE","","",""
"60203300000195","Nodes","Logger 1589, Manse Road","21.000000","34.910763","Low Point","Known Flow","359945.183100","768845.538419","","0.000000","","","","","-4.190000","","","","-3.746773","-4.190000","","","","","","","D1 PROFILE","","",""
"60203300000199","Nodes","199","21.000000","34.973209","Default Known Flow Node","Known Flow","359949.768101","768846.923420","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000198","Nodes","198","21.000000","36.347236","Default Known Flow Node","Known Flow","360058.773131","768616.383357","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000203","Nodes","203","21.000000","37.997250","DDS demands","Known Flow","360191.347167","768843.524419","","0.000000","","","","","-5.239999","","","","-4.685701","-5.239999","","","","","","","D1 PROFILE","","",""
"60203300000204","Nodes","204","21.000000","37.984675","DDS demands","Known Flow","360175.637163","768839.594418","","0.000000","","","","","-3.349999","","","","-2.995629","-3.349999","","","","","","","D1 PROFILE","","",""
"60203300000232","Nodes","232","21.000000","42.216437","DDS demands","Known Flow","360095.198647","768784.048419","","0.000000","","","","","-4.079999","","","","-3.648408","-4.079999","","","","","","","D1 PROFILE","","",""
"60203300000213","Nodes","213","21.000000","37.623972","Default Known Flow Node","Known Flow","360267.898188","768715.627384","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000236","Nodes","236","21.000000","28.061843","Default Known Flow Node","Known Flow","359983.916054","769128.632407","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000242","Nodes","242","21.000000","28.345456","DDS demands","Known Flow","360026.524122","769098.990488","","0.000000","","","","","-1.450000","","","","-1.296616","-1.450000","","","","","","","D1 PROFILE","","",""
"60203300000241","Nodes","241","21.000000","28.397482","DDS demands","Known Flow","359996.549114","769088.570486","","0.000000","","","","","-4.199999","","","","-3.755715","-4.199999","","","","","","","D1 PROFILE","","",""
"60203300000189","Nodes","189","21.000000","43.097928","Default Known Flow Node","Known Flow","360136.156152","768650.088366","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000150","Nodes","150","21.000000","42.192601","Default Known Flow Node","Known Flow","360128.953150","768680.667375","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000237","Nodes","237","21.000000","27.879747","DDS demands","Known Flow","360008.849117","769134.529498","","0.000000","","","-11.719999","","","","","","-10.480234","-11.719999","","","","","C3 PROFILE","","","","",""
"60203300000270","Nodes","270","21.000000","43.038537","Default Known Flow Node","Known Flow","360129.591483","768665.867670","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000274","Nodes","P11127297, High Street, 6.37","22.999998","43.497089","CSEP DDS Matched","Known Flow","360137.429678","768633.531994","","0.000000","","","","","","-6.370000","","","-5.696168","-6.370000","","","","","","","","DC PROFILE","",""
"60203300000012","Nodes","12","21.000000","34.624764","DDS demands","Known Flow","359869.478080","768739.341390","","0.000000","","","","","-7.669999","","","","-6.858651","-7.669999","","","","","","","D1 PROFILE","","",""
"60203300000019","Nodes","19","21.000000","39.801478","Default Known Flow Node","Known Flow","360340.398208","768653.727367","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000048","Nodes","48","21.000000","35.925131","DDS demands","Known Flow","360371.705216","768758.985396","","0.000000","","","","","-3.119999","","","","-2.789959","-3.119999","","","","","","","D1 PROFILE","","",""
"60203300000050","Nodes","50","21.000000","35.154943","DDS demands","Known Flow","360004.727116","768775.691400","","0.000000","","","","","-3.199999","","","","-2.861497","-3.199999","","","","","","","D1 PROFILE","","",""
"60203300000049","Nodes","49","21.000000","35.158621","DDS demands","Known Flow","360007.989117","768773.691400","","0.000000","","","","","-2.880000","","","","-2.575347","-2.880000","","","","","","","D1 PROFILE","","",""
"60203300000044","Nodes","44","21.000000","37.433155","Default Known Flow Node","Known Flow","360263.209187","768729.782388","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000046","Nodes","46","21.000000","37.212285","DDS demands","Known Flow","360263.620187","768749.122393","","0.000000","","","","","-2.069999","","","","-1.851031","-2.069999","","","","","","","D1 PROFILE","","",""
"60203300000052","Nodes","52","21.000000","34.740297","Default Known Flow Node","Known Flow","360356.608212","768806.478409","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000004","Nodes","4","21.000000","33.533019","Default Known Flow Node","Known Flow","360072.007135","768923.497441","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000054","Nodes","54","21.000000","31.695738","DDS demands","Known Flow","359991.738113","768944.002446","","0.000000","","","","","-6.510000","","","","-5.821358","-6.510000","","","","","","","D1 PROFILE","","",""
"60203300000055","Nodes","55","21.000000","31.756145","DDS demands","Known Flow","360037.955929","768959.505691","","0.000000","","","","","-8.839999","","","","-7.904886","-8.839999","","","","","","","D1 PROFILE","","",""
"60203300000045","Nodes","45","21.000000","35.146708","Default Known Flow Node","Known Flow","360015.686119","768742.588391","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000007","Nodes","7","21.000000","35.146708","Default Known Flow Node","Known Flow","360017.090120","768743.333392","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000010","Nodes","10","21.000000","37.083437","Default Known Flow Node","Known Flow","360066.928133","768611.409356","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000020","Nodes","20","21.000000","35.925131","Default Known Flow Node","Known Flow","360372.964453","768759.344445","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000018","Nodes","18","21.000000","43.081165","Default Known Flow Node","Known Flow","360123.697149","768669.916372","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000016","Nodes","16","21.000000","41.128717","DDS demands","Known Flow","360270.020812","768598.193007","","0.000000","","","","","-7.699999","","","","-6.885477","-7.699999","","","","","","","D1 PROFILE","","",""
"60203300000009","Nodes","9","21.000000","41.128717","Default Known Flow Node","Known Flow","360231.034178","768640.657364","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000047","Nodes","47","21.000000","35.796940","DDS demands","Known Flow","360391.106221","768755.639395","","0.000000","","","","","-4.389999","","","","-3.925616","-4.389999","","","","","","","D1 PROFILE","","",""
"60203300000057","Nodes","57","21.000000","26.079916","DDS demands","Known Flow","359893.219094","769064.661183","","0.000000","","","","","-1.019999","","","","-0.912102","-1.019999","","","","","","","D1 PROFILE","","",""
"60203300000017","Nodes","17","21.000000","37.395437","DDS demands","Known Flow","360056.688130","768609.137355","","0.000000","","","","","-2.209999","","","","-1.976221","-2.209999","","","","","","","D1 PROFILE","","",""
"60203300000043","Nodes","43","21.000000","41.510104","DDS demands","Known Flow","360143.154154","768693.366378","","0.000000","","","","","-4.480000","","","","-4.006096","-4.480000","","","","","","","D1 PROFILE","","",""
"60203300000042","Nodes","42","21.000000","41.510104","Default Known Flow Node","Known Flow","360144.949154","768685.983376","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000015","Nodes","15","21.000000","43.231326","DDS demands","Known Flow","360176.992163","768566.691343","","0.000000","-3.819999","","","","","","","","-3.415912","-3.819999","","","C1 PROFILE","","","","","","",""
"60203300000051","Nodes","51","21.000000","38.062762","DDS demands","Known Flow","360209.109375","768786.987768","","0.000000","","","","","-8.279999","","","","-7.404124","-8.279999","","","","","","","D1 PROFILE","","",""
"60203300000006","Nodes","6","21.000000","38.061364","DDS demands","Known Flow","360194.779168","768783.447402","","0.000000","","","","","-1.169999","","","","-1.046234","-1.169999","","","","","","","D1 PROFILE","","",""
"60203300000001","Nodes","1","21.000000","37.395437","Default Known Flow Node","Known Flow","360056.065130","768611.629356","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000058","Nodes","58","21.000000","26.018102","DDS demands","Known Flow","359822.615223","769047.276011","","0.000000","","","","","-3.199999","","","","-2.861497","-3.199999","","","","","","","D1 PROFILE","","",""
"60203300000014","Nodes","14","21.000000","35.758939","DDS demands","Known Flow","360422.847230","768772.874400","","0.000000","","","","","-4.480000","","","","-4.006096","-4.480000","","","","","","","D1 PROFILE","","",""
"60203300000013","Nodes","13","21.000000","38.883518","DDS demands","Known Flow","360425.686231","768552.682340","","0.000000","","","","","-3.489999","","","","-3.120820","-3.489999","","","","","","","D1 PROFILE","","",""
"60203300000022","Nodes","22","21.000000","39.730538","Default Known Flow Node","Known Flow","360373.912217","768678.397374","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000008","Nodes","8","21.000000","35.147739","DDS demands","Known Flow","360444.255236","768739.872391","","0.000000","","","","","-2.589999","","","","-2.316024","-2.589999","","","","","","","D1 PROFILE","","",""
"60203300000033","Nodes","33","21.000000","25.740897","DDS demands","Known Flow","359939.559099","768984.701457","","0.000000","","-22.000000","","","","","","","-19.672795","-22.000000","","","","C2 PROFILE","","","","","",""
"60203300000388","Nodes","388","21.000000","35.158630","Default Known Flow Node","Known Flow","360007.190524","768776.384779","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300000432","Nodes","432","21.000000","43.562555","Default Known Flow Node","Known Flow","360140.418287","768630.666576","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203300001002","Nodes","1002","0.000000","42.212146","DDS demands","Known Flow","360099.109701","768772.131666","","0.000000","","","","","-3.250000","","","","-2.906208","-3.250000","","","","","","","D1 PROFILE","","",""
"60203300000005","Nodes","5","21.000000","43.537647","Default Known Flow Node","Known Flow","360139.794153","768632.415361","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"6020330000027","Nodes","27","0.000000","43.501811","Default Known Flow Node","Known Flow","360139.308085","768634.082566","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
