"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(TT)"
"60606100000078","Nodes","78, ""81689-01 335280"", ""SOYBANK GARDENS CSEP"", 9.70","22.999998","56.573424","CSEP DDS Matched","Known Flow","358517.000000","865582.500000","","0.000000","","","","","","-4.800000","","","","-4.292246","-4.800000","","","","","","","","","DC PROFILE","","","",""
"60606100001000","Nodes","1000","21.000000","56.731631","Default Known Flow Node","Known Flow","358545.500000","865608.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606061-10","Nodes","-10","21.000000","57.189995","Default Known Flow Node","Known Flow","358583.250000","865586.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606061-1462478","Nodes","-1462478","21.000000","56.395392","Default Known Flow Node","Known Flow","358484.875000","865554.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000012","Nodes","12","21.000000","57.977607","DDS demands","Known Flow","358826.875000","865898.875000","","0.000000","","","","","-2.091000","","","","","-1.869809","-2.091000","","","","","","","","D1 PROFILE","","","","",""
"606061-1462496","Nodes","-1462496","21.000000","57.977607","Default Known Flow Node","Known Flow","358836.250000","865886.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"606061-1462492","Nodes","-1462492","21.000000","57.189995","Default Known Flow Node","Known Flow","358581.250000","865588.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000001","Nodes","PORTSOY DG","21.000000","65.999998","Default Known Pressure Node","Known Pressure","358822.625000","865125.875000","","999998.967025","","","","","","","","","","724.526093","810.234453","","","","","","","","","","","","",""
"60606100000092","Nodes","92, ""326175 PGT"", ""SOYBURN CSEP"", 17.17","24.000000","56.680434","CSEP DDS Matched","Known Flow","358546.750000","865611.625000","","0.000000","","","","","","-17.169999","","","","-15.353721","-17.169999","","","","","","","","","DC PROFILE","","","",""
"60606100000094","Nodes","94","21.000000","53.296227","Default Known Flow Node","Known Flow","358435.250000","866125.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60606100000214","Nodes","Various properties at Park Crescent & Park Drive(REF:5698)","21.000000","54.458930","Point Loads","Known Flow","358571.965071","866078.010557","","0.000000","","","","","","","","","-11.350000","-10.149373","-11.350000","","","","","","","","","","","","PL-AF PROFILE",""
"60606100000243","Nodes","Plots 1 & 2 Barbank Street(REF:7080)","21.000000","51.865286","Point Loads","Known Flow","358780.542630","866193.841458","","0.000000","","","","","","","","","-5.449999","-4.873487","-5.449999","","","","","","","","","","","","PL-AF PROFILE",""
"60606100000636","Nodes","Westerwards, 5 Properties","21.000000","51.467814","Point Loads","Known Flow","358351.315982","865945.099029","","0.000000","","","","","","","","","-10.060000","-8.995832","-10.060000","","","","","","","","","","","","PL-AF PROFILE",""
"60606100000637","Nodes","Westerwards, 14 Properties","21.000000","51.336813","Point Loads","Known Flow","358283.844138","865911.378878","","0.000000","","","","","","","","","-21.229999","-18.984246","-21.229999","","","","","","","","","","","","PL-AF PROFILE",""
