"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)"
"60207600000106","Nodes","106","21.000000","21.263119","DDS demands","Known Flow","302762.859287","688722.122177","","0.000000","","","","-17.700000","","","","","-15.827657","-17.700000","","","","","","D1 PROFILE","","","",""
"60207600000107","Nodes","107","21.000000","21.351282","DDS demands","Known Flow","302691.804332","688738.965715","","0.000000","","","","-10.300000","","","","","-9.210445","-10.300000","","","","","","D1 PROFILE","","","",""
"60207600003028","Nodes","3028","21.000000","21.148211","DDS demands","Known Flow","302660.073183","688746.144149","","0.000000","","","","-7.840000","","","","","-7.010668","-7.840000","","","","","","D1 PROFILE","","","",""
"60207600000097","Nodes","97","21.000000","23.917901","DDS demands","Known Flow","302881.258061","688952.631413","","0.000000","","","","-5.039999","","","","","-4.506857","-5.039999","","","","","","D1 PROFILE","","","",""
"60207600003094","Nodes","3094","21.000000","28.035870","Default Known Flow Node","Known Flow","302507.131996","688983.137819","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000056","Nodes","56","21.000000","23.038290","Default Known Flow Node","Known Flow","303019.729610","688841.423650","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000069","Nodes","69","21.000000","22.700056","DDS demands","Known Flow","302979.183190","688778.916829","","0.000000","","","","-8.600000","","","","","-7.690274","-8.600000","","","","","","D1 PROFILE","","","",""
"60207600000110","Nodes","110","21.000000","22.620580","DDS demands","Known Flow","303014.408768","688700.386666","","0.000000","","","","-19.099999","","","","","-17.079562","-19.099999","","","","","","D1 PROFILE","","","",""
"60207600000058","Nodes","58","21.000000","23.105936","DDS demands","Known Flow","303028.964057","688842.248542","","0.000000","","","","-4.289999","","","","","-3.836194","-4.289999","","","","","","D1 PROFILE","","","",""
"60207600000060","Nodes","60","21.000000","22.970892","DDS demands","Known Flow","303036.631033","688797.835215","","0.000000","","","","-5.039999","","","","","-4.506857","-5.039999","","","","","","D1 PROFILE","","","",""
"60207600000068","Nodes","68","21.000000","22.698414","DDS demands","Known Flow","303004.993136","688781.006977","","0.000000","","","","-4.600000","","","","","-4.113402","-4.600000","","","","","","D1 PROFILE","","","",""
"60207600000057","Nodes","57","21.000000","23.138780","DDS demands","Known Flow","303083.564070","688918.760855","","0.000000","","","","-5.209999","","","","","-4.658875","-5.209999","","","","","","D1 PROFILE","","","",""
"60207600003023","Nodes","3023","21.000000","26.305796","Default Known Flow Node","Known Flow","301951.969567","689267.090271","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003025","Nodes","3025","21.000000","28.033976","Default Known Flow Node","Known Flow","301755.090266","689286.003771","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003017","Nodes","3017","21.000000","26.661114","DDS demands","Known Flow","301817.881066","689235.867270","","0.000000","","","","-0.799999","","","","","-0.715374","-0.799999","","","","","","D1 PROFILE","","","",""
"60207600003021","Nodes","3021","21.000000","26.559138","Default Known Flow Node","Known Flow","301821.908684","689261.482775","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003040","Nodes","3040","21.000000","28.522925","DDS demands","Known Flow","301842.308290","689388.889799","","0.000000","","","","-8.189999","","","","","-7.323644","-8.189999","","","","","","D1 PROFILE","","","",""
"60207600003080","Nodes","3080","21.000000","29.132668","DDS demands","Known Flow","301769.977270","689396.949801","","0.000000","","","","-5.530000","","","","","-4.945025","-5.530000","","","","","","D1 PROFILE","","","",""
"60207600003020","Nodes","3020","21.000000","26.393125","Default Known Flow Node","Known Flow","301949.495319","689248.354760","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000018","Nodes","Logger 9344,  64 Porterfield, Comrie","21.000000","26.499066","Val Log Post","Known Flow","301943.503317","689206.781749","","0.000000","","","","-12.300000","","","","","-10.998880","-12.300000","","","","","","D1 PROFILE","","","",""
