"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"60203800000066","Nodes","66","21.000000","28.395939","DDS demands","Known Flow","361302.959229","707759.685268","","0.000000","","","","","-4.849999","","","","-4.336956","-4.849999","","","","","","","D1 PROFILE","","",""
"60203800000166","Nodes","166","21.000000","28.466967","DDS demands","Known Flow","361293.502467","707764.234799","","0.000000","-5.059999","","","","-7.710000","","","","-11.419162","-12.770000","","","C1 PROFILE","","","","D1 PROFILE","","",""
"60203800000119","Nodes","119","21.000000","28.753235","Default Known Flow Node","Known Flow","361281.656464","707750.686795","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009837","Nodes","-1462481","21.000000","28.399082","Default Known Flow Node","Known Flow","361301.610053","707761.159215","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000172","Nodes","172","21.000000","28.831669","Default Known Flow Node","Known Flow","361279.145463","707747.314794","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000167","Nodes","167","21.000000","28.752290","DDS demands","Known Flow","361281.293464","707753.301796","","0.000000","","","","","-7.960000","","","","-7.117974","-7.960000","","","","","","","D1 PROFILE","","",""
"60203800000109","Nodes","109","21.000000","30.351416","DDS demands","Known Flow","361363.411486","707633.174763","","0.000000","","","","","-16.389999","","","","-14.656231","-16.389999","","","","","","","D1 PROFILE","","",""
"60203800000130","Nodes","130","21.000000","28.174238","DDS demands","Known Flow","361411.688499","707673.904774","","0.000000","","","-4.099999","","-7.570000","","","","-10.435523","-11.669999","","","","","C3 PROFILE","","D1 PROFILE","","",""
"60203800009910","Nodes","-43","21.000000","29.837369","DDS demands","Known Flow","361363.333486","707594.052752","","0.000000","-4.880000","","-5.059999","","","","","","-8.888526","-9.939999","","","C1 PROFILE","","C3 PROFILE","","","","",""
"60203800000113","Nodes","113","21.000000","29.923568","DDS demands","Known Flow","361253.262456","707700.554781","","0.000000","","","","","-13.959999","","","","-12.483281","-13.959999","","","","","","","D1 PROFILE","","",""
"60203800000157","Nodes","157","21.000000","31.322725","DDS demands","Known Flow","361209.173444","707654.096769","","0.000000","","","","","-13.159999","","","","-11.767906","-13.159999","","","","","","","D1 PROFILE","","",""
"60203800000127","Nodes","127","21.000000","29.876096","DDS demands","Known Flow","361267.173460","707661.074771","","0.000000","","","","","-2.059999","","","","-1.842088","-2.059999","","","","","","","D1 PROFILE","","",""
"60203800000131","Nodes","131","21.000000","29.832750","Default Known Flow Node","Known Flow","361267.573460","707578.565748","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000132","Nodes","132","21.000000","29.735124","DDS demands","Known Flow","361302.464469","707596.938753","","0.000000","","","","","-1.440000","","","","-1.287673","-1.440000","","","","","","","D1 PROFILE","","",""
"60203800000121","Nodes","121","21.000000","28.381974","DDS demands","Known Flow","361185.680438","707808.126811","","0.000000","","","","","-11.109999","","","","-9.934760","-11.109999","","","","","","","D1 PROFILE","","",""
"60203800000038","Nodes","38","21.000000","35.923725","DDS demands","Known Flow","361165.415432","707537.462737","","0.000000","","","-3.170000","","-15.460000","","","","-16.659279","-18.630000","","","","","C3 PROFILE","","D1 PROFILE","","",""
"60203800000112","Nodes","112","21.000000","35.643373","DDS demands","Known Flow","361207.395444","707605.299755","","0.000000","-5.940000","","","","-11.470000","","","-1.290000","-16.721875","-18.700000","","","C1 PROFILE","","","","D1 PROFILE","","","I2 PROFILE"
"60203800000207","Nodes","207","21.000000","35.452901","DDS demands","Known Flow","361233.928451","707647.062767","","0.000000","","","","-4.449999","-3.930000","","","","-7.493545","-8.379999","","","","","","C4 PROFILE","D1 PROFILE","","",""
"60203800000154","Nodes","154","21.000000","36.978334","DDS demands","Known Flow","361151.802428","707516.659731","","0.000000","","","","","-3.119999","","","","-2.789959","-3.119999","","","","","","","D1 PROFILE","","",""
"60203800009908","Nodes","-36","21.000000","29.674555","Default Known Flow Node","Known Flow","361371.821488","707535.286736","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000110","Nodes","110","21.000000","34.678999","DDS demands","Known Flow","361231.034450","707502.681727","","0.000000","","","","","-9.390000","","","","-8.396706","-9.390000","","","","","","","D1 PROFILE","","",""
"60203800009909","Nodes","-40","21.000000","32.591708","DDS demands","Known Flow","361265.923460","707551.324741","","0.000000","","","","","-25.729999","","","","-23.008225","-25.729999","","","","","","","D1 PROFILE","","",""
"60203800009907","Nodes","-34","21.000000","36.978334","Default Known Flow Node","Known Flow","361145.035427","707515.055731","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000204","Nodes","204","21.000000","38.882425","Default Known Flow Node","Known Flow","361054.824793","707908.191168","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009925","Nodes","-79","21.000000","39.242450","Default Known Flow Node","Known Flow","361001.098387","707777.722802","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000136","Nodes","136","21.000000","39.422635","DDS demands","Known Flow","361031.448396","707721.977787","","0.000000","","","","","-10.759999","","","","-9.621784","-10.759999","","","","","","","D1 PROFILE","","",""
"60203800009913","Nodes","-54","21.000000","36.660592","Default Known Flow Node","Known Flow","361078.263408","707690.579779","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009839","Nodes","-1462488","21.000000","39.199702","Default Known Flow Node","Known Flow","361005.329389","707756.474797","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000206","Nodes","206","21.000000","39.430608","Default Known Flow Node","Known Flow","361002.997388","707792.229806","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009928","Nodes","-90","21.000000","38.798741","Default Known Flow Node","Known Flow","361090.652785","707885.028730","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009849","Nodes","-1462517","21.000000","37.576518","Default Known Flow Node","Known Flow","361060.849404","707540.513738","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009833","Nodes","-1462474","21.000000","37.576518","Default Known Flow Node","Known Flow","361029.287395","707553.955741","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000061","Nodes","61","21.000000","38.496110","DDS demands","Known Flow","361079.252409","707964.571853","","0.000000","","","","","-15.899999","","","","-14.218064","-15.899999","","","","","","","D1 PROFILE","","",""
"60203800009931","Nodes","-94","21.000000","38.189584","DDS demands","Known Flow","361104.086415","707907.209838","","0.000000","-3.680000","","","","","","","","-3.290721","-3.680000","","","C1 PROFILE","","","","","","",""
"60203800000201","Nodes","201","21.000000","38.200470","Default Known Flow Node","Known Flow","361136.538424","707985.818859","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000202","Nodes","202","21.000000","38.186288","DDS demands","Known Flow","361126.367422","707954.355850","","0.000000","","","","","-2.059999","","","","-1.842088","-2.059999","","","","","","","D1 PROFILE","","",""
"60203800000153","Nodes","153","21.000000","37.106759","Default Known Flow Node","Known Flow","361126.261422","707539.207737","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009832","Nodes","-1462471","21.000000","36.978334","Default Known Flow Node","Known Flow","361146.414427","707515.161731","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000122","Nodes","122","21.000000","27.326940","DDS demands","Known Flow","361160.937431","707738.577792","","0.000000","","","","","-3.910000","","","","-3.496392","-3.910000","","","","","","","D1 PROFILE","","",""
"60203800000211","Nodes","211","21.000000","28.411545","Default Known Flow Node","Known Flow","361251.596456","707894.846834","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009912","Nodes","-47","21.000000","30.794812","DDS demands","Known Flow","361332.177478","707611.175757","","0.000000","","","","","-5.209999","","","-3.800000","-8.056903","-9.009999","","","","","","","D1 PROFILE","","","I2 PROFILE"
"60203800009916","Nodes","-61","21.000000","28.996016","DDS demands","Known Flow","361274.289462","707742.206793","","0.000000","","","-6.820000","","-4.360000","","","","-9.997356","-11.180000","","","","","C3 PROFILE","","D1 PROFILE","","",""
"60203800000149","Nodes","149","21.000000","28.869652","DDS demands","Known Flow","361326.709476","707703.565782","","0.000000","","","","","-2.929999","","","","-2.620058","-2.929999","","","","","","","D1 PROFILE","","",""
"60203800009932","Nodes","-96","21.000000","26.026163","Default Known Flow Node","Known Flow","361463.254513","707910.570838","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009847","Nodes","-1462510","21.000000","25.808110","Default Known Flow Node","Known Flow","361476.023517","707884.556831","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009840","Nodes","-1462491","21.000000","26.026163","Default Known Flow Node","Known Flow","361454.421511","707900.426836","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000208","Nodes","208","21.000000","27.010703","Default Known Flow Node","Known Flow","361535.695053","707853.107379","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000107","Nodes","107","21.000000","27.141199","DDS demands","Known Flow","361508.130525","707809.595811","","0.000000","","","","","-19.160000","","","","-17.133215","-19.160000","","","","","","","D1 PROFILE","","",""
"60203800000164","Nodes","164","21.000000","23.134584","DDS demands","Known Flow","361927.448040","707979.089533","","0.000000","","","","","-10.670000","","","","-9.541305","-10.670000","","","","","","","D1 PROFILE","","",""
"60203800000165","Nodes","165","21.000000","23.103963","DDS demands","Known Flow","361981.543654","707998.024862","","0.000000","","","","","-2.710000","","","","-2.423330","-2.710000","","","","","","","D1 PROFILE","","",""
"60203800000146","Nodes","146","21.000000","23.995916","DDS demands","Known Flow","361648.259564","707900.531836","","0.000000","","","","","-12.270000","","","","-10.972053","-12.270000","","","","","","","D1 PROFILE","","",""
"60203800009845","Nodes","-1462506","21.000000","23.995916","Default Known Flow Node","Known Flow","361646.251563","707901.281836","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009823","Nodes","-108","21.000000","23.250466","Default Known Flow Node","Known Flow","361919.405637","707976.844856","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000069","Nodes","69","21.000000","37.276834","DDS demands","Known Flow","361191.568439","708076.652884","","0.000000","","","","","-8.409999","","","","-7.520372","-8.409999","","","","","","","D1 PROFILE","","",""
"60203800000068","Nodes","68","21.000000","37.645186","DDS demands","Known Flow","361144.459426","708116.255894","","0.000000","","","","","-11.029999","","","","-9.863223","-11.029999","","","","","","","D1 PROFILE","","",""
"60203800009828","Nodes","-121","21.000000","37.891700","Default Known Flow Node","Known Flow","361067.403405","708118.533895","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000064","Nodes","64","21.000000","37.965126","DDS demands","Known Flow","361050.334401","708086.386886","","0.000000","","","","","-17.200001","","","","-15.380549","-17.200001","","","","","","","D1 PROFILE","","",""
"60203800000062","Nodes","62","21.000000","37.962902","DDS demands","Known Flow","361182.439437","708013.645866","","0.000000","","","","","-12.520000","","","","-11.195608","-12.520000","","","","","","","D1 PROFILE","","",""
"60203800000063","Nodes","63","21.000000","37.941931","DDS demands","Known Flow","361209.839444","708045.370875","","0.000000","","","","","-8.539999","","","","-7.636620","-8.539999","","","","","","","D1 PROFILE","","",""
"60203800000163","Nodes","","21.000000","23.081315","DDS demands","Known Flow","361939.884643","708031.442871","","0.000000","","","","","-5.989999","","","","-5.356365","-5.989999","","","","","","","D1 PROFILE","","",""
"60203800000162","Nodes","162","21.000000","23.381757","DDS demands","Known Flow","361870.525070","708063.206743","","0.000000","","","","","-6.820000","","","","-6.098566","-6.820000","","","","","","","D1 PROFILE","","",""
"60203800000106","Nodes","106","21.000000","25.129840","DDS demands","Known Flow","361522.988529","708037.046873","","0.000000","","","","","-3.680000","","","","-3.290721","-3.680000","","","","","","","D1 PROFILE","","",""
"60203800009824","Nodes","-113","21.000000","23.948142","Default Known Flow Node","Known Flow","361630.010559","708034.969872","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000147","Nodes","147","21.000000","23.244667","DDS demands","Known Flow","361744.569590","708022.244869","","0.000000","","","","","-9.249999","","","","-8.271515","-9.249999","","","","","","","D1 PROFILE","","",""
