"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"60211200000002","Nodes","","25.000000","49.536440","DDS demands","Known Flow","329302.453762","741240.952908","","0.000000","","","","-6.500000","","-5.812416","-6.500000","","","","","","D1 PROFILE",""
"60211210000017","Nodes","-17","21.000000","49.937204","Default Known Flow Node","Known Flow","329482.994156","741286.761012","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211200000001","Nodes","Newtyle Village DG, Tel, Constant, Site ID 1650","21.000000","49.999998","Default Known Pressure Node","Known Pressure","329482.631811","741288.213921","","377.999994","","","","","","285.568479","319.349990","","","","","","",""
"60211200000020","Nodes","20","21.000000","49.517520","DDS demands","Known Flow","329485.771812","741295.345923","","0.000000","","-24.209998","","-1.039999","","-22.579000","-25.249998","","","","C2 PROFILE","","D1 PROFILE",""
"60211200000003","Nodes","3","21.000000","48.894805","DDS demands","Known Flow","329503.389369","741282.854319","","0.000000","","","","-4.570000","","-4.086576","-4.570000","","","","","","D1 PROFILE",""
"60211200000004","Nodes","4","21.000000","49.045520","DDS demands","Known Flow","329542.619827","741171.918889","","0.000000","","","","-1.510000","","-1.350269","-1.510000","","","","","","D1 PROFILE",""
"60211201462478","Nodes","-1462478","21.000000","41.605549","Default Known Flow Node","Known Flow","329693.604868","741425.322958","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211200000035","Nodes","-35","21.000000","41.605549","Default Known Flow Node","Known Flow","329710.868277","741438.675318","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211210000020","Nodes","-20","21.000000","45.255310","Default Known Flow Node","Known Flow","329588.331911","741310.434892","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211200000005","Nodes","5","21.000000","45.290143","DDS demands","Known Flow","329590.728840","741313.764928","","0.000000","-4.689999","","","-16.190000","","-18.671270","-20.880000","","","C1 PROFILE","","","D1 PROFILE",""
"60211200000011","Nodes","11","21.000000","42.753828","DDS demands","Known Flow","329650.095856","741250.022910","","0.000000","","","","-14.510000","","-12.975102","-14.510000","","","","","","D1 PROFILE",""
"60211200000010","Nodes","10","21.000000","41.690310","DDS demands","Known Flow","329773.261890","741341.691935","","0.000000","-6.000000","","","-3.619999","","-8.602376","-9.620000","","","C1 PROFILE","","","D1 PROFILE",""
"60211210000008","Nodes","-8","21.000000","42.391090","Default Known Flow Node","Known Flow","329662.455215","741238.070582","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211200000012","Nodes","12","21.000000","41.468334","DDS demands","Known Flow","329702.061285","741205.019362","","0.000000","","-31.830000","","-14.129999","","-41.098255","-45.960000","","","","C2 PROFILE","","D1 PROFILE",""
"60211210000003","Nodes","-3","21.000000","41.468182","Default Known Flow Node","Known Flow","329703.484871","741203.163898","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211200000013","Nodes","13","21.000000","39.622554","DDS demands","Known Flow","329814.143901","741286.566920","","0.000000","","","","-22.620000","","-20.227208","-22.620000","","","","","","D1 PROFILE",""
"60211210000007","Nodes","-7","21.000000","39.234748","Default Known Flow Node","Known Flow","329852.966466","741234.196043","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211210000015","Nodes","-15","21.000000","39.677537","Default Known Flow Node","Known Flow","329810.892900","741286.313920","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211200000025","Nodes","-25","21.000000","41.669618","Default Known Flow Node","Known Flow","329777.223891","741345.066936","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211201462471","Nodes","-1462471","21.000000","41.690310","Default Known Flow Node","Known Flow","329756.736885","741365.071942","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211200000018","Nodes","18","21.000000","38.782467","DDS demands","Known Flow","329899.206924","741114.940874","","0.000000","","","","-31.389998","","-28.069498","-31.389998","","","","","","D1 PROFILE",""
"60211201462482","Nodes","-1462482","21.000000","38.782467","Default Known Flow Node","Known Flow","329827.117905","741093.814868","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211201462484","Nodes","-1462484","21.000000","38.739201","Default Known Flow Node","Known Flow","329937.822935","741115.317874","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211201462490","Nodes","-1462490","21.000000","38.869015","Default Known Flow Node","Known Flow","329897.502924","741068.435861","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211200000016","Nodes","16","21.000000","39.212273","DDS demands","Known Flow","329855.088912","741231.332905","","0.000000","","","","-23.799999","","-21.282385","-23.799999","","","","","","D1 PROFILE",""
"60211200000017","Nodes","17","21.000000","34.899183","DDS demands","Known Flow","329765.822888","741162.950887","","0.000000","","","","-6.000000","","-5.365307","-6.000000","","","","","","D1 PROFILE",""
"60211200000014","Nodes","14","21.000000","38.727805","DDS demands","Known Flow","329932.345933","741373.366944","","0.000000","","","","-17.870000","","-15.979674","-17.870000","","","","","","D1 PROFILE",""
"60211200000069","Nodes","69","21.000000","38.603995","Default Known Flow Node","Known Flow","329976.723945","741326.320931","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60211200000009","Nodes","9","21.000000","39.237748","DDS demands","Known Flow","329884.855920","741424.940958","","0.000000","","","","-9.699999","","-8.673912","-9.699999","","","","","","D1 PROFILE",""
"60211200000006","Nodes","6","21.000000","39.177789","DDS demands","Known Flow","329829.685905","741477.984972","","0.000000","-0.569999","","","-16.010000","","-14.826132","-16.580000","","","C1 PROFILE","","","D1 PROFILE",""
"60211200000007","Nodes","7","21.000000","39.136891","DDS demands","Known Flow","329872.284278","741497.010869","","0.000000","","","","-1.279999","","-1.144598","-1.279999","","","","","","D1 PROFILE",""
"60211200000015","Nodes","15","21.000000","39.176778","DDS demands","Known Flow","329972.614944","741393.216949","","0.000000","","","","-2.150000","","-1.922568","-2.150000","","","","","","D1 PROFILE",""
"60211200000031","Nodes","-31","21.000000","41.691485","Default Known Flow Node","Known Flow","329732.352879","741410.795954","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
