"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"60604000002001","Nodes","BURNSIDE ROAD RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","326932.000000","861320.250000","","999998.967025","","","","","","","3.051965","3.413000","","","","","","","",""
"60604000000016","Nodes","16","21.000000","49.999612","DDS demands","Known Flow","326931.781250","861320.687500","","0.000000","","","","-1.399000","","","-1.251010","-1.399000","","","","","","D1 PROFILE","",""
"60604000000017","Nodes","17","21.000000","49.938991","DDS demands","Known Flow","326931.375000","861385.375000","","0.000000","","","","-2.013999","","","-1.800954","-2.013999","","","","","","D1 PROFILE","",""
"606040-175723","Nodes","-175723","21.000000","49.938991","Default Known Flow Node","Known Flow","326937.125000","861407.000000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60604000000214","Nodes","214","21.000000","25.150572","DDS demands","Known Flow","327298.375000","861319.625000","","0.000000","","","","-7.309000","","","-6.535838","-7.309000","","","","","","D1 PROFILE","",""
"60604000000213","Nodes","213","21.000000","25.627090","DDS demands","Known Flow","327385.500000","861340.375000","","0.000000","","","","-11.185999","","","-10.002721","-11.185999","","","","","","D1 PROFILE","",""
"60604000000207","Nodes","207","21.000000","34.287588","DDS demands","Known Flow","327326.625000","861234.875000","","0.000000","","","-5.119999","-8.718999","","","-12.375081","-13.839000","","","","","C3 PROFILE","D1 PROFILE","",""
"60604000000206","Nodes","206","21.000000","34.029064","Default Known Flow Node","Known Flow","327287.500000","861205.000000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60604000000103","Nodes","103","21.000000","32.352785","DDS demands","Known Flow","327236.125000","861271.875000","","0.000000","","","","-8.286000","","","-7.409489","-8.286000","","","","","","D1 PROFILE","",""
"606040-28","Nodes","-28","21.000000","32.352785","Default Known Flow Node","Known Flow","327228.625000","861232.375000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"606040-31","Nodes","-31","21.000000","32.427826","Default Known Flow Node","Known Flow","327240.500000","861271.375000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"606040-37","Nodes","-37","21.000000","32.600624","Default Known Flow Node","Known Flow","327245.125000","861294.125000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60604000000216","Nodes","216","21.000000","25.770263","DDS demands","Known Flow","327475.625000","861436.125000","","0.000000","","","","-8.788999","","","-7.859281","-8.788999","","","","","","D1 PROFILE","",""
"60604000000217","Nodes","217, ""64634-01"", ""WOODLANDS DRIVE CSEP"", 88.20","25.000000","25.112357","CSEP DDS Matched","Known Flow","327414.625000","861466.750000","","0.000000","","","","-6.796000","-88.199993","","-84.947116","-94.995991","","","","","","D1 PROFILE","DC PROFILE",""
"60604000000211","Nodes","211","21.000000","26.109158","DDS demands","Known Flow","327483.375000","861422.625000","","0.000000","","","","-4.369999","","","-3.907732","-4.369999","","","","","","D1 PROFILE","",""
"60604000000212","Nodes","212","21.000000","25.821244","DDS demands","Known Flow","327414.750000","861403.750000","","0.000000","","","","-7.298999","","","-6.526896","-7.298999","","","","","","D1 PROFILE","",""
"60604000000215","Nodes","215","21.000000","25.524554","DDS demands","Known Flow","327383.625000","861425.625000","","0.000000","","","","-3.272000","","","-2.925881","-3.272000","","","","","","D1 PROFILE","",""
"606040-30","Nodes","-30","21.000000","34.292995","Default Known Flow Node","Known Flow","327330.125000","861237.625000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
