"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60603600000011","Nodes","11","21.000000","45.527164","DDS demands","Known Flow","399824.125000","825524.250000","","0.000000","","","","","-33.589999","","","","","-30.036779","-33.589999","","","","","","","D1 PROFILE","","","",""
"60603600000012","Nodes","12","21.000000","44.878571","DDS demands","Known Flow","399809.250000","825735.750000","","0.000000","","","","","-17.780000","","","","","-15.899194","-17.780000","","","","","","","D1 PROFILE","","","",""
"60603600000059","Nodes","59","21.000000","30.429903","Default Known Flow Node","Known Flow","399965.750000","825529.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000097","Nodes","-1462491","21.000000","30.429903","Default Known Flow Node","Known Flow","399964.750000","825527.500000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000019","Nodes","19","21.000000","35.831226","DDS demands","Known Flow","399994.125000","825609.500000","","0.000000","","","","","-23.289999","","","","","-20.826334","-23.289999","","","","","","","D1 PROFILE","","","",""
"60603600000017","Nodes","P11127040, KNOCKHALL ROAD CSEP, 12.92 SCMH","22.999998","38.219308","CSEP Unmatched","Known Flow","399854.010686","825369.252110","","0.000000","","","","","","-12.919999","","","","-11.553295","-12.919999","","","","","","","","DC PROFILE","","",""
"60603600000016","Nodes","16","21.000000","43.856839","DDS demands","Known Flow","399969.375000","825618.000000","","0.000000","","","","","-7.880000","","","","","-7.046437","-7.880000","","","","","","","D1 PROFILE","","","",""
"60603600000018","Nodes","18","21.000000","42.752648","DDS demands","Known Flow","399995.625000","825682.750000","","0.000000","","","","","-10.379999","","","","","-9.281981","-10.379999","","","","","","","D1 PROFILE","","","",""
"60603600000015","Nodes","15","21.000000","44.108400","DDS demands","Known Flow","399936.625000","825636.000000","","0.000000","","","","","-22.120000","","","","","-19.780100","-22.120000","","","","","","","D1 PROFILE","","","",""
"60603600000040","Nodes","40","21.000000","30.756120","DDS demands","Known Flow","399983.000000","825835.500000","","0.000000","","","","","-9.779999","","","","","-8.745450","-9.779999","","","","","","","D1 PROFILE","","","",""
"60603600000041","Nodes","41","21.000000","30.735918","DDS demands","Known Flow","399972.875000","825804.500000","","0.000000","","","","","-2.990000","","","","","-2.673711","-2.990000","","","","","","","D1 PROFILE","","","",""
"60603600000042","Nodes","42","21.000000","30.721267","DDS demands","Known Flow","399921.750000","825848.625000","","0.000000","","","","","-5.840000","","","","","-5.222232","-5.840000","","","","","","","D1 PROFILE","","","",""
"60603600000014","Nodes","14","21.000000","44.298132","DDS demands","Known Flow","399910.750000","825693.250000","","0.000000","","","","","-9.859999","","","","","-8.816988","-9.859999","","","","","","","D1 PROFILE","","","",""
"60603600000115","Nodes","-70","21.000000","43.913042","Default Known Flow Node","Known Flow","399949.125000","825767.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000013","Nodes","13","21.000000","44.305661","DDS demands","Known Flow","399898.125000","825683.375000","","0.000000","","","","","-10.699999","","","","","-9.568131","-10.699999","","","","","","","D1 PROFILE","","","",""
"60603600000032","Nodes","32","21.000000","43.936668","DDS demands","Known Flow","399807.250000","825780.750000","","0.000000","","","","","-13.689999","","","","","-12.241842","-13.689999","","","","","","","D1 PROFILE","","","",""
"60603600000036","Nodes","36","21.000000","43.924487","DDS demands","Known Flow","399761.875000","825801.375000","","0.000000","","","","","-3.989999","","","","","-3.567929","-3.989999","","","","","","","D1 PROFILE","","","",""
"60603600000033","Nodes","33","21.000000","42.850827","DDS demands","Known Flow","399863.250000","825854.250000","","0.000000","","","","","-10.930000","","","","","-9.773801","-10.930000","","","","","","","D1 PROFILE","","","",""
"60603600000044","Nodes","44","21.000000","42.752624","DDS demands","Known Flow","399876.125000","825853.250000","","0.000000","","","","","-9.039999","","","","","-8.083729","-9.039999","","","","","","","D1 PROFILE","","","",""
"60603600000093","Nodes","-1462482","21.000000","30.721267","Default Known Flow Node","Known Flow","399919.125000","825848.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000043","Nodes","43","21.000000","30.620035","DDS demands","Known Flow","399909.500000","825803.125000","","0.000000","","","","","-5.760000","","","","","-5.150695","-5.760000","","","","","","","D1 PROFILE","","","",""
"60603600000047","Nodes","47","21.000000","42.496769","DDS demands","Known Flow","399763.125000","825889.875000","","0.000000","","","","","-5.590000","","","","","-4.998678","-5.590000","","","","","","","D1 PROFILE","","","",""
"60603600000034","Nodes","34","21.000000","43.715851","DDS demands","Known Flow","399985.625000","825755.250000","","0.000000","","","","","-8.649999","","","","","-7.734984","-8.649999","","","","","","","D1 PROFILE","","","",""
"60603600000091","Nodes","-1462475","21.000000","43.913042","Default Known Flow Node","Known Flow","399943.500000","825769.875000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000020","Nodes","20","21.000000","31.757571","DDS demands","Known Flow","400020.750000","825684.875000","","0.000000","","","","","-6.910000","","","","","-6.179045","-6.910000","","","","","","","D1 PROFILE","","","",""
"60603600000035","Nodes","35","21.000000","31.053715","DDS demands","Known Flow","400038.500000","825818.750000","","0.000000","","","","","-8.310000","","","","","-7.430950","-8.310000","","","","","","","D1 PROFILE","","","",""
"60603600000022","Nodes","22","21.000000","31.228089","DDS demands","Known Flow","400243.875000","825646.875000","","0.000000","","","","-4.130000","-1.469999","","","","","-5.007620","-5.600000","","","","","","C4 PROFILE","D1 PROFILE","","","",""
"60603600000021","Nodes","21","21.000000","29.032209","DDS demands","Known Flow","400054.929557","825785.635487","","0.000000","","","","","-10.699999","","","","","-9.568131","-10.699999","","","","","","","D1 PROFILE","","","",""
"60603600000038","Nodes","38","21.000000","30.888910","DDS demands","Known Flow","400011.875000","825826.875000","","0.000000","","","","","-4.699999","","","","","-4.202823","-4.699999","","","","","","","D1 PROFILE","","","",""
"60603600000039","Nodes","39","21.000000","30.793723","DDS demands","Known Flow","400034.625000","825865.875000","","0.000000","","","","","-3.999999","","","","","-3.576871","-3.999999","","","","","","","D1 PROFILE","","","",""
"60603600000095","Nodes","-1462488","21.000000","29.032209","Default Known Flow Node","Known Flow","400056.001501","825789.058185","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001021","Nodes","1021","21.000000","27.264557","Default Known Flow Node","Known Flow","399891.406250","825075.562500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000085","Nodes","85","21.000000","26.085473","DDS demands","Known Flow","399860.988108","824992.183388","","0.000000","","","","","-4.650000","","","","","-4.158113","-4.650000","","","","","","","D1 PROFILE","","","",""
"60603600001011","Nodes","1011","21.000000","25.618746","DDS demands","Known Flow","399816.110509","824897.781094","","0.000000","","","","","-8.290000","","","","","-7.413066","-8.290000","","","","","","","D1 PROFILE","","","",""
"60603600001019","Nodes","1019","21.000000","23.734073","Default Known Flow Node","Known Flow","400073.156250","824842.625000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001020","Nodes","1020","21.000000","23.590134","DDS demands","Known Flow","400078.906250","824832.375000","","0.000000","-12.489999","","","","","","","","","-11.168782","-12.489999","","","C1 PROFILE","","","","","","","",""
