"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)"
"60210200000004","Nodes","4,","21.000000","73.031746","DDS demands","Known Flow","330798.025000","714367.105000","","0.000000","","-18.589999","","-16.623508","-18.589999","","","","D1 PROFILE",""
"60210200000016","Nodes","16,","21.000000","73.112582","Default Known Flow Node","Known Flow","330808.400000","714359.605000","","0.000000","","","","0.000000","0.000000","","","","",""
"60210200000005","Nodes","5,","21.000000","71.873539","DDS demands","Known Flow","330730.275000","714419.105000","","0.000000","","-6.489999","","-5.803473","-6.489999","","","","D1 PROFILE",""
"60210200000006","Nodes","6,","21.000000","71.627062","DDS demands","Known Flow","330613.150000","714346.230000","","0.000000","","-7.159999","","-6.402599","-7.159999","","","","D1 PROFILE",""
"60210200000011","Nodes","11,","21.000000","73.056256","DDS demands","Known Flow","330815.275000","714371.980000","","0.000000","","-1.379999","","-1.234020","-1.379999","","","","D1 PROFILE",""
"60210200000014","Nodes","14,","21.000000","74.747921","Default Known Flow Node","Known Flow","331043.525000","714168.480000","","0.000000","","","","0.000000","0.000000","","","","",""
"60210200000008","Nodes","8,","21.000000","70.011267","DDS demands","Known Flow","330634.150000","714615.730000","","0.000000","-8.100000","-9.039999","","-15.326893","-17.140000","","","C2 PROFILE","D1 PROFILE",""
"60210200000010","Nodes","10,","21.000000","70.383465","Default Known Flow Node","Known Flow","330641.900000","714588.480000","","0.000000","","","","0.000000","0.000000","","","","",""
"60210200000007","Nodes","7,","21.000000","71.287330","DDS demands","Known Flow","330681.025000","714522.605000","","0.000000","","-3.390000","","-3.031398","-3.390000","","","","D1 PROFILE",""
"60210200000012","Nodes","12,","21.000000","70.376947","DDS demands","Known Flow","330648.275000","714592.605000","","0.000000","","-3.569999","","-3.192357","-3.569999","","","","D1 PROFILE",""
"60210200000015","Nodes","15,","21.000000","74.746730","Default Known Flow Node","Known Flow","331045.400000","714170.730000","","0.000000","","","","0.000000","0.000000","","","","",""
"60210200000003","Nodes","3,","21.000000","74.598464","DDS demands","Known Flow","331087.775000","714113.105000","","0.000000","","-4.400000","","-3.934558","-4.400000","","","","D1 PROFILE",""
"60210200000009","Nodes","12,","21.000000","71.312521","Default Known Flow Node","Known Flow","330684.306250","714517.542500","","0.000000","","","","0.000000","0.000000","","","","",""
"60210200000013","Nodes","13,","21.000000","71.176091","DDS demands","Known Flow","330721.056250","714554.605000","","0.000000","","-11.609999","","-10.381867","-11.609999","","","","D1 PROFILE",""
"60210200000001","Nodes","LETHAM VILLAGE D.G, Tel, Site ID 1488,","21.000000","74.999996","Default Known Pressure Node","Known Pressure","331024.150000","714148.105000","","999998.967025","","","","74.363151","83.159999","","","","",""
"60210200000002","Nodes","2,","21.000000","74.746138","DDS demands","Known Flow","331047.400000","714172.605000","","0.000000","","-9.430000","","-8.432474","-9.430000","","","","D1 PROFILE",""
