"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60205400000091","Nodes","91","21.000000","25.737308","Default Known Flow Node","Known Flow","322349.876870","698136.524179","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60205400000084","Nodes","84","21.000000","25.692511","DDS demands","Known Flow","322265.824847","698080.140163","","0.000000","","","","-2.509999","","","-2.244486","-2.509999","","","","","","D1 PROFILE","",""
"60205400000112","Nodes","112","21.000000","24.843910","DDS demands","Known Flow","322975.750040","698429.803259","","0.000000","","","","-4.980000","","","-4.453205","-4.980000","","","","","","D1 PROFILE","",""
"60205400000111","Nodes","111","21.000000","25.003776","DDS demands","Known Flow","322962.567037","698370.317242","","0.000000","","","","-27.189999","","","-24.313783","-27.189999","","","","","","D1 PROFILE","",""
"60205400001085","Nodes","-1462502","21.000000","26.328487","Default Known Flow Node","Known Flow","322832.853001","698375.737244","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60205400001118","Nodes","-9","21.000000","26.328487","Default Known Flow Node","Known Flow","322829.894001","698376.849244","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60205400001073","Nodes","-1462476","21.000000","25.586401","Default Known Flow Node","Known Flow","322898.872019","698363.168241","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60205400000050","Nodes","50","21.000000","25.016041","DDS demands","Known Flow","322895.331018","698363.472241","","0.000000","","","","-0.910000","","","-0.813738","-0.910000","","","","","","D1 PROFILE","",""
"60205400000022","Nodes","22","21.000000","25.577485","DDS demands","Known Flow","322599.792063","698309.183834","","0.000000","","","","-12.060000","","","-10.784268","-12.060000","","","","","","D1 PROFILE","",""
"60205400000086","Nodes","86","21.000000","25.199849","DDS demands","Known Flow","322732.002974","698486.032274","","0.000000","","","","-9.289999","","","-8.307284","-9.289999","","","","","","D1 PROFILE","",""
"60205400000085","Nodes","85","21.000000","25.655221","DDS demands","Known Flow","322703.778966","698384.452246","","0.000000","","","","-19.830000","","","-17.732341","-19.830000","","","","","","D1 PROFILE","",""
"60205400001071","Nodes","-1462474","21.000000","26.375692","Default Known Flow Node","Known Flow","322769.368618","698427.615807","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60205400000077","Nodes","77","21.000000","26.404774","DDS demands","Known Flow","322802.794714","698446.352673","","0.000000","","","0.000000","-6.670000","","","-5.964433","-6.670000","","","","","C4 PROFILE","D1 PROFILE","",""
"60205400001067","Nodes","-14","21.000000","26.366355","Default Known Flow Node","Known Flow","322767.534918","698426.427098","","0.000000","","","","-5.019999","","","-4.488973","-5.019999","","","","","","D1 PROFILE","",""
"60205400000024","Nodes","24","21.000000","26.103534","DDS demands","Known Flow","322831.387149","698382.612887","","0.000000","","","","-10.520000","","","-9.407172","-10.520000","","","","","","D1 PROFILE","",""
"60205400001079","Nodes","-1462488","21.000000","26.094489","Default Known Flow Node","Known Flow","322825.844000","698381.603246","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60205400000113","Nodes","113","21.000000","25.163041","DDS demands","Known Flow","322878.052014","698367.522242","","0.000000","","","","-3.739999","","","-3.344374","-3.739999","","","","","","D1 PROFILE","",""
"60205400000114","Nodes","114","21.000000","25.429454","DDS demands","Known Flow","322861.809009","698414.687255","","0.000000","","","","-1.669999","","","-1.493343","-1.669999","","","","","","D1 PROFILE","",""
"60205400000110","Nodes","110","21.000000","25.006067","DDS demands","Known Flow","322924.400026","698355.445238","","0.000000","","","","-2.099999","","","-1.877857","-2.099999","","","","","","D1 PROFILE","",""
"60205400000109","Nodes","109","21.000000","24.898235","DDS demands","Known Flow","322900.744868","698403.191954","","0.000000","","","","-4.139999","","","-3.702062","-4.139999","","","","","","D1 PROFILE","",""
"60205400000123","Nodes","123","21.000000","25.560926","DDS demands","Known Flow","322633.735947","698432.008259","","0.000000","","","","-2.880000","","","-2.575347","-2.880000","","","","","","D1 PROFILE","",""
