"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)"
"60602900000163","Nodes","","21.000000","27.986202","DDS demands","Known Flow","390767.002487","793230.096055","","0.000000","","","","-17.879999","","","-15.988613","-17.879999","","","","","","D1 PROFILE","",""
"60602900000044","Nodes","","21.000000","28.645814","DDS demands","Known Flow","390888.796520","793256.468062","","0.000000","","","","-4.190000","","","-3.746772","-4.190000","","","","","","D1 PROFILE","",""
"60602900000178","Nodes","","21.000000","34.717814","DDS demands","Known Flow","390830.945504","794215.851323","","0.000000","","","","-1.049999","","","-0.938928","-1.049999","","","","","","D1 PROFILE","",""
"60602900001001","Nodes","Logger 10365, 102 St Michaels Road","21.000000","34.727611","Val Log Post","Known Flow","390830.188000","794212.131638","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602900000175","Nodes","","21.000000","34.800470","DDS demands","Known Flow","390830.596504","794183.994314","","0.000000","","","","-7.389999","","","-6.608269","-7.389999","","","","","","D1 PROFILE","",""
"60602900000042","Nodes","","21.000000","30.001757","DDS demands","Known Flow","390949.297537","793270.842066","","0.000000","","","","-8.770000","","","-7.842290","-8.770000","","","","","","D1 PROFILE","",""
"60602900001000","Nodes","Logger 10368, 3 Park Place","21.000000","34.433354","Val Log Post","Known Flow","390977.617530","793352.663009","","0.000000","","","","0.000000","","","0.000000","0.000000","","","","","","D1 PROFILE","",""
"60602900000041","Nodes","","21.000000","35.830154","DDS demands","Known Flow","390986.187547","793376.961095","","0.000000","","","","-5.349999","","","-4.784065","-5.349999","","","","","","D1 PROFILE","",""
"60602900000053","Nodes","","21.000000","31.658238","DDS demands","Known Flow","391165.808724","793665.731260","","0.000000","","","","-2.329999","","","-2.083527","-2.329999","","","","","","D1 PROFILE","",""
"60602900001003","Nodes","Logger 10357, Post at rear of 12 Fulmar Court","21.000000","31.477924","Val Log Post","Known Flow","391163.143729","793705.732760","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
