"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60201700003229","Nodes","3229","21.000000","26.692433","DDS demands","Known Flow","311603.197946","702073.422250","","0.000000","","","","","-5.199999","","","","","","","","-4.649932","-5.199999","","","","","","","D1 PROFILE","","","","","","",""
"60201700000078","Nodes","78","21.000000","26.692433","DDS demands","Known Flow","311607.443947","702073.213250","","0.000000","","","","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","D1 PROFILE","","","","","","",""
"60201700003230","Nodes","3230","21.000000","26.994848","DDS demands","Known Flow","311608.772947","702076.670251","","0.000000","","","","","-20.930000","","","","","","","","-18.715980","-20.930000","","","","","","","D1 PROFILE","","","","","","",""
"60201700000539","Nodes","539","21.000000","27.519682","DDS demands","Known Flow","311668.474158","702064.940120","","0.000000","","","","","-1.190000","","","","","","","","-1.064119","-1.190000","","","","","","","D1 PROFILE","","","","","","",""
"60201700002020","Nodes","2020","21.000000","26.852923","Default Known Flow Node","Known Flow","311531.687926","702599.441393","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700003021","Nodes","3021","21.000000","26.852923","Default Known Flow Node","Known Flow","311531.289300","702525.503096","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700003018","Nodes","3018","21.000000","27.348727","Default Known Flow Node","Known Flow","311532.305926","702482.071361","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700002086","Nodes","2086","21.000000","26.738956","Default Known Flow Node","Known Flow","311652.400958","702528.046358","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700000052","Nodes","52","21.000000","26.735103","DDS demands","Known Flow","311655.207960","702528.043374","","0.000000","","","","","-23.419999","","","","","","","","-20.942582","-23.419999","","","","","","","D1 PROFILE","","","","","","",""
"60201700002108","Nodes","2108","21.000000","28.056009","Default Known Flow Node","Known Flow","311661.983962","702200.713285","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700002072","Nodes","2072","21.000000","28.056009","Default Known Flow Node","Known Flow","311662.445962","702202.119285","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700003141","Nodes","3141","21.000000","35.704396","Default Known Flow Node","Known Flow","311540.697929","702978.737496","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700000269","Nodes","269","21.000000","33.611042","DDS demands","Known Flow","311642.176956","703116.830534","","0.000000","-2.259999","","","","-17.610000","","","","","","","","-17.768109","-19.870001","","","C1 PROFILE","","","","D1 PROFILE","","","","","","",""
"60201700003146","Nodes","3146","21.000000","33.683022","Default Known Flow Node","Known Flow","311643.866957","703111.927533","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700000098","Nodes","98","21.000000","37.794434","Default Known Flow Node","Known Flow","311394.280889","702927.469482","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700002131","Nodes","2131","21.000000","33.331162","Default Known Flow Node","Known Flow","311693.000970","702961.633492","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700000114","Nodes","114","21.000000","34.056142","DDS demands","Known Flow","311308.579866","703306.241586","","0.000000","","","","","-6.619999","","","","","","","","-5.919722","-6.619999","","","","","","","D1 PROFILE","","","","","","",""
"60201700003175","Nodes","3175","21.000000","26.429898","Default Known Flow Node","Known Flow","311476.007255","703687.802603","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60201700003228","Nodes","3228","21.000000","28.462989","DDS demands","Known Flow","311758.183988","702046.370243","","0.000000","","","","","-19.950001","","","","","","","","-17.839648","-19.950001","","","","","","","D1 PROFILE","","","","","","",""
