"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60601700000067","Nodes","67","21.000000","40.872480","DDS demands","Known Flow","372416.117494","849336.008322","","0.000000","","","","","-18.059999","","","","","-16.149575","-18.059999","","","","","","","D1 PROFILE","","","",""
"60601700323996","Nodes","","21.000000","40.872480","Default Known Flow Node","Known Flow","372403.742490","849335.758321","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60601700000306","Nodes","306, 313781, BALMELLIE CROFT, 107.08","23.200000","26.722647","CSEP DDS Matched","Known Flow","373437.888568","849637.649002","","0.000000","","","","","-2.599999","-78.339996","","","","-72.377991","-80.939996","","","","","","","D1 PROFILE","DC PROFILE","","",""
"60601700000307","Nodes","P14133796, COLLYBURN VIEW CSEP, 26.86 SCMH","24.000000","26.714076","CSEP DDS Matched","Known Flow","373445.242774","849635.383403","","0.000000","","","","","","-26.860000","","","","-24.018693","-26.860000","","","","","","","","DC PROFILE","","",""
"60601700001024","Nodes","1024","21.000000","27.748879","Default Known Flow Node","Known Flow","371878.367347","850438.883622","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60601700000252","Nodes","252, 320346, BONA VISTA, 18.55","25.000000","27.656329","CSEP DDS Matched","Known Flow","371882.742348","850443.133623","","0.000000","","","","","","-18.549999","","","","-16.587741","-18.549999","","","","","","","","DC PROFILE","","",""
"60601700000275","Nodes","275","21.000000","27.718046","DDS demands","Known Flow","371806.867328","850531.883647","","0.000000","","","","","-13.879999","","","","","-12.411744","-13.879999","","","","","","","D1 PROFILE","","","",""
"60601700001014","Nodes","1014","21.000000","27.762572","Default Known Flow Node","Known Flow","371884.258530","850431.211729","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60601700001023","Nodes","1023","21.000000","27.009357","Default Known Flow Node","Known Flow","373369.867753","849656.883409","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60601700000305","Nodes","305, 322765 (s)/344772, COWANS DEN, 38.90","26.000000","26.260190","CSEP DDS Matched","Known Flow","373367.242752","849643.508405","","0.000000","","","","","","-38.900001","","","","-34.785076","-38.900001","","","","","","","","DC PROFILE","","",""
